PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Epb41,Protein 4.1 (Fragment);Protein 4.1;Protein 4.1;Protein 4.1;Isoform 2 of Protein 4.1,A2A838;A2A839;A2A841;P48193;P48193-2,A2A838_MOUSE;A2A839_MOUSE;A2A841_MOUSE;41_MOUSE;41_MOUSE,";;;nucleus,cytosol,plasma membrane,cytoplasmic side of plasma membrane,postsynaptic density,actin cytoskeleton,membrane,cell junction,cortical cytoskeleton,protein complex,cell cortex region;",";;;protein complex assembly,transport,cell cycle,regulation of cell shape,actin cytoskeleton organization,cortical actin cytoskeleton organization,actomyosin structure organization,positive regulation of protein binding,cell division,positive regulation of protein localization to cell cortex;",";;;actin binding,structural constituent of cytoskeleton,calmodulin binding,1-phosphatidylinositol binding,protein C-terminus binding,spectrin binding,protein N-terminus binding,phosphoprotein binding;",8.242939082375952E-27,15,13,14,14,15,13,15,Filtered,15,13,14,14,15,13,15,Filtered,35.82227325439453,19.06656837463379,34.246421813964844,23.07269859313965,35.88578796386719,20.285978317260742,29.341466903686523,Filtered
0610037L13Rik;;,Protein 0610037L13Rik;UPF0587 protein C1orf123 homolog;Isoform 3 of UPF0587 protein C1orf123 homolog,A2A8E2;Q8BHG2;Q8BHG2-3,A2A8E2_MOUSE;CA123_MOUSE;CA123_MOUSE,;extracellular exosome;,;biological_process;,;molecular_function;,2.4786637365616413E-09,3,3,3,3,3,3,3,Filtered,3,3,3,3,3,3,3,Filtered,20.524808883666992,31.38490867614746,11.956744194030762,21.513288497924805,19.17586898803711,26.048120498657227,16.514873504638672,Filtered
Cyp4a32;Cyp4a10;Cyp4a10,MCG141487;Cytochrome P450 4A10;Cytochrome P450 4A10,A2A8T1;A2A977;O88833,A2A8T1_MOUSE;A2A977_MOUSE;CP4AA_MOUSE,"cytoplasm,integral component of membrane,apical plasma membrane,intracellular membrane-bounded organelle,extracellular exosome;;cytoplasm,endoplasmic reticulum membrane,apical plasma membrane,organelle membrane,intracellular membrane-bounded organelle,extracellular exosome","leukotriene B4 catabolic process,oxidation-reduction process;;fatty acid metabolic process,leukotriene B4 catabolic process,oxidation-reduction process","iron ion binding,arachidonic acid epoxygenase activity,alkane 1-monooxygenase activity,heme binding,leukotriene-B4 20-monooxygenase activity;;monooxygenase activity,iron ion binding,arachidonic acid epoxygenase activity,alkane 1-monooxygenase activity,heme binding,leukotriene-B4 20-monooxygenase activity",0.00038462066134438736,2,2,3,1,3,2,3,Filtered,2,2,3,1,3,2,3,Filtered,6.069397449493408,3.7559421062469482,13.038983345031738,2.750619888305664,8.489096641540527,6.080827713012695,2.0552361011505127,Filtered
Srrm1,Serine/arginine repetitive matrix protein 1;Serine/arginine repetitive matrix protein 1;Serine/arginine repetitive matrix protein 1;Serine/arginine repetitive matrix protein 1;Serine/arginine repetitive matrix protein 1;Isoform 2 of Serine/arginine repetitive matrix protein 1,A2A8V8;A2A8V9;E9PUK6;E9QKA4;Q52KI8;Q52KI8-2,A2A8V8_MOUSE;A2A8V9_MOUSE;E9PUK6_MOUSE;E9QKA4_MOUSE;SRRM1_MOUSE;SRRM1_MOUSE,";;;;spliceosomal complex,nuclear matrix,nuclear speck;",";;;;RNA splicing, via transesterification reactions,mRNA splicing, via spliceosome;",";;;;DNA binding,RNA binding;",1.0698151600948368E-20,2,3,2,2,2,3,2,Filtered,2,3,2,2,2,3,2,Filtered,10.343111038208008,15.264695167541504,8.507451057434082,22.621700286865234,7.787751197814941,13.326788902282715,12.0526123046875,Filtered
C8a,Complement component C8 alpha chain,A2A998;Q8K182,A2A998_MOUSE;CO8A_MOUSE,";membrane attack complex,extracellular exosome,blood microparticle",";complement activation,complement activation, alternative pathway,complement activation, classical pathway,cytolysis",";complement binding,protein complex binding",1.269033297092158E-18,6,9,5,15,6,10,5,Filtered,6,9,5,15,6,10,5,Filtered,12.87803840637207,6.478355884552002,8.833900451660156,117.25731658935547,9.537858963012695,14.661462783813477,7.701911449432373,Filtered
Cdk11b,Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11B;Isoform 2 of Cyclin-dependent kinase 11B,A2A9P6;P24788;P24788-2,A2A9P6_MOUSE;CD11B_MOUSE;CD11B_MOUSE,";nucleus,nucleoplasm;",";blastocyst development,protein phosphorylation,cell cycle,regulation of mitotic nuclear division,regulation of gene expression,regulation of mRNA processing,negative regulation of apoptotic signaling pathway;",";protein serine/threonine kinase activity,cyclin-dependent protein serine/threonine kinase activity,ATP binding;",0.0005261677153304026,1,2,1,2,1,3,1,Filtered,0,2,1,2,1,3,1,Filtered,NaN,4.705447196960449,13.955522537231445,13.521961212158203,4.707438945770264,10.720240592956543,7.350386142730713,Filtered
Nrd1;Nrd1;Nrdc,Nardilysin,A2A9Q2;A6PWC3;Q8BHG1,A2A9Q2_MOUSE;A6PWC3_MOUSE;NRDC_MOUSE,;;mitochondrion,";;proteolysis,positive regulation of membrane protein ectodomain proteolysis,regulation of endopeptidase activity",";;metalloendopeptidase activity,protein binding,peptidase activity,metal ion binding",4.3259475733861136E-16,6,8,7,9,7,8,6,Filtered,6,8,7,9,7,8,6,Filtered,10.727267265319824,15.611085891723633,10.398932456970215,13.657999992370605,9.315974235534668,18.217300415039062,6.895418167114258,Filtered
Dmd,Dystrophin,A2A9Z1;A2A9Z2;P11531,A2A9Z1_MOUSE;A2A9Z2_MOUSE;DMD_MOUSE,";;nucleus,mitochondrial outer membrane,Golgi apparatus,ribosome,neurofilament,plasma membrane,cell surface,postsynaptic density,dystrophin-associated glycoprotein complex,Z disc,lamellipodium,cell junction,cell-substrate junction,secretory granule,filopodium,axon,synaptic vesicle membrane,filopodium membrane,sarcolemma,neuronal cell body,costamere,protein complex,neuron projection terminus,membrane raft,synapse,postsynaptic membrane,perinuclear region of cytoplasm,astrocyte projection,matrix side of mitochondrial inner membrane",";;positive regulation of cell-matrix adhesion,regulation of heart rate,regulation of transcription, DNA-templated,muscle organ development,skeletal muscle tissue development,aging,establishment of blood-nerve barrier,positive regulation of cell proliferation,response to water deprivation,regulation of gene expression,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,positive regulation of neuron projection development,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,regulation of skeletal muscle contraction,response to denervation involved in regulation of muscle adaptation,myotube cell development,olfactory nerve structural organization,cerebral cortex development,negative regulation of peptidyl-serine phosphorylation,cellular protein localization,response to muscle stretch,regulation of membrane potential,peptide biosynthetic process,skeletal muscle tissue regeneration,cellular protein complex assembly,neurotransmitter receptor metabolic process,negative regulation of neuron differentiation,positive regulation of neuron differentiation,muscle cell cellular homeostasis,muscle fiber development,neuron projection morphogenesis,nucleus localization,regulation of cell cycle,cardiac muscle contraction,regulation of ryanodine-sensitive calcium-release channel activity,establishment of glial blood-brain barrier,negative regulation of ERK1 and ERK2 cascade,cardiac muscle cell action potential,regulation of cellular response to growth factor stimulus,regulation of voltage-gated calcium channel activity,negative regulation of peptidyl-cysteine S-nitrosylation,positive regulation of sodium ion transmembrane transporter activity",";;dystroglycan binding,actin binding,integrin binding,protein binding,lamin binding,zinc ion binding,structural constituent of muscle,myosin binding,vinculin binding,PDZ domain binding,nitric-oxide synthase binding",0.0006779925454561045,2,1,1,1,2,1,2,Filtered,2,1,1,0,2,0,2,Filtered,1.500765323638916,7.504853248596191,4.704692840576172,NaN,1.950638771057129,NaN,4.886826038360596,Filtered
Sec24a,Protein transport protein Sec24A,A2AA71;Q3U2P1,A2AA71_MOUSE;SC24A_MOUSE,";Golgi membrane,endoplasmic reticulum membrane,cytosol,COPII vesicle coat",";intracellular protein transport,ER to Golgi vesicle-mediated transport,regulation of low-density lipoprotein particle receptor biosynthetic process,positive regulation of protein secretion,cargo loading into COPII-coated vesicle,positive regulation of cholesterol homeostasis",;zinc ion binding,0.0004669010889518006,2,2,2,1,2,3,2,Filtered,2,2,2,1,2,3,2,Filtered,8.275527000427246,2.026442050933838,8.667067527770996,14.540534973144531,6.7897114753723145,6.815219879150391,5.8248515129089355,Filtered
Exoc7,Exocyst complex component 7;Exocyst complex component 7;Isoform 2 of Exocyst complex component 7,A2AAN0;O35250;O35250-2,A2AAN0_MOUSE;EXOC7_MOUSE;EXOC7_MOUSE,";exocyst,microtubule organizing center,cytosol,plasma membrane,membrane,midbody,growth cone membrane,centriolar satellite;",";exocytosis,protein transport,membrane organization,regulation of entry of bacterium into host cell;",;protein binding;,0.00016384372284076722,2,3,3,1,3,4,3,Filtered,2,3,3,1,3,4,3,Filtered,3.7717247009277344,6.421345233917236,6.731950759887695,17.37332534790039,7.407781600952148,5.482212543487549,5.823007106781006,Filtered
Srp68,Signal recognition particle subunit SRP68,A2AAN2;Q8BMA6,A2AAN2_MOUSE;SRP68_MOUSE,";nucleolus,endoplasmic reticulum,signal recognition particle, endoplasmic reticulum targeting,cytosol,focal adhesion,signal recognition particle",";SRP-dependent cotranslational protein targeting to membrane,response to drug,protein targeting to ER",";RNA binding,signal recognition particle binding,7S RNA binding,protein domain specific binding,endoplasmic reticulum signal peptide binding,ribosome binding",1.3607230266087669E-18,8,8,10,8,7,10,7,Filtered,8,8,10,8,7,10,7,Filtered,19.286882400512695,20.933095932006836,16.84540557861328,16.503753662109375,13.725017547607422,19.331195831298828,17.757352828979492,Filtered
Pcyt2,Ethanolamine-phosphate cytidylyltransferase,A2ABY3;Q922E4,A2ABY3_MOUSE;PCY2_MOUSE,;,;phosphatidylethanolamine biosynthetic process,;ethanolamine-phosphate cytidylyltransferase activity,0.00020770588744174499,3,3,4,3,3,4,4,Filtered,3,3,4,3,3,4,4,Filtered,39.980796813964844,15.765251159667969,44.19968032836914,9.857988357543945,23.44849967956543,14.307608604431152,15.075363159179688,Filtered
Rpn2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,A2ACG7;Q9DBG6,A2ACG7_MOUSE;RPN2_MOUSE,";autophagosome membrane,rough endoplasmic reticulum,oligosaccharyltransferase complex,membrane,integral component of membrane",";protein N-linked glycosylation,aging,response to drug",";ribosome binding,dolichyl-diphosphooligosaccharide-protein glycotransferase activity",3.060992471182071E-23,17,16,15,19,17,17,19,Filtered,17,16,15,19,17,17,19,Filtered,64.9172134399414,101.3365249633789,68.42446899414062,130.2915802001953,57.805450439453125,86.20841979980469,66.99263763427734,Filtered
Stk26,Serine/threonine-protein kinase 26,A2AD84;Q99JT2,A2AD84_MOUSE;STK26_MOUSE,";Golgi membrane,cytoplasm,Golgi apparatus,Golgi-associated vesicle,cytosol,membrane,apical plasma membrane,perinuclear region of cytoplasm,extracellular exosome,cell periphery",";MAPK cascade,activation of MAPKKK activity,protein phosphorylation,apoptotic process,regulation of mitotic cell cycle,cellular response to starvation,microvillus assembly,negative regulation of cell migration,stress-activated protein kinase signaling cascade,response to hydrogen peroxide,regulation of apoptotic process,protein autophosphorylation,neuron projection morphogenesis,regulation of hydrogen peroxide-induced cell death",";magnesium ion binding,protein kinase activity,ATP binding,MAP kinase kinase kinase kinase activity,identical protein binding,protein homodimerization activity",5.7744892325889E-12,7,7,6,7,7,7,5,Filtered,7,7,6,7,7,7,5,Filtered,40.10399627685547,29.67639923095703,28.389616012573242,48.05783462524414,33.359256744384766,40.9782600402832,33.69101333618164,Filtered
Magt1,Magnesium transporter protein 1;Magnesium transporter protein 1 (Fragment);Magnesium transporter protein 1 (Fragment);Magnesium transporter protein 1;Isoform 2 of Magnesium transporter protein 1;Isoform 3 of Magnesium transporter protein 1,A2ADH1;F6TBV1;F6WHL0;Q9CQY5;Q9CQY5-2;Q9CQY5-3,A2ADH1_MOUSE;F6TBV1_MOUSE;F6WHL0_MOUSE;MAGT1_MOUSE;MAGT1_MOUSE;MAGT1_MOUSE,";;;endoplasmic reticulum,plasma membrane,oligosaccharyltransferase complex,membrane,integral component of membrane;;",";;;magnesium ion transport,protein N-linked glycosylation via asparagine,cognition,magnesium ion transmembrane transport;;",";;;magnesium ion transmembrane transporter activity,dolichyl-diphosphooligosaccharide-protein glycotransferase activity;;",5.053145711895162E-08,5,5,5,4,5,3,4,Filtered,5,5,5,4,5,3,4,Filtered,24.14853858947754,27.6903018951416,31.660581588745117,40.795143127441406,25.34029769897461,29.676820755004883,26.99813461303711,Filtered
Ppp1r8,Nuclear inhibitor of protein phosphatase 1,A2ADR8;Q8R3G1,A2ADR8_MOUSE;PP1R8_MOUSE,";nucleoplasm,spliceosomal complex,nuclear speck",";transcription, DNA-templated,regulation of transcription, DNA-templated,mRNA processing,multicellular organism development,cell proliferation,RNA splicing,negative regulation of protein dephosphorylation,negative regulation of catalytic activity",";DNA binding,mRNA binding,protein serine/threonine phosphatase inhibitor activity,protein phosphatase regulator activity",0.0005729097605870888,1,1,Filtered,2,1,1,Filtered,Filtered,1,1,Filtered,2,1,1,Filtered,Filtered,10.00656509399414,6.820784091949463,Filtered,5.485359191894531,2.0522212982177734,3.1720685958862305,Filtered,Filtered
Patj,InaD-like protein,A2ADS6;A2ADS8;Q63ZW7,A2ADS6_MOUSE;A2ADS8_MOUSE;INADL_MOUSE,";;centrosome,microtubule organizing center,cytosol,bicellular tight junction,apical plasma membrane,cell junction,protein complex,apical part of cell,perinuclear region of cytoplasm,extracellular exosome",;;,;;protein binding,2.726946478525761E-05,2,2,1,1,2,2,2,Filtered,2,2,1,1,2,2,2,Filtered,1.3649218082427979,3.720360517501831,4.158096790313721,4.997023105621338,1.7653117179870605,1.6250107288360596,1.6574835777282715,Filtered
Ddi2,Protein DDI1 homolog 2,A2ADY9,DDI2_MOUSE,"nucleoplasm,cytosol,brush border,membrane","proteolysis,intestinal absorption","aspartic-type endopeptidase activity,identical protein binding,ubiquitin binding",1.383988722144578E-30,5,5,5,5,4,5,5,Filtered,5,5,5,5,4,5,5,Filtered,8.233743667602539,9.829364776611328,4.51754093170166,10.493993759155273,5.2925705909729,8.541997909545898,4.171789646148682,Filtered
Pqbp1,Polyglutamine-binding protein 1 (Fragment);Polyglutamine-binding protein 1,A2AER8;Q91VJ5,A2AER8_MOUSE;PQBP1_MOUSE,";nucleus,cytoplasm,cytosol,cytoplasmic stress granule,nuclear speck,neuronal ribonucleoprotein granule",";alternative mRNA splicing, via spliceosome,activation of innate immune response,positive regulation of defense response to virus by host,transcription, DNA-templated,regulation of transcription, DNA-templated,neuron projection development,positive regulation of type I interferon production,stress granule assembly,regulation of RNA splicing,regulation of dendrite morphogenesis,defense response to virus,cellular response to exogenous dsRNA",";double-stranded DNA binding,ribonucleoprotein complex binding",0.0007237938489274552,2,1,1,2,1,1,Filtered,Filtered,2,1,1,2,1,1,Filtered,Filtered,10.276992797851562,20.968643188476562,4.297316074371338,9.750615119934082,6.2342329025268555,8.106545448303223,Filtered,Filtered
Gripap1,GRIP1-associated protein 1,A2AEW8;A2AEW9,A2AEW8_MOUSE;A2AEW9_MOUSE,;,;,;,0.0008842535314787402,1,3,2,1,2,2,1,Filtered,1,3,2,0,2,2,1,Filtered,14.132165908813477,3.340481758117676,36.5892448425293,NaN,5.169077396392822,1.1397517919540405,8.020171165466309,Filtered
Fhl1,"Four and a half LIM domains protein 1;Four and a half LIM domains 1, isoform CRA_b;Four and a half LIM domains protein 1",A2AEX6;A2AEX8;P97447,A2AEX6_MOUSE;A2AEX8_MOUSE;FHL1_MOUSE,";;nucleus,cytoplasm,cytosol,plasma membrane,focal adhesion",";;regulation of membrane depolarization,multicellular organism development,negative regulation of G2/M transition of mitotic cell cycle,cell differentiation,negative regulation of cell growth,positive regulation of potassium ion transport,regulation of potassium ion transmembrane transporter activity,negative regulation of G1/S transition of mitotic cell cycle",";;ion channel binding,metal ion binding",6.955900470677692E-30,14,12,12,12,14,13,13,Filtered,14,12,12,12,14,13,13,Filtered,95.43167114257812,47.365631103515625,84.63798522949219,48.009769439697266,83.57976531982422,73.16658020019531,83.1343994140625,Filtered
Stag2,Cohesin subunit SA-2,A2AFF6;O35638,A2AFF6_MOUSE;STAG2_MOUSE,";chromosome, centromeric region,chromatin,nucleoplasm,cohesin complex,membrane,nuclear matrix,mitotic spindle pole",";transcription from RNA polymerase II promoter,sister chromatid cohesion,stem cell population maintenance,negative regulation of DNA endoreduplication,positive regulation of transcription from RNA polymerase II promoter,cell division,meiotic cell cycle,regulation of mitotic spindle assembly",";transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,chromatin binding",0.0003918236696267255,1,2,2,2,3,1,2,Filtered,1,2,0,0,3,1,0,Filtered,0.4404643774032593,1.429371953010559,NaN,NaN,1.5433496236801147,1.5000951290130615,NaN,Filtered
Rab9;Rab9a,Ras-related protein Rab-9A (Fragment);Ras-related protein Rab-9A,A2AFP5;Q9R0M6,A2AFP5_MOUSE;RAB9A_MOUSE,";Golgi membrane,lysosome,late endosome,endoplasmic reticulum membrane,cytosol,plasma membrane,cytoplasmic vesicle membrane,phagocytic vesicle membrane,melanosome,phagocytic vesicle,extracellular exosome",";protein transport,regulation of protein localization,retrograde transport, endosome to Golgi,positive regulation of exocytosis,negative regulation by host of symbiont molecular function",";GTPase activity,protein binding,GTP binding,GDP binding,identical protein binding",3.6837002504706325E-12,2,2,1,1,2,1,1,Filtered,2,2,1,1,2,1,1,Filtered,27.8919677734375,29.5604248046875,18.04296112060547,23.02674102783203,25.601877212524414,27.659332275390625,27.87188720703125,Filtered
Huwe1,E3 ubiquitin-protein ligase HUWE1;E3 ubiquitin-protein ligase HUWE1;Isoform 3 of E3 ubiquitin-protein ligase HUWE1,A2AFQ0;Q7TMY8;Q7TMY8-3,A2AFQ0_MOUSE;HUWE1_MOUSE;HUWE1_MOUSE,";nucleus,nucleoplasm,cytoplasm,cytosol,membrane,extracellular exosome;",";protein polyubiquitination,base-excision repair,protein monoubiquitination,histone ubiquitination,cell differentiation,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,positive regulation of protein targeting to mitochondrion;",";DNA binding,RNA binding,ubiquitin-protein transferase activity,ubiquitin protein ligase activity;",3.4631484651728294E-18,15,21,17,21,17,19,13,Filtered,15,21,17,21,17,19,13,Filtered,14.336527824401855,18.329572677612305,10.732205390930176,22.464452743530273,16.69529914855957,19.3878116607666,11.820972442626953,Filtered
Arhgap1,Rho GTPase-activating protein 1,A2AH25;Q5FWK3,A2AH25_MOUSE;RHG01_MOUSE,";ruffle,cytoplasm,plasma membrane,endosome membrane,cell leading edge,perinuclear region of cytoplasm,extracellular exosome,sorting endosome",";small GTPase mediated signal transduction,endosome localization,transferrin transport,regulation of GTPase activity,positive regulation of GTPase activity,ferric iron import across plasma membrane,negative regulation of endocytic recycling",";GTPase activator activity,protein binding,SH3 domain binding,Rab GTPase binding,cadherin binding",8.314238105285088E-11,14,14,14,13,13,13,13,Filtered,14,14,14,13,13,13,13,Filtered,100.28719329833984,99.80723571777344,103.56548309326172,143.02975463867188,98.03803253173828,154.95091247558594,104.99420928955078,Filtered
Eftud2,116 kDa U5 small nuclear ribonucleoprotein component,A2AH85;O08810,A2AH85_MOUSE;U5S1_MOUSE,";nucleus,nucleoplasm,cytosol,Cajal body,membrane,nuclear speck,extracellular matrix,U4/U6 x U5 tri-snRNP complex,catalytic step 2 spliceosome",";mRNA processing,RNA splicing",";RNA binding,GTPase activity,GTP binding",6.272840490015115E-32,23,26,19,25,22,25,22,Filtered,23,26,19,25,22,25,22,Filtered,371.6491394042969,669.0532836914062,340.2535400390625,793.4677124023438,343.5975646972656,720.1574096679688,333.13665771484375,Filtered
Pir,Pirin (Fragment);Pirin,A2AIH8;Q9D711,A2AIH8_MOUSE;PIR_MOUSE,";nucleus,cytoplasm,cytosol",";transcription, DNA-templated,regulation of transcription, DNA-templated,myeloid cell differentiation,monocyte differentiation,oxidation-reduction process",";transcription cofactor activity,quercetin 2,3-dioxygenase activity,metal ion binding",0.008233261775982673,1,2,2,1,Filtered,Filtered,Filtered,Filtered,1,2,2,1,Filtered,Filtered,Filtered,Filtered,1.41487717628479,0.9512848854064941,1.445589303970337,5.5812249183654785,Filtered,Filtered,Filtered,Filtered
Fubp3,MCG130458;Protein Fubp3,A2AJ72;Q3TIX6,A2AJ72_MOUSE;Q3TIX6_MOUSE,";nucleus,cytoplasm,membrane",";transcription, DNA-templated,transcription from RNA polymerase II promoter,positive regulation of gene expression,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,single-stranded DNA binding,RNA binding",1.0730774601400992E-21,6,9,5,7,8,9,7,Filtered,6,9,5,7,8,9,7,Filtered,10.644390106201172,21.73773765563965,9.64239501953125,24.05147361755371,7.53773832321167,24.954374313354492,11.508268356323242,Filtered
Fggy,FGGY carbohydrate kinase domain-containing protein;Isoform 2 of FGGY carbohydrate kinase domain-containing protein;FGGY carbohydrate kinase domain-containing protein,A2AJL3;A2AJL3-2;A2AJL4,FGGY_MOUSE;FGGY_MOUSE;A2AJL4_MOUSE,cell;;,"pentose metabolic process,carbohydrate phosphorylation,neuron cellular homeostasis;;",D-ribulokinase activity;;,1.7313569764957317E-28,8,7,9,5,7,8,7,Filtered,8,7,9,5,7,8,7,Filtered,37.43272018432617,24.799240112304688,41.697715759277344,7.645732402801514,50.606468200683594,29.256412506103516,39.482357025146484,Filtered
Col15a1,Collagen alpha-1(XV) chain,A2AJY2;O35206,A2AJY2_MOUSE;COFA1_MOUSE,";collagen trimer,basement membrane,extracellular space,extracellular matrix,extracellular exosome",;cell adhesion,;structural molecule activity,5.4548946836853255E-18,13,18,12,16,16,17,14,Filtered,13,18,12,16,16,17,14,Filtered,58.25661849975586,91.54407501220703,48.989620208740234,286.9230041503906,57.967674255371094,148.148193359375,61.099605560302734,Filtered
Itgav,Integrin alpha-V,A2AKI5;P43406,A2AKI5_MOUSE;ITAV_MOUSE,";cytosol,plasma membrane,focal adhesion,integrin complex,external side of plasma membrane,cell surface,membrane,lamellipodium membrane,filopodium membrane,microvillus membrane,ruffle membrane,integrin alphav-beta3 complex,integrin alphav-beta5 complex,integrin alphav-beta6 complex,integrin alphav-beta8 complex,alphav-beta3 integrin-IGF-1-IGF1R complex,extracellular exosome",";angiogenesis,blood vessel development,vasculogenesis,inflammatory response,cell adhesion,cell-matrix adhesion,integrin-mediated signaling pathway,positive regulation of cell proliferation,fertilization,negative regulation of macrophage derived foam cell differentiation,negative regulation of lipid storage,cell growth,cell migration,positive regulation of cell migration,cell-substrate adhesion,negative regulation of lipid transport,detection of molecule of bacterial origin,cell adhesion mediated by integrin,positive regulation of osteoblast proliferation,heterotypic cell-cell adhesion,substrate adhesion-dependent cell spreading,gonad morphogenesis,endodermal cell differentiation,apolipoprotein A-I-mediated signaling pathway,transforming growth factor-beta secretion,T cell activation,apoptotic cell clearance,positive regulation of MAPK cascade,endothelial cell migration,regulation of bone resorption,negative regulation of low-density lipoprotein particle receptor biosynthetic process,positive regulation of cell adhesion,viral entry into host cell,focal adhesion assembly,negative regulation of lipoprotein metabolic process,regulation of phagocytosis,negative chemotaxis,release of sequestered calcium ion into cytosol,trophoblast giant cell differentiation,ERK1 and ERK2 cascade,calcium ion transmembrane transport,response to nitric oxide,extrinsic apoptotic signaling pathway in absence of ligand,regulation of apoptotic cell clearance,negative regulation of entry of bacterium into host cell,negative regulation of extrinsic apoptotic signaling pathway",";fibronectin binding,protease binding,receptor binding,voltage-gated calcium channel activity,peptide binding,metal ion binding,protein heterodimerization activity,transforming growth factor beta binding,extracellular matrix binding,extracellular matrix protein binding,opsonin binding,protein kinase C binding,fibroblast growth factor binding,C-X3-C chemokine binding,insulin-like growth factor I binding,neuregulin binding",2.5971061265497323E-16,8,11,4,11,9,10,8,Filtered,8,11,4,11,9,10,8,Filtered,18.722768783569336,41.26388168334961,19.34504508972168,66.04472351074219,22.134510040283203,36.39632034301758,16.26770782470703,Filtered
Acnat1,Acyl-coenzyme A amino acid N-acyltransferase 1;Isoform 2 of Acyl-coenzyme A amino acid N-acyltransferase 1,A2AKK5;A2AKK5-2,ACNT1_MOUSE,peroxisome;,"fatty acid metabolic process,acyl-CoA metabolic process;","N-acyltransferase activity,acyl-CoA hydrolase activity;",5.189209440853583E-21,5,6,6,6,5,5,5,Filtered,5,6,6,6,5,5,5,Filtered,25.835439682006836,23.91752052307129,32.08241271972656,6.369785308837891,39.31547546386719,26.2955379486084,20.748796463012695,Filtered
Mup8,Major urinary protein 5,A2AKN8,A2AKN8_MOUSE,,,,1.9615950355401034E-07,9,15,10,11,11,15,10,1,9,15,10,11,11,15,10,1,207.405029296875,4358.6689453125,291.85504150390625,1416.2530517578125,175.72976684570312,3455.439453125,167.9114532470703,768.630859375
Hnrnpa3,Heterogeneous nuclear ribonucleoprotein A3,A2AL12;Q8BG05,A2AL12_MOUSE;ROA3_MOUSE,;spliceosomal complex,";mRNA processing,RNA splicing",;RNA binding,5.015257984649217E-27,35,39,35,39,38,41,33,Filtered,35,39,35,39,38,41,33,Filtered,136.6323699951172,238.6822967529297,115.43165588378906,250.50453186035156,135.90724182128906,246.5553436279297,132.72805786132812,Filtered
