PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
3.76E-17,Ap3m1,AP-3 complex subunit mu-1,H7BWY2;Q9JKC8,H7BWY2_MOUSE;AP3M1_MOUSE,";lysosomal membrane,Golgi apparatus,clathrin adaptor complex,cytoplasmic vesicle membrane,axon cytoplasm",";intracellular protein transport,anterograde axonal transport,anterograde synaptic vesicle transport",;Rab GTPase binding,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,18.72434616,27.72745323,19.29925346,48.04761887,15.19916248,33.63780975,62.14457321,55.45180511
1.29E-50,Rbp4,Retinol-binding protein 4,H7BWY6;Q00724,H7BWY6_MOUSE;RET4_MOUSE,";extracellular space,extracellular exosome",";eye development,gluconeogenesis,spermatogenesis,heart development,male gonad development,maintenance of gastrointestinal epithelium,lung development,positive regulation of insulin secretion,response to retinoic acid,response to insulin,retinol transport,retinol metabolic process,retinal metabolic process,glucose homeostasis,embryonic organ morphogenesis,embryonic skeletal system development,cardiac muscle tissue development,female genitalia morphogenesis,detection of light stimulus involved in visual perception,positive regulation of immunoglobulin secretion,retina development in camera-type eye,negative regulation of cardiac muscle cell proliferation,embryonic retina morphogenesis in camera-type eye,uterus development,vagina development,urinary bladder development,heart trabecula formation",";protein binding,retinal binding,retinol binding,retinol transporter activity",7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,184.6183624,279.5764771,162.5523682,792.8309326,103.5661774,160.1907501,182.2893524,192.5252991
6.71E-55,Arpc3,Actin-related protein 2/3 complex subunit 3,H7BWZ3;Q9JM76,H7BWZ3_MOUSE;ARPC3_MOUSE,";cytoplasm,Arp2/3 protein complex,focal adhesion,membrane,lamellipodium,filamentous actin,Requires Ontology,extracellular exosome",";Arp2/3 complex-mediated actin nucleation,cellular response to nerve growth factor stimulus",";structural constituent of cytoskeleton,actin filament binding",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,385.3545532,900.1900635,338.1539001,1126.587769,444.376709,463.6925354,1044.598755,680.4035034
5.54E-35,Opa1,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, mitochondrial;Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial",H7BX01;P58281;P58281-2,H7BX01_MOUSE;OPA1_MOUSE;OPA1_MOUSE,";nucleoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,mitochondrial intermembrane space,cytosol,membrane,integral component of membrane,mitochondrial crista,dendrite;",";mitochondrial genome maintenance,mitochondrial fission,neural tube closure,dynamin family protein polymerization involved in mitochondrial fission,apoptotic process,mitochondrion organization,inner mitochondrial membrane organization,visual perception,mitochondrial fusion,GTP metabolic process,protein oligomerization,negative regulation of release of cytochrome c from mitochondria,cellular senescence,Requires Ontology,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway;",";GTPase activity,protein binding,GTP binding,microtubule binding,phosphatidic acid binding,cardiolipin binding;",17,16,17,14,17,16,16,16,17,17,17,17,17,17,17,17,124.4666824,64.14020538,136.4227295,45.52650452,138.8698883,118.8651352,56.00426102,71.76243591
4.23E-44,Crat,Carnitine O-acetyltransferase,H7BX88;P47934,H7BX88_MOUSE;CACP_MOUSE,";mitochondrion,mitochondrial inner membrane,peroxisome,endoplasmic reticulum",";fatty acid metabolic process,transport,carnitine metabolic process, CoA-linked",";carnitine O-acetyltransferase activity,receptor binding",8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,230.4964752,59.67220306,234.3145142,49.69771576,206.754425,191.3892517,60.64264679,94.48310852
1.15E-52,Srsf1,Serine/arginine-rich-splicing factor 1;Serine/arginine-rich splicing factor 1,H7BX95;Q6PDM2,H7BX95_MOUSE;SRSF1_MOUSE,";nucleus,nucleoplasm,cytoplasm,nuclear speck,extracellular exosome,catalytic step 2 spliceosome,exon-exon junction complex",";alternative mRNA splicing, via spliceosome,mRNA 5'-splice site recognition,in utero embryonic development,RNA splicing,positive regulation of RNA splicing,oligodendrocyte differentiation,mRNA transport,cardiac muscle contraction,liver regeneration",";RNA binding,mRNA binding,protein binding,protein kinase B binding,DNA topoisomerase binding,RS domain binding",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,196.598175,528.3903198,181.4226227,409.1740112,220.9528656,218.3095856,558.2052612,419.2930298
6.33E-49,Rpl10,60S ribosomal protein L10 (Fragment);60S ribosomal protein L10,I7HLV2;Q6ZWV3,I7HLV2_MOUSE;RL10_MOUSE,";nucleus,cytoplasm,endoplasmic reticulum,membrane,cytosolic large ribosomal subunit,protein complex,smooth endoplasmic reticulum",";ribosomal large subunit assembly,negative regulation of transcription from RNA polymerase II promoter,translation,negative regulation of apoptotic process",";RNA binding,structural constituent of ribosome",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,507.4147949,1112.431763,525.7387085,866.4001465,615.1503906,620.524292,1228.760498,865.6239624
5.01E-45,Naxd,ATP-dependent (S)-NAD(P)H-hydrate dehydratase;ATP-dependent (S)-NAD(P)H-hydrate dehydratase;ATP-dependent (S)-NAD(P)H-hydrate dehydratase;Isoform 3 of ATP-dependent (S)-NAD(P)H-hydrate dehydratase,J3QMM7;K3W4M4;Q9CZ42;Q9CZ42-3,J3QMM7_MOUSE;K3W4M4_MOUSE;NNRD_MOUSE;NNRD_MOUSE,";;mitochondrion,endoplasmic reticulum,cytosol;",;;biological_process;,";;ATP binding,ATP-dependent NAD(P)H-hydrate dehydratase activity,ADP-dependent NAD(P)H-hydrate dehydratase activity;",10,8,9,9,10,10,9,10,10,10,10,10,10,10,10,10,92.26589966,61.18281937,97.62837982,44.92144394,96.72766876,94.10225677,53.78657913,55.05624771
8.62E-17,Arrb1,Beta-arrestin-1;Beta-arrestin-1;Isoform 1B of Beta-arrestin-1,J3QNU6;Q8BWG8;Q8BWG8-2,J3QNU6_MOUSE;ARRB1_MOUSE;ARRB1_MOUSE,";chromatin,intracellular,nucleus,nucleoplasm,cytoplasm,cytosol,clathrin-coated pit,postsynaptic density,basolateral plasma membrane,nuclear body,pseudopodium,cytoplasmic vesicle,dendritic spine,postsynaptic membrane;",";activation of MAPK activity,positive regulation of protein phosphorylation,G-protein coupled receptor internalization,positive regulation of receptor internalization,transcription from RNA polymerase II promoter,ubiquitin-dependent protein catabolic process,apoptotic process,phototransduction,regulation of G-protein coupled receptor protein signaling pathway,protein transport,protein ubiquitination,negative regulation of protein ubiquitination,positive regulation of protein ubiquitination,negative regulation of NF-kappaB transcription factor activity,positive regulation of protein binding,negative regulation of interleukin-6 production,negative regulation of interleukin-8 production,positive regulation of peptidyl-serine phosphorylation,negative regulation of GTPase activity,positive regulation of smooth muscle cell apoptotic process,positive regulation of Rho protein signal transduction,positive regulation of histone acetylation,positive regulation of insulin secretion involved in cellular response to glucose stimulus,response to drug,follicle-stimulating hormone signaling pathway,regulation of apoptotic process,stress fiber assembly,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of GTPase activity,negative regulation of Notch signaling pathway,positive regulation of transcription from RNA polymerase II promoter,negative regulation of ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,positive regulation of histone H4 acetylation;",";GTPase activator activity,insulin-like growth factor receptor binding,protein binding,transcription factor binding,estrogen receptor binding,mitogen-activated protein kinase kinase binding,ubiquitin protein ligase binding,alpha-1A adrenergic receptor binding,alpha-1B adrenergic receptor binding,angiotensin receptor binding,follicle-stimulating hormone receptor binding,V2 vasopressin receptor binding,AP-2 adaptor complex binding,clathrin adaptor activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,transcription regulatory region DNA binding,ion channel binding,protein phosphorylated amino acid binding,arrestin family protein binding;",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22.46517944,31.89780807,20.80953407,22.22598648,24.5980854,16.74638557,55.18743896,26.79721069
3.72E-56,Gm9242;Hnrnpa3,Protein Gm9242;Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3,J3QNY1;Q8BG05-2,J3QNY1_MOUSE;ROA3_MOUSE,"nucleoplasm,cytoplasm,ribonucleoprotein granule,neuron projection,catalytic step 2 spliceosome,messenger ribonucleoprotein complex;",mRNA transport;,"mRNA binding,RNA transmembrane transporter activity;",3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,86.49963379,355.4561768,81.2884903,163.3072662,97.50782013,85.30358887,366.1584167,234.5430145
6.56E-57,Lypla1,Acyl-protein thioesterase 1;Acyl-protein thioesterase 1;Isoform 2 of Acyl-protein thioesterase 1,J3QP56;P97823;P97823-2,J3QP56_MOUSE;LYPA1_MOUSE;LYPA1_MOUSE,";mitochondrion,cytosol,extracellular exosome;",";protein depalmitoylation,fatty acid metabolic process,negative regulation of Golgi to plasma membrane protein transport;",";palmitoyl-(protein) hydrolase activity,lipase activity,carboxylic ester hydrolase activity;",9,7,9,9,9,9,7,8,9,9,9,9,9,9,9,9,1017.544373,423.5333557,971.3416138,205.7764893,867.6137695,983.6187134,267.8954773,381.2276611
1.63E-42,Bsg,Basigin (Fragment);Basigin;Basigin;Isoform 2 of Basigin,J3QP71;K3W4Q8;P18572;P18572-2,J3QP71_MOUSE;K3W4Q8_MOUSE;BASI_MOUSE;BASI_MOUSE,";;acrosomal membrane,mitochondrion,plasma membrane,integral component of plasma membrane,focal adhesion,membrane,sarcolemma,melanosome,intracellular membrane-bounded organelle,membrane raft,extracellular exosome;",";;embryo implantation,odontogenesis of dentin-containing tooth,response to peptide hormone,response to mercury ion,decidualization,response to cAMP,protein localization to plasma membrane;",";;mannose binding,cadherin binding;",5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,562.4713135,173.0581512,693.6022339,470.5091858,628.4438477,452.4100952,132.6295471,164.3900146
1.01E-25,Pitpna,Phosphatidylinositol transfer protein alpha isoform,J3QPW1;J3QQ30;P53810,J3QPW1_MOUSE;J3QQ30_MOUSE;PIPNA_MOUSE,";;cytosol,integral component of membrane,myelin sheath,extracellular exosome",";;transport,axonogenesis,phospholipid transport",";;phospholipid binding,lipid binding,phosphatidylcholine transporter activity,phosphatidylinositol transporter activity,phosphatidylcholine binding,phosphatidylinositol binding",5,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,58.4907608,91.23581696,58.42428589,105.8055725,61.13303757,64.84590149,118.517189,90.78193665
2.01E-53,Pbld2;Pbld1,Phenazine biosynthesis-like domain-containing protein 2;Phenazine biosynthesis-like domain-containing protein 1,K3W4L7;Q9DCG6,K3W4L7_MOUSE;PBLD1_MOUSE,";cytoplasm,extracellular exosome",";biosynthetic process,negative regulation of epithelial cell migration,negative regulation of epithelial to mesenchymal transition,maintenance of gastrointestinal epithelium,negative regulation of transforming growth factor beta receptor signaling pathway,negative regulation of epithelial cell proliferation,negative regulation of SMAD protein import into nucleus,negative regulation of pathway-restricted SMAD protein phosphorylation",";isomerase activity,identical protein binding",13,13,13,8,13,13,12,12,13,13,13,13,13,13,13,13,419.1856384,173.1640778,431.8370056,18.72432518,420.5683899,431.2589111,97.64956665,160.8010406
1.92E-42,Myh14,Myosin-14;Myosin-14;Isoform 2 of Myosin-14;Isoform 3 of Myosin-14,K3W4R2;Q6URW6;Q6URW6-2;Q6URW6-3,K3W4R2_MOUSE;MYH14_MOUSE;MYH14_MOUSE;MYH14_MOUSE,";stress fiber,cytoplasm,brush border,membrane,myosin complex,myosin II complex,axon,growth cone,actomyosin,myelin sheath,extracellular exosome,myosin II filament;;",";skeletal muscle contraction,skeletal muscle tissue development,sensory perception of sound,regulation of cell shape,neuronal action potential,actin filament-based movement,actomyosin structure organization,mitochondrion morphogenesis,vocalization behavior;;",";microfilament motor activity,calmodulin binding,ATP binding,ATPase activity,actin-dependent ATPase activity,actin filament binding;;",2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,67.97019958,32.28162766,35.82447815,52.37425232,42.1561203,30.93122292,47.74741745,23.19178391
7.33E-20,Atp6v0a1,V-type proton ATPase subunit a;V-type proton ATPase 116 kDa subunit a isoform 1;Isoform A1-I of V-type proton ATPase 116 kDa subunit a isoform 1;Isoform A1-III of V-type proton ATPase 116 kDa subunit a isoform 1,K3W4T3;Q9Z1G4;Q9Z1G4-2;Q9Z1G4-3,K3W4T3_MOUSE;VPP1_MOUSE;VPP1_MOUSE;VPP1_MOUSE,";vacuolar proton-transporting V-type ATPase, V0 domain,cytoplasm,Golgi apparatus,cytosol,plasma membrane,integral component of membrane,vacuolar proton-transporting V-type ATPase complex,nuclear speck,cytoplasmic vesicle membrane,melanosome,intracellular membrane-bounded organelle,extracellular exosome;;",";vacuolar acidification,ATP synthesis coupled proton transport,ATP hydrolysis coupled proton transport,regulation of macroautophagy,vacuolar proton-transporting V-type ATPase complex assembly,toxin transport;;",";protein binding,proton-transporting ATPase activity, rotational mechanism,ATPase binding;;",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,58.51396561,80.45802307,56.86833954,117.3571472,49.57001114,51.40284348,77.62841797,64.76918793
1.57E-28,Cirbp,"Cold inducible RNA binding protein, isoform CRA_a;Cold-inducible RNA-binding protein",K4DI65;P60824,K4DI65_MOUSE;CIRBP_MOUSE,";nucleus,nucleoplasm,nucleolus,cytoplasm,cytoplasmic stress granule",";response to UV,negative regulation of translation,negative regulation of cell growth,stress granule assembly,positive regulation of translation,mRNA stabilization,cellular response to cold,regulation of cell cycle G1/S phase transition",";RNA binding,mRNA 3'-UTR binding,poly(U) RNA binding,translation repressor activity,small ribosomal subunit rRNA binding",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4.105826855,22.24118233,7.330960274,11.53783703,4.515788078,4.304121017,23.44902611,17.51908493
1.29E-36,Mup7,Protein Mup7 (Fragment),L7MUC7,L7MUC7_MOUSE,,,,2,4,1,4,2,1,4,4,4,4,4,4,4,4,4,4,972.0652466,10429.72754,1035.955688,2404.616943,637.6685791,882.7028809,8794.919922,9195.12793
3.32E-27,Itgb2,Integrin beta;Integrin beta-2;Integrin beta,M0QWA7;P11835;Q542I8,M0QWA7_MOUSE;ITB2_MOUSE;Q542I8_MOUSE,";cell surface,membrane,integrin alphaL-beta2 complex,receptor complex,membrane raft,extracellular exosome,extracellular vesicle;",";phagocytosis, engulfment,cell adhesion,leukocyte cell-cell adhesion,cell-matrix adhesion,integrin-mediated signaling pathway,neutrophil chemotaxis,receptor internalization,heterotypic cell-cell adhesion,receptor clustering,cellular extravasation,regulation of peptidyl-tyrosine phosphorylation,activated T cell proliferation,cellular response to low-density lipoprotein particle stimulus,beta-amyloid clearance,cell-cell adhesion;",";beta-amyloid binding,complement component C3b binding,protein binding,protein kinase binding,ICAM-3 receptor activity,heat shock protein binding,metal ion binding,cell adhesion molecule binding;",2,4,0,4,1,3,4,4,4,4,4,4,4,4,4,4,11.69554138,17.41823387,14.63469028,88.26789856,9.214112282,16.44182014,19.70680428,12.65339375
3.98E-44,Agrn,Agrin,M0QWP1,M0QWP1_MOUSE,,,,16,20,18,18,18,17,19,19,20,20,20,20,20,20,20,20,70.15572357,181.5699768,59.22228241,222.6019135,56.52854156,54.38000107,158.5508575,143.0961304
8.12E-65,Capn2,Calpain-2 catalytic subunit,O08529,CAN2_MOUSE,"chromatin,nucleus,cytoplasm,lysosome,endoplasmic reticulum,Golgi apparatus,cytosol,plasma membrane,focal adhesion,dendrite,pseudopodium,membrane raft,extracellular exosome,perinuclear endoplasmic reticulum","response to hypoxia,blastocyst development,proteolysis,myoblast fusion,protein autoprocessing,regulation of cytoskeleton organization,proteolysis involved in cellular protein catabolic process,cellular response to amino acid stimulus","calcium-dependent cysteine-type endopeptidase activity,calcium ion binding,cytoskeletal protein binding,peptidase activity,protein heterodimerization activity",12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,57.35177994,170.6895447,59.15087509,174.1231537,58.0321312,83.87019348,269.9997559,180.3770294
8.29E-41,Sec22b,Vesicle-trafficking protein SEC22b,O08547,SC22B_MOUSE,"Golgi membrane,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment,ER to Golgi transport vesicle membrane,integral component of membrane,SNARE complex,endoplasmic reticulum-Golgi intermediate compartment membrane,melanosome","ER to Golgi vesicle-mediated transport,protein transport,vesicle-mediated transport,positive regulation of protein catabolic process,vesicle fusion with Golgi apparatus,negative regulation of autophagosome assembly,exocytosis","SNARE binding,SNAP receptor activity,protein binding,syntaxin binding",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75.43428802,122.3844757,81.47239685,140.5110626,96.19008636,71.62046051,129.3030548,120.7979736
4.02E-53,Dpysl2,Dihydropyrimidinase-related protein 2,O08553,DPYL2_MOUSE,"mitochondrion,cytosol,plasma membrane,axon,dendrite,growth cone,neuronal cell body,terminal bouton,myelin sheath,protein complex,extracellular exosome,microtubule,membrane","response to amphetamine,endocytosis,cytoskeleton organization,axon guidance,regulation of neuron projection development,positive regulation of glutamate secretion,spinal cord development,olfactory bulb development,regulation of axon extension,response to cocaine,response to drug,synaptic vesicle transport","protein binding,microtubule binding,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,protein kinase binding,identical protein binding",16,17,15,16,16,15,17,16,18,18,18,18,18,18,18,18,265.1661072,601.361084,275.8139954,562.6326904,267.573822,314.719574,783.8040771,573.675354
2.37E-59,Alyref,THO complex subunit 4,O08583,THOC4_MOUSE,"nucleus,spliceosomal complex,cytoplasm,nuclear speck","mRNA processing,RNA splicing,mRNA transport","single-stranded DNA binding,RNA binding",4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,43.56114197,131.6645508,53.49079132,86.63160706,47.74137497,61.01981735,211.0449677,145.8768463
8.98E-50,Endog,"Endonuclease G, mitochondrial",O08600,NUCG_MOUSE,"nucleus,mitochondrion,cytosol,perikaryon","in utero embryonic development,DNA catabolic process,apoptotic DNA fragmentation,aging,response to mechanical stimulus,response to estradiol,response to tumor necrosis factor,neuron death in response to oxidative stress,positive regulation of apoptotic process,response to antibiotic,cellular response to calcium ion,cellular response to glucose stimulus,cellular response to hypoxia,positive regulation of hydrogen peroxide-mediated programmed cell death,positive regulation of apoptotic DNA fragmentation","nucleic acid binding,endonuclease activity,deoxyribonuclease activity,metal ion binding",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,120.5091171,42.49300385,130.1313324,32.27511215,93.37319183,110.0064468,24.2991066,25.54533958
2.54E-50,Metap2,Methionine aminopeptidase 2,O08663;Q3TMN1;Q3UI33,MAP2_MOUSE;Q3TMN1_MOUSE;Q3UI33_MOUSE,"cytoplasm,cytosol,plasma membrane;;","protein processing,peptidyl-methionine modification,N-terminal protein amino acid modification;;","RNA binding,aminopeptidase activity,protein binding,metalloexopeptidase activity,metal ion binding;;",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28.93915939,53.17352295,25.09045792,45.30277252,31.02191734,25.97209549,64.26078796,49.09064865
9.65E-51,Kng1,Isoform LMW of Kininogen-1,O08677-2,KNG1_MOUSE,,,,14,13,14,14,14,14,13,13,14,14,14,14,14,14,14,14,360.0560303,398.0772095,272.8130188,3483.217041,356.5410461,359.4585876,735.7183228,413.2092285
1.42E-36,Ngp,Neutrophilic granule protein,O08692,NGP_MOUSE,"extracellular space,cytoplasmic vesicle","defense response,negative regulation of endopeptidase activity,negative regulation of angiogenesis,negative regulation of lymphangiogenesis",cysteine-type endopeptidase inhibitor activity,7,6,3,8,3,5,6,7,8,8,8,8,8,8,8,8,44.97399139,110.1882553,23.61148643,1919.831177,30.72422409,46.70645142,165.0111084,69.4462204
2.17E-57,Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",O08749,DLDH_MOUSE,"nucleoplasm,mitochondrion,mitochondrial matrix,cilium,motile cilium,acrosomal matrix,myelin sheath,oxoglutarate dehydrogenase complex,pyruvate dehydrogenase complex","2-oxoglutarate metabolic process,mitochondrial electron transport, NADH to ubiquinone,proteolysis,gastrulation,aging,lipoate metabolic process,regulation of membrane potential,cell redox homeostasis,sperm capacitation,dihydrolipoamide metabolic process,mitochondrial acetyl-CoA biosynthetic process from pyruvate","dihydrolipoyl dehydrogenase activity,electron carrier activity,lipoamide binding,flavin adenine dinucleotide binding,NAD binding,pyruvate dehydrogenase (NAD+) activity",28,27,28,27,28,28,26,26,28,28,28,28,28,28,28,28,3222.718994,1256.064941,2838.031494,1388.682251,3028.538574,2649.794678,819.2576904,1313.121826
7.21E-44,Prkcsh,Glucosidase 2 subunit beta;Isoform 2 of Glucosidase 2 subunit beta,O08795;O08795-2,GLU2B_MOUSE,endoplasmic reticulum;,"in utero embryonic development,liver development,N-glycan processing,nitrogen compound metabolic process,negative regulation of neuron projection development,protein heterooligomerization,renal system development;","RNA binding,protein kinase C binding,calcium ion binding,protein binding,ion channel binding,phosphoprotein binding;",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,209.0292816,289.8773193,221.8072052,394.1972351,223.2272797,232.602829,287.232666,277.0505981
5.67E-38,Serpinb9,Protein Serpinb9,O08797,O08797_MOUSE,"extracellular space,intracellular,nucleus,cytoplasm,cytosol,membrane,extracellular exosome","T cell mediated cytotoxicity,acute inflammatory response to antigenic stimulus,apoptotic process,immune response,response to bacterium,positive regulation of gene expression,negative regulation of endopeptidase activity,negative regulation by symbiont of host apoptotic process,protection from natural killer cell mediated cytotoxicity,defense response to bacterium,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,negative regulation of T cell apoptotic process","protease binding,serine-type endopeptidase inhibitor activity,protein binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process",7,9,8,9,8,8,9,9,9,9,9,9,9,9,9,9,32.72834015,182.618103,44.2523613,129.6962128,39.91241455,41.67199326,316.6917114,170.34552
5.80E-18,Serpinb6b,NK13,O08804,O08804_MOUSE,"extracellular space,intracellular,cytoplasm","gonad development,negative regulation of endopeptidase activity",serine-type endopeptidase inhibitor activity,3,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,8.749740601,45.76243591,11.39576721,49.36662674,12.39026737,8.566658974,55.5866127,34.67494202
3.33E-46,Prdx4,Peroxiredoxin-4,O08807,PRDX4_MOUSE,"nucleus,cytoplasm,mitochondrion,endoplasmic reticulum,smooth endoplasmic reticulum,cytosol,extracellular exosome","spermatogenesis,male gonad development,4-hydroxyproline metabolic process,protein maturation by protein folding,extracellular matrix organization,cell redox homeostasis,oxidation-reduction process,reactive oxygen species metabolic process,cellular oxidant detoxification,negative regulation of male germ cell proliferation","peroxidase activity,protein binding,protein homodimerization activity,peroxiredoxin activity",4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,8.796768188,22.0728302,9.148492813,78.31908417,9.80559063,14.34843445,27.08170128,26.33942223
2.86E-24,Faah,Fatty-acid amide hydrolase 1,O08914,FAAH1_MOUSE,"Golgi membrane,endoplasmic reticulum membrane,integral component of membrane,organelle membrane",fatty acid catabolic process,"amidase activity,fatty acid amide hydrolase activity,acylglycerol lipase activity,Requires Ontology,anandamide amidohydrolase activity",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,81.66706848,34.28249359,61.5184021,49.11487198,76.80201721,44.16491318,20.28457642,52.39058685
9.59E-31,Flot1,Flotillin-1,O08917,FLOT1_MOUSE,"uropod,lysosomal membrane,endosome,early endosome,microtubule organizing center,plasma membrane,caveola,cell-cell junction,cell-cell adherens junction,focal adhesion,membrane,basolateral plasma membrane,flotillin complex,lamellipodium,cytoplasmic vesicle,centriolar satellite,sarcolemma,melanosome,cell-cell contact zone,plasma membrane raft,membrane raft,extracellular exosome,COP9 signalosome,cortical actin cytoskeleton","membrane raft assembly,positive regulation of cytokine production,positive regulation of protein phosphorylation,regulation of receptor internalization,endocytosis,axonogenesis,axon guidance,extracellular matrix disassembly,positive regulation of protein binding,positive regulation of synaptic transmission, dopaminergic,positive regulation of interferon-beta production,dsRNA transport,positive regulation of heterotypic cell-cell adhesion,positive regulation of toll-like receptor 3 signaling pathway,response to endoplasmic reticulum stress,regulation of Rho protein signal transduction,plasma membrane raft assembly,positive regulation of endocytosis,positive regulation of skeletal muscle tissue development,protein stabilization,protein homooligomerization,positive regulation of cell adhesion molecule production,protein kinase C signaling,cellular response to exogenous dsRNA,protein localization to plasma membrane,positive regulation of myoblast fusion,positive regulation of cell junction assembly,protein localization to membrane raft,positive regulation of cell-cell adhesion mediated by cadherin","protease binding,protein binding,ionotropic glutamate receptor binding,protein heterodimerization activity",3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,14.97243309,49.83482361,12.78127861,79.16619873,19.87639046,19.80941963,69.84043884,49.11925507
3.96E-19,Slc22a1,Solute carrier family 22 member 1,O08966,S22A1_MOUSE,"integral component of plasma membrane,basolateral plasma membrane","cation transport,neurotransmitter transport,drug transmembrane transport,establishment or maintenance of transmembrane electrochemical gradient,quaternary ammonium group transport,organic anion transport,dopamine transport,norepinephrine transport,epinephrine transport,protein homooligomerization,ammonium transmembrane transport,acetate ester transport","acetylcholine transmembrane transporter activity,dopamine transmembrane transporter activity,norepinephrine transmembrane transporter activity,secondary active organic cation transmembrane transporter activity,organic anion transmembrane transporter activity,organic cation transmembrane transporter activity,quaternary ammonium group transmembrane transporter activity,protein homodimerization activity",4,3,4,0,4,4,3,2,4,4,4,4,4,4,4,4,43.20434952,9.534749031,53.36155701,14.29122448,49.90631485,43.23668289,7.279491901,15.95037937
