PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Golga2,Golgin subfamily A member 2;Golgin subfamily A member 2;Isoform 2 of Golgin subfamily A member 2;Golgin subfamily A member 2 (Fragment),E9PUQ5;Q921M4;Q921M4-2;Z4YJU8,E9PUQ5_MOUSE;GOGA2_MOUSE;GOGA2_MOUSE;Z4YJU8_MOUSE,";Golgi cis cisterna,Golgi membrane,spindle pole,nucleus,Golgi apparatus,cis-Golgi network,microtubule,ER to Golgi transport vesicle,Golgi cisterna membrane,mitotic spindle;;",";protein glycosylation,ER to Golgi vesicle-mediated transport,microtubule nucleation,centrosome cycle,asymmetric cell division,negative regulation of autophagy,negative regulation of protein binding,positive regulation of axonogenesis,spindle assembly,protein homotetramerization,Golgi localization,positive regulation of protein glycosylation,Golgi ribbon formation,Golgi disassembly,spindle assembly involved in meiosis,mitotic spindle assembly;;",";protein binding,microtubule binding,protein kinase binding,syntaxin binding,cadherin binding,importin-alpha family protein binding;;",2.2845809586862413E-44,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,13.423192977905273,24.103458404541016,19.70670509338379,21.59745216369629,16.5997371673584,11.098215103149414,28.39943504333496,26.056983947753906
Mtdh,Protein LYRIC,E9PUX0;Q80WJ7,E9PUX0_MOUSE;LYRIC_MOUSE,";fibrillar center,nucleus,nucleolus,cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,bicellular tight junction,integral component of membrane,apical plasma membrane,nuclear body,nuclear membrane,intercellular canaliculus,perinuclear region of cytoplasm",";negative regulation of transcription from RNA polymerase II promoter,positive regulation of autophagy,lipopolysaccharide-mediated signaling pathway,negative regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of angiogenesis,positive regulation of NF-kappaB transcription factor activity,positive regulation of protein kinase B signaling,bicellular tight junction assembly",";RNA polymerase II transcription factor binding,transcription coactivator activity,RNA binding,double-stranded RNA binding,protein binding,NF-kappaB binding",1.0969131926475475E-68,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,55.818973541259766,102.73992156982422,100.38104248046875,67.34590148925781,55.414493560791016,52.68387985229492,87.61506652832031,75.0722427368164
Cul5,Cullin-5;Cullin-5;Cullin 5;Cullin-5,E9PV12;E9Q6Z0;G3X914;Q9D5V5,E9PV12_MOUSE;E9Q6Z0_MOUSE;G3X914_MOUSE;CUL5_MOUSE,";;;Cul5-RING ubiquitin ligase complex,Cul4-RING E3 ubiquitin ligase complex",";;;cellular response to DNA damage stimulus,protein ubiquitination,cerebral cortex radially oriented cell migration,radial glia guided migration of Purkinje cell,protein ubiquitination involved in ubiquitin-dependent protein catabolic process",";;;protein binding,ubiquitin protein ligase binding,protein heterodimerization activity,ubiquitin protein ligase activity",1.4981053005616133E-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51.05303955078125,54.93180847167969,41.2384147644043,30.996299743652344,36.84276580810547,48.02806854248047,35.225624084472656,43.06723403930664
Lrrc47,Leucine-rich repeat-containing protein 47,E9PV22;Q505F5,E9PV22_MOUSE;LRC47_MOUSE,";cellular_component,phenylalanine-tRNA ligase complex",";biological_process,phenylalanyl-tRNA aminoacylation",";RNA binding,phenylalanine-tRNA ligase activity",3.702398438867517E-59,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,75.6832275390625,102.07156372070312,55.679290771484375,97.18742370605469,74.52007293701172,75.82734680175781,141.70079040527344,93.37901306152344
Fga,Fibrinogen alpha chain;Isoform 2 of Fibrinogen alpha chain,E9PV24;E9PV24-2,FIBA_MOUSE,"fibrinogen complex,extracellular space,cell cortex,external side of plasma membrane,cell surface,platelet alpha granule,extracellular exosome,blood microparticle,extracellular vesicle;","adaptive immune response,protein complex assembly,cell-matrix adhesion,signal transduction,blood coagulation,plasminogen activation,positive regulation of heterotypic cell-cell adhesion,fibrinolysis,induction of bacterial agglutination,cellular protein complex assembly,innate immune response,positive regulation of vasoconstriction,positive regulation of exocytosis,positive regulation of protein secretion,protein polymerization,response to calcium ion,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,blood coagulation, common pathway,blood coagulation, fibrin clot formation,positive regulation of peptide hormone secretion,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of endothelial cell apoptotic process;","structural molecule activity,protein binding, bridging,metal ion binding,receptor binding,cell adhesion molecule binding;",4.638792121795161E-71,24,26,24,29,25,24,29,28,24,26,24,29,25,24,29,28,677.5338745117188,863.23681640625,591.6702270507812,14351.01953125,536.4296264648438,745.9990844726562,1534.563720703125,1089.9986572265625
Atpif1,"ATPase inhibitor, mitochondrial",E9PV44,E9PV44_MOUSE,,,,3.060694915276967E-85,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,264.7004699707031,137.68833923339844,282.45245361328125,32.56105422973633,278.5155944824219,179.55096435546875,79.31885528564453,115.6303939819336
Gcn1,eIF-2-alpha kinase activator GCN1,E9PVA8,GCN1_MOUSE,"cytosol,polysome,membrane","regulation of translation,positive regulation of kinase activity,cellular response to amino acid starvation,positive regulation of transcription from RNA polymerase II promoter in response to stress,regulation of protein kinase activity,cellular response to leucine starvation","RNA binding,protein binding,protein kinase regulator activity,protein kinase binding,ribosome binding,cadherin binding",1.1903334882894835E-63,15,15,13,14,14,13,15,15,15,15,13,14,14,13,15,15,76.23912811279297,114.07524108886719,83.73242950439453,110.45403289794922,69.78451538085938,73.78675842285156,133.8148651123047,105.8731689453125
Gm20498;Synj2bp;Synj2bp;Synj2bp;Synj2bp,Protein Gm20498;Synaptojanin-2-binding protein;Isoform 2 of Synaptojanin-2-binding protein;Isoform 3 of Synaptojanin-2-binding protein;Isoform 4 of Synaptojanin-2-binding protein,E9PVN6;Q9D6K5;Q9D6K5-2;Q9D6K5-3;Q9D6K5-4,E9PVN6_MOUSE;SYJ2B_MOUSE;SYJ2B_MOUSE;SYJ2B_MOUSE;SYJ2B_MOUSE,";mitochondrion,mitochondrial outer membrane,integral component of mitochondrial outer membrane,perinuclear region of cytoplasm;;;",";negative regulation of endothelial cell proliferation,protein targeting,endocytosis,cytoplasm organization,Rho protein signal transduction,regulation of Notch signaling pathway,negative regulation of endothelial cell migration,negative regulation of angiogenesis,regulation of endocytosis,intracellular distribution of mitochondria,negative regulation of ERK1 and ERK2 cascade,negative regulation of sprouting angiogenesis;;;",";protein binding,protein C-terminus binding;;;",1.123623917299901E-48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,103.8589096069336,65.25941467285156,88.45513916015625,51.46021270751953,68.84071350097656,76.73573303222656,60.04506301879883,53.39912796020508
Stard10,PCTP-like protein;PCTP-like protein (Fragment);PCTP-like protein,E9PVP0;G3UW37;Q9JMD3,E9PVP0_MOUSE;G3UW37_MOUSE;PCTL_MOUSE,";;cytosol,microvillus,membrane,motile cilium,intercellular canaliculus",";;bile acid secretion,positive regulation of peroxisome proliferator activated receptor signaling pathway",;;lipid binding,3.690200358299175E-65,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,126.07646179199219,93.0700912475586,141.56845092773438,40.1985969543457,107.0765609741211,80.17298126220703,66.69266510009766,74.73448181152344
Itih3,Inter-alpha-trypsin inhibitor heavy chain H3,E9PVS1;Q61704,E9PVS1_MOUSE;ITIH3_MOUSE,;extracellular exosome,";negative regulation of endopeptidase activity,hyaluronan metabolic process",;serine-type endopeptidase inhibitor activity,4.071128410246709E-63,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,125.45655059814453,112.9819107055664,71.74468994140625,747.1572265625,54.07390213012695,137.12840270996094,249.8983917236328,117.51334381103516
Myo6,Unconventional myosin-VI,E9PVU0;E9Q175,E9PVU0_MOUSE;E9Q175_MOUSE,;,;,;,9.434597318651505E-80,45,44,44,44,44,44,45,45,45,44,44,44,44,44,45,45,292.1439514160156,268.62567138671875,324.64910888671875,131.44981384277344,312.76513671875,281.5157165527344,227.12252807617188,248.1858673095703
Fhit,Bis(5'-adenosyl)-triphosphatase (Fragment);Bis(5'-adenosyl)-triphosphatase;Bis(5'-adenosyl)-triphosphatase (Fragment);Bis(5'-adenosyl)-triphosphatase,E9PVU9;E9PZ91;F6SV10;O89106,E9PVU9_MOUSE;E9PZ91_MOUSE;F6SV10_MOUSE;FHIT_MOUSE,";;;fibrillar center,cytoplasm,cytosol,plasma membrane,extracellular exosome",";;;purine nucleotide metabolic process,DNA replication,transcription, DNA-templated,regulation of transcription, DNA-templated,nucleotide metabolic process,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,intrinsic apoptotic signaling pathway by p53 class mediator",";;;nucleotide binding,catalytic activity,hydrolase activity,ubiquitin protein ligase binding,identical protein binding,bis(5'-adenosyl)-triphosphatase activity",2.006829370821456E-69,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,73.19152069091797,46.49351501464844,94.87041473388672,10.252859115600586,78.99488830566406,17.13031578063965,27.778329849243164,40.22421646118164
Chtop,Chromatin target of PRMT1 protein;Chromatin target of PRMT1 protein;Isoform 2 of Chromatin target of PRMT1 protein;Isoform 3 of Chromatin target of PRMT1 protein;Isoform 4 of Chromatin target of PRMT1 protein;Isoform 5 of Chromatin target of PRMT1 protein,E9PW20;Q9CY57;Q9CY57-2;Q9CY57-3;Q9CY57-4;Q9CY57-5,E9PW20_MOUSE;CHTOP_MOUSE;CHTOP_MOUSE;CHTOP_MOUSE;CHTOP_MOUSE;CHTOP_MOUSE,";transcription export complex,nucleolus,nuclear speck,cytoplasmic ribonucleoprotein granule;;;;",";transcription, DNA-templated,regulation of transcription, DNA-templated,mRNA export from nucleus,positive regulation of cell proliferation,positive regulation of histone methylation,positive regulation of ATPase activity,positive regulation of helicase activity;;;;",";RNA binding,protein binding,methyl-CpG binding;;;;",1.4865987867165706E-50,1,2,1,2,2,2,2,2,0,2,1,2,2,2,2,2,NaN,7.654313564300537,2.047773838043213,20.02436637878418,2.0894486904144287,3.151930093765259,12.069101333618164,1.5336346626281738
Nap1l1,Nucleosome assembly protein 1-like 1,E9PW66;P28656,E9PW66_MOUSE;NP1L1_MOUSE,";nucleus,membrane,melanosome",;nucleosome assembly,";RNA binding,protein binding",3.1291801597973384E-78,10,9,9,10,9,8,10,10,10,9,9,10,9,8,10,10,56.507896423339844,181.8849334716797,61.1843376159668,216.32969665527344,60.60226821899414,68.51922607421875,190.75624084472656,147.0282440185547
Dpysl3,Dihydropyrimidinase-related protein 3,E9PWE8,E9PWE8_MOUSE,,,,8.503194695568868E-74,13,18,12,18,13,15,18,18,13,18,12,18,13,15,18,18,66.19827270507812,539.7042236328125,39.6334342956543,642.5466918945312,53.60265350341797,65.6313705444336,716.2293701171875,545.302734375
Col6a3,Protein Col6a3,E9PWQ3,E9PWQ3_MOUSE,"proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,sarcolemma,extracellular exosome,extracellular vesicle",negative regulation of endopeptidase activity,serine-type endopeptidase inhibitor activity,1.352149703041444E-92,49,52,50,54,36,50,54,54,49,52,50,54,36,50,54,54,167.34031677246094,296.0601501464844,168.66473388671875,984.4304809570312,54.34632110595703,173.92901611328125,295.7290344238281,243.76602172851562
Ctbp2,"C-terminal-binding protein 2 (Fragment);C-terminal-binding protein 2;Isoform 2 of C-terminal-binding protein 2;C-terminal binding protein 2, isoform CRA_b",E9PWQ9;P56546;P56546-2;Q91YZ2,E9PWQ9_MOUSE;CTBP2_MOUSE;CTBP2_MOUSE;Q91YZ2_MOUSE,";nucleus,cytosol,transcriptional repressor complex,cell junction,synapse,ribbon synapse;;",";transcription, DNA-templated,positive regulation of chromatin binding,negative regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of retinoic acid receptor signaling pathway,white fat cell differentiation,oxidation-reduction process,cellular response to leukemia inhibitory factor;;",";chromatin binding,transcription coactivator activity,transcription corepressor activity,protein binding,hydroxypyruvate reductase activity,protein kinase binding,glyoxylate reductase (NADP) activity,protein complex binding,protein homodimerization activity,retinoic acid receptor binding,NAD binding;;",3.988916865070553E-59,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,37.322811126708984,56.48414993286133,17.13363265991211,81.34658813476562,22.90978240966797,32.67793273925781,84.54486846923828,57.53477096557617
Rps6ka1,Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-1 (Fragment);Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-1;Ribosomal protein S6 kinase,E9PWV3;F6Q8A4;F6RQA2;P18653;Q505N6,E9PWV3_MOUSE;F6Q8A4_MOUSE;F6RQA2_MOUSE;KS6A1_MOUSE;Q505N6_MOUSE,";;;nucleus,cytoplasm,spindle,cytosol;",";;;protein phosphorylation,apoptotic process,intracellular signal transduction,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of transcription from RNA polymerase II promoter,hepatocyte proliferation,positive regulation of hepatic stellate cell activation;",";;;magnesium ion binding,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,ATP binding,transcription factor binding,kinase activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process;",4.0040677265856223E-38,2,3,2,3,3,2,3,3,2,3,2,3,3,2,3,3,65.58111572265625,57.52969741821289,50.46577835083008,87.32850646972656,54.15605545043945,69.15046691894531,80.50151062011719,81.45067596435547
Farsa,Phenylalanine--tRNA ligase alpha subunit,E9PWY9;Q8C0C7,E9PWY9_MOUSE;SYFA_MOUSE,";cytoplasm,phenylalanine-tRNA ligase complex,membrane",";phenylalanyl-tRNA aminoacylation,protein heterotetramerization",";tRNA binding,RNA binding,phenylalanine-tRNA ligase activity,ATP binding",7.14195891522236E-71,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,101.4781494140625,114.91716003417969,101.2192611694336,84.5183334350586,95.42192077636719,103.99466705322266,145.82058715820312,118.23155212402344
Col12a1,Collagen alpha-1(XII) chain;Collagen alpha-1(XII) chain;Isoform 2 of Collagen alpha-1(XII) chain;Isoform 5 of Collagen alpha-1(XII) chain,E9PX70;Q60847;Q60847-2;Q60847-5,E9PX70_MOUSE;COCA1_MOUSE;COCA1_MOUSE;COCA1_MOUSE,";proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,extracellular exosome,extracellular vesicle;;",";cell adhesion,endodermal cell differentiation;;",;;;,8.857447852137823E-63,11,25,7,26,4,11,26,27,11,25,7,26,4,11,26,27,19.522037506103516,68.29238891601562,9.855305671691895,692.9398193359375,6.037016868591309,24.065723419189453,78.32488250732422,79.57286834716797
Folr1,Folate receptor alpha (Fragment);Folate receptor alpha (Fragment);Folate receptor alpha (Fragment);Folate receptor alpha,E9PXL5;E9PYD9;E9Q543;P35846,E9PXL5_MOUSE;E9PYD9_MOUSE;E9Q543_MOUSE;FOLR1_MOUSE,";;;nucleus,endosome,cell surface,membrane,basolateral plasma membrane,apical plasma membrane,clathrin-coated vesicle,anchored component of external side of plasma membrane,brush border membrane,extracellular exosome",";;;heart looping,neural crest cell migration involved in heart formation,cardiac neural crest cell migration involved in outflow tract morphogenesis,posttranslational protein targeting to membrane,folic acid transport,regulation of transforming growth factor beta receptor signaling pathway,axon regeneration,folic acid metabolic process,response to axon injury,regulation of canonical Wnt signaling pathway,pharyngeal arch artery morphogenesis,anterior neural tube closure,cellular response to folic acid",";;;receptor activity,folic acid binding,drug binding,folic acid transporter activity,methotrexate binding",1.2275568775014778E-57,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,240.41668701171875,286.0919189453125,216.3157958984375,73.09827423095703,179.42698669433594,104.71003723144531,173.93003845214844,178.71168518066406
Ugt1a10,UDP-glucuronosyltransferase,E9PXN7,E9PXN7_MOUSE,"endoplasmic reticulum,integral component of membrane,intracellular membrane-bounded organelle,extracellular exosome","negative regulation of catalytic activity,flavonoid glucuronidation,xenobiotic glucuronidation","enzyme inhibitor activity,protein kinase C binding,steroid binding,fatty acid binding,drug binding,glucuronosyltransferase activity,enzyme binding,protein homodimerization activity,protein heterodimerization activity",3.762975427939169E-74,6,6,6,7,6,7,7,7,6,6,6,7,6,7,7,7,862.1214599609375,681.7423095703125,908.2703247070312,697.1719360351562,893.9896850585938,802.3768920898438,353.66925048828125,713.3926391601562
Ahnak2,Protein Ahnak2 (Fragment),E9PYB0;F7CVJ5;F7DBB3,E9PYB0_MOUSE;F7CVJ5_MOUSE;F7DBB3_MOUSE,"cytosol,plasma membrane,Z disc,cytoplasmic vesicle membrane,costamere,T-tubule;;",plasma membrane repair;;,molecular_function;;,3.2859775806918737E-29,2,2,Filtered,2,Filtered,2,2,2,2,2,Filtered,2,Filtered,2,2,2,14.141524314880371,8.85025405883789,Filtered,110.3886489868164,Filtered,38.94966506958008,31.111196517944336,39.07738494873047
Adam10,Disintegrin and metalloproteinase domain-containing protein 10,E9PYF2;O35598,E9PYF2_MOUSE;ADA10_MOUSE,";Golgi membrane,extracellular space,nucleus,cytoplasm,Golgi apparatus,Golgi-associated vesicle,plasma membrane,focal adhesion,cell surface,postsynaptic density,membrane,integral component of membrane,extracellular exosome,perinuclear endoplasmic reticulum,tetraspanin-enriched microdomain",";in utero embryonic development,protein phosphorylation,membrane protein ectodomain proteolysis,nucleocytoplasmic transport,negative regulation of cell adhesion,epidermal growth factor receptor signaling pathway,Notch signaling pathway,Notch receptor processing,positive regulation of cell proliferation,positive regulation of T cell chemotaxis,protein processing,positive regulation of cell growth,positive regulation of cell migration,response to tumor necrosis factor,monocyte activation,ephrin receptor signaling pathway,PMA-inducible membrane protein ectodomain proteolysis,constitutive protein ectodomain proteolysis",";endopeptidase activity,metalloendopeptidase activity,protein binding,metallopeptidase activity,SH3 domain binding,protein kinase binding,SH2 domain binding,protein homodimerization activity,metal ion binding",5.538518212551884E-41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,68.47726440429688,49.493751525878906,69.59785461425781,103.85912322998047,65.69327545166016,54.28231430053711,54.35053634643555,74.56068420410156
Samhd1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1;Deoxynucleoside triphosphate triphosphohydrolase SAMHD1;Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (Fragment);Deoxynucleoside triphosphate triphosphohydrolase SAMHD1;Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,E9PYG9;E9Q0K6;F6TVP2;F8WJE0;Q60710,E9PYG9_MOUSE;E9Q0K6_MOUSE;F6TVP2_MOUSE;F8WJE0_MOUSE;SAMH1_MOUSE,";;;;nucleus,nucleoplasm,plasma membrane",";;;;dGTP catabolic process,innate immune response,regulation of innate immune response,dATP catabolic process,protein homotetramerization,defense response to virus,RNA phosphodiester bond hydrolysis",";;;;nucleic acid binding,RNA binding,ribonuclease activity,zinc ion binding,dGTPase activity,triphosphoric monoester hydrolase activity,dGTP binding",9.093346281093201E-73,5,7,4,6,7,5,6,6,5,7,4,6,7,5,6,6,58.4157600402832,127.91138458251953,20.3702335357666,207.38706970214844,25.319244384765625,81.38631439208984,189.0312042236328,116.092041015625
Acot7,Cytosolic acyl coenzyme A thioester hydrolase;Cytosolic acyl coenzyme A thioester hydrolase;Isoform A of Cytosolic acyl coenzyme A thioester hydrolase;Isoform C of Cytosolic acyl coenzyme A thioester hydrolase;Isoform D of Cytosolic acyl coenzyme A thioester hydrolase,E9PYH2;Q91V12;Q91V12-2;Q91V12-3;Q91V12-4,E9PYH2_MOUSE;BACH_MOUSE;BACH_MOUSE;BACH_MOUSE;BACH_MOUSE,";nucleoplasm,cytosol,neuron projection,cell body,extracellular exosome;;;",";acyl-CoA metabolic process,fatty acid catabolic process,coenzyme A biosynthetic process,medium-chain fatty-acyl-CoA catabolic process,long-chain fatty-acyl-CoA catabolic process,medium-chain fatty acid biosynthetic process,palmitic acid biosynthetic process;;;",";fatty-acyl-CoA binding,palmitoyl-CoA hydrolase activity,long-chain fatty acyl-CoA binding,protein homodimerization activity,carboxylic ester hydrolase activity,Requires Ontology;;;",2.6609845947678704E-85,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,35.37421417236328,65.70242309570312,22.509382247924805,176.8580322265625,30.816585540771484,31.62824821472168,91.48282623291016,13.035585403442383
Usp14,Ubiquitin carboxyl-terminal hydrolase 14,E9PYI8;Q9JMA1,E9PYI8_MOUSE;UBP14_MOUSE,";proteasome complex,nucleus,cytosol,plasma membrane,cell surface,cytoplasmic vesicle,synapse,extracellular exosome",";ubiquitin-dependent protein catabolic process,chemical synaptic transmission,negative regulation of endopeptidase activity,protein deubiquitination,regulation of chemotaxis,regulation of proteasomal protein catabolic process,negative regulation of ER-associated ubiquitin-dependent protein catabolic process",";thiol-dependent ubiquitin-specific protease activity,endopeptidase inhibitor activity,protein binding,thiol-dependent ubiquitinyl hydrolase activity,proteasome binding",1.129043276995727E-52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,52.43167495727539,110.64045715332031,60.53721237182617,121.79395294189453,46.12539291381836,69.93572998046875,141.64736938476562,115.9100341796875
Treh,Trehalase,E9PYP7;Q9JLT2,E9PYP7_MOUSE;TREA_MOUSE,";plasma membrane,brush border,anchored component of membrane,extracellular exosome",";trehalose metabolic process,animal organ morphogenesis",";alpha,alpha-trehalase activity",2.86928568916672E-81,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,76.2342758178711,56.60639953613281,50.71282958984375,24.841100692749023,51.80589294433594,81.7280044555664,37.8635139465332,73.95963287353516
Atl3,Atlastin-3,E9PYT3;Q91YH5,E9PYT3_MOUSE;ATLA3_MOUSE,";endoplasmic reticulum,membrane,integral component of membrane,endoplasmic reticulum tubular network,endoplasmic reticulum tubular network membrane",";endoplasmic reticulum organization,Golgi organization,protein homooligomerization",";GTPase activity,GTP binding,identical protein binding",1.1625659282846337E-57,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,40.45024490356445,77.74649810791016,40.32380294799805,96.88772583007812,37.894100189208984,48.31657409667969,78.3413314819336,65.45834350585938
Afdn,Afadin;Afadin;Afadin;Afadin;Isoform 1 of Afadin,E9PYX7;E9Q852;E9Q9C3;Q9QZQ1;Q9QZQ1-2,E9PYX7_MOUSE;E9Q852_MOUSE;E9Q9C3_MOUSE;AFAD_MOUSE;AFAD_MOUSE,";;;nucleoplasm,cytoplasm,cytosol,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,nuclear speck,cell junction,apical junction complex,apical part of cell;",";;;cell adhesion,signal transduction,telencephalon development,cerebral cortex development,regulation of protein localization,adherens junction maintenance,positive regulation of GTPase activity,brain morphogenesis,homeostasis of number of cells,radial glial cell differentiation,neuroepithelial cell differentiation,regulation of oligodendrocyte progenitor proliferation,establishment of endothelial intestinal barrier,protein localization to cell junction;",";;;protein binding,Ras GTPase binding,cadherin binding,cell adhesion molecule binding;",4.101935780623191E-48,2,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,19.71369171142578,31.098163604736328,20.40606117248535,5.990367412567139,9.786945343017578,21.177902221679688,21.15353012084961,14.788703918457031
Psap,Prosaposin,E9PZ00;Q8BFQ1,E9PZ00_MOUSE;Q8BFQ1_MOUSE,;,;,;,1.971486963860803E-74,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,3510.86865234375,9111.5556640625,3275.624267578125,6535.17919921875,3773.962646484375,4062.198974609375,9152.31640625,7476.22314453125
Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein,E9PZ16,E9PZ16_MOUSE,,,,1.2954219330834639E-86,75,74,75,75,70,73,74,76,75,74,75,75,70,73,74,76,447.6773376464844,609.037109375,441.8889465332031,1132.7884521484375,292.9968566894531,382.5074462890625,599.4122924804688,587.4847412109375
Blvrb,Flavin reductase (NADPH),E9PZC3;Q923D2,E9PZC3_MOUSE;BLVRB_MOUSE,";nucleoplasm,cytosol,plasma membrane,terminal bouton,extracellular exosome",";heme catabolic process,oxidation-reduction process",";biliverdin reductase activity,riboflavin reductase (NADPH) activity",1.0697373314812887E-57,7,5,6,7,6,6,6,7,7,5,6,7,6,6,6,7,571.8731689453125,334.46710205078125,455.4269104003906,830.699951171875,582.2846069335938,748.6969604492188,309.0469055175781,395.0335693359375
Cp,Ceruloplasmin,E9PZD8;G3X8Q5;G3X9T8;Q61147,E9PZD8_MOUSE;G3X8Q5_MOUSE;G3X9T8_MOUSE;CERU_MOUSE,";;;extracellular space,lysosomal membrane,extracellular exosome,blood microparticle",";;;copper ion transport,cellular iron ion homeostasis,oxidation-reduction process",";;;ferroxidase activity,copper ion binding,chaperone binding",5.8863584099671955E-84,29,29,28,29,26,28,29,29,29,29,28,29,26,28,29,29,151.9333953857422,276.19580078125,102.94313049316406,1481.5460205078125,108.15897369384766,215.26513671875,483.425048828125,225.0305938720703
