Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Tmx4,Thioredoxin-related transmembrane protein 4,A2ARI0;Q8C0L0,";endoplasmic reticulum,integral component of membrane",";protein folding,response to endoplasmic reticulum stress,cell redox homeostasis,oxidation-reduction process",;protein disulfide isomerase activity,3.84E-07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23.81142235,36.73376465,11.42128468,34.81707001,4.495785236,12.71289921,26.76691628,15.60888958
Lrp2,Low-density lipoprotein receptor-related protein 2,A2ARV4,"lysosomal membrane,endosome,endoplasmic reticulum,Golgi apparatus,brush border,clathrin-coated pit,external side of plasma membrane,membrane,integral component of membrane,apical plasma membrane,endocytic vesicle,axon,dendrite,brush border membrane,receptor complex,apical part of cell,extracellular exosome","neural tube closure,secondary heart field specification,outflow tract septum morphogenesis,ventricular compact myocardium morphogenesis,ventricular septum development,vitamin metabolic process,receptor-mediated endocytosis,heart development,sensory perception of sound,cell proliferation,male gonad development,metal ion transport,negative regulation of BMP signaling pathway,forebrain development,aorta development,positive regulation of neurogenesis,vagina development,coronary vasculature development,coronary artery morphogenesis,pulmonary artery morphogenesis,positive regulation of oligodendrocyte progenitor proliferation,Requires Ontology,folic acid import into cell","receptor activity,calcium ion binding,protein binding,drug binding,SH3 domain binding,steroid hormone receptor binding,chaperone binding",3.77E-54,216,201,210,198,217,208,196,200,216,201,210,198,217,208,196,200,4246.405273,2656.130371,4542.521973,3845.432129,4182.574219,4130.623535,1326.231079,2284.845947
Pkp4,Plakophilin-4;Plakophilin-4;Isoform 2 of Plakophilin-4,A2AS45;Q68FH0;Q68FH0-2,";spindle pole,cytoplasm,cytoskeleton,plasma membrane,cell-cell junction,cytoplasmic side of plasma membrane,postsynaptic density,cell junction,desmosome,midbody,perinuclear region of cytoplasm,spindle midzone,mitotic spindle,cell-cell contact zone;",";cell-cell junction assembly,cell adhesion,positive regulation of cytokinesis,positive regulation of GTPase activity;",;;,1.09E-20,11,8,9,2,11,7,5,5,11,8,9,2,11,7,5,5,20.40448952,19.34511757,18.76264,7.0914011,19.18168449,20.68882751,12.2709465,12.72917652
Nckap1,Nck-associated protein 1;Nck-associated protein 1;Isoform 2 of Nck-associated protein 1,A2AS98;P28660;P28660-2,";ruffle,focal adhesion,integral component of membrane,lamellipodium,SCAR complex,lamellipodium membrane,filamentous actin,extracellular exosome;",";in utero embryonic development,somitogenesis,neural tube closure,zygotic determination of anterior/posterior axis, embryo,endoderm development,mesodermal cell migration,embryonic body morphogenesis,positive regulation of lamellipodium assembly,Rac protein signal transduction,lamellipodium assembly,positive regulation of actin filament polymerization,notochord development,establishment or maintenance of actin cytoskeleton polarity,regulation of protein localization,embryonic heart tube development,cell migration involved in gastrulation,basal protein localization,apical protein localization,paraxial mesoderm development,paraxial mesoderm morphogenesis,notochord morphogenesis,embryonic foregut morphogenesis,protein stabilization,positive regulation of Arp2/3 complex-mediated actin nucleation;",";protein binding,protein complex binding,Rac GTPase binding;",2.30E-18,5,10,5,6,8,6,10,10,5,10,5,6,8,6,10,10,54.8778801,21.04655266,41.92289734,23.97554398,19.10377312,21.17000198,25.4579792,18.27421188
Gorasp2,"Golgi reassembly stacking protein 2, isoform CRA_d;Golgi reassembly-stacking protein 2",A2ATI9;Q99JX3,";Golgi membrane,Golgi apparatus",";organelle organization,Golgi organization",;molecular_function,2.74E-39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25.74869537,37.60574341,16.0961628,41.74197388,29.51615906,23.89032364,40.20875931,27.33670616
Myef2,Myelin expression factor 2;Myelin expression factor 2;Myelin expression factor 2;Isoform 2 of Myelin expression factor 2,A2ATP5;A2ATP6;Q8C854;Q8C854-3,;;nucleus;,";;negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated;",";;RNA polymerase II core promoter proximal region sequence-specific DNA binding,transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,single-stranded DNA binding,RNA binding;",1.25E-45,7,9,4,7,8,6,9,9,7,9,4,7,8,6,9,9,29.38624573,64.41320801,28.01741982,58.56087494,27.48785973,20.56565666,76.33291626,54.39807892
Dhtkd1,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",A2ATU0,"mitochondrion,oxoglutarate dehydrogenase complex,cytosol","hematopoietic progenitor cell differentiation,generation of precursor metabolites and energy,glycolytic process,tricarboxylic acid cycle","oxoglutarate dehydrogenase (succinyl-transferring) activity,thiamine pyrophosphate binding",9.03E-31,26,23,24,10,23,24,19,21,26,23,24,10,23,24,19,21,88.08404541,30.61036301,80.56794739,13.9828968,96.60827637,99.21867371,19.67915916,27.58886719
Raly,RNA-binding protein Raly (Fragment);RNA-binding protein Raly;Isoform 1 of RNA-binding protein Raly,A2AU62;Q64012;Q64012-2,";nucleus,catalytic step 2 spliceosome;",";transcription, DNA-templated,regulation of transcription, DNA-templated,mRNA processing,RNA splicing,regulation of nucleic acid-templated transcription,regulation of cholesterol homeostasis;",";transcription cofactor activity,RNA binding;",9.97E-44,9,9,8,10,8,9,9,10,9,9,8,10,8,9,9,10,108.2722931,240.6972961,101.4835739,281.2077026,98.40488434,110.9979019,308.5171814,230.3784485
Tpd52l2,"Tumor protein D54;Tumor protein D52-like 2, isoform CRA_c;Tumor protein D54",A2AUD5;Q3TAI4;Q9CYZ2,";;cytoplasm,perinuclear region of cytoplasm",;;biological_process,";;RNA binding,protein homodimerization activity,protein heterodimerization activity",4.73E-35,9,9,9,7,9,8,10,10,9,9,9,7,9,8,10,10,88.63484192,120.59021,77.41291046,108.8112259,85.15689087,64.66333008,160.5698853,118.8165359
Dnajc5,"DnaJ homolog subfamily C member 5 (Fragment);DnaJ (Hsp40) homolog, subfamily C, member 5, isoform CRA_b;DnaJ homolog subfamily C member 5",A2AUE1;G5E8T0;P60904,";;mitochondrion,lysosomal membrane,plasma membrane,synaptic vesicle,membrane,melanosome,terminal bouton,extracellular exosome",;;negative regulation of neuron apoptotic process,";;protein binding,ATP-dependent protein binding",3.57E-21,1,2,2,1,2,1,2,2,0,2,2,1,0,0,0,2,NaN,1.793314815,1.056421638,1,NaN,NaN,NaN,0.576499641
Epb41l1,Band 4.1-like protein 1;Band 4.1-like protein 1;Isoform 2 of Band 4.1-like protein 1;Isoform 3 of Band 4.1-like protein 1,A2AUK7;A2AUK8;Q9Z2H5-2;Q9Z2H5-3,;;;,;;;,;;;,9.16E-39,9,9,8,5,9,8,8,6,9,9,8,5,9,8,8,6,42.69026947,30.78095245,37.01534653,10.27010632,44.01066208,30.02427864,30.74043846,21.2973423
Exosc2,Exosome complex component RRP4 (Fragment);Exosome complex component RRP4,A2AV19;Q8VBV3,";nuclear exosome (RNase complex),cytoplasmic exosome (RNase complex),exosome (RNase complex),nucleus,nucleolus,cytoplasm",";exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),positive regulation of cell growth,nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5',U4 snRNA 3'-end processing,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,CUT catabolic process,nuclear polyadenylation-dependent rRNA catabolic process,nuclear polyadenylation-dependent tRNA catabolic process,nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription,polyadenylation-dependent snoRNA 3'-end processing",;RNA binding,9.34E-21,1,3,1,3,1,2,3,3,0,3,0,3,1,2,3,3,NaN,2.228284597,NaN,4.682398319,1.163021803,0.745580912,8.799943924,2.656392813
Rrbp1,Ribosome-binding protein 1,A2AVJ7;Q99PL5,";ribosome,integral component of endoplasmic reticulum membrane",";translation,signal transduction,protein transport",";receptor activity,protein binding",2.84E-50,42,45,38,46,39,39,45,45,42,45,38,46,39,39,45,45,168.7931519,312.9410095,145.4290009,418.1433105,167.1877899,188.3736572,405.6005859,296.741394
Ssrp1,FACT complex subunit SSRP1 (Fragment);FACT complex subunit SSRP1;Isoform 2 of FACT complex subunit SSRP1,A2AW05;Q08943;Q08943-2,";chromosome,nucleolus;",";DNA replication,DNA repair,transcription, DNA-templated,regulation of transcription, DNA-templated;",";DNA binding,chromatin binding,RNA binding;",1.45E-24,6,7,4,6,2,5,8,7,6,7,4,6,2,5,8,7,10.21054554,23.0646534,6.477345943,28.88391685,6.860229969,11.40386295,27.96972084,30.47829628
Rabgap1,Rab GTPase-activating protein 1,A2AWA9,"intracellular,microtubule organizing center,cytosol,endomembrane system","intracellular protein transport,cell cycle,regulation of vesicle fusion,regulation of GTPase activity,activation of GTPase activity","GTPase activator activity,Rab GTPase binding",1.13E-33,6,8,5,3,8,6,7,8,6,8,5,3,8,6,7,8,6.759786606,9.700356483,6.176779747,5.019664764,4.302620411,4.793665886,5.783085823,5.944434166
Ptprj,Receptor-type tyrosine-protein phosphatase eta,A2AWF8;A2AWF9;E9Q4S7;Q64455,";;;immunological synapse,plasma membrane,cell-cell junction,cell surface,integral component of membrane,ruffle membrane,extracellular exosome",";;;vasculogenesis,positive regulation of cell-matrix adhesion,heart development,blood coagulation,negative regulation of cell proliferation,positive regulation of platelet activation,negative regulation of platelet-derived growth factor receptor signaling pathway,positive regulation of macrophage chemotaxis,regulation of cell adhesion,negative regulation of cell growth,negative regulation of cell migration,peptidyl-tyrosine dephosphorylation,negative regulation of epidermal growth factor receptor signaling pathway,negative regulation of vascular permeability,negative regulation of MAP kinase activity,positive regulation of cell adhesion,platelet-derived growth factor receptor signaling pathway,oligodendrocyte differentiation,negative regulation of T cell receptor signaling pathway,positive chemotaxis,positive regulation of focal adhesion assembly,positive regulation of protein kinase B signaling,negative regulation of protein kinase B signaling,negative regulation of receptor activity",";;;protein tyrosine phosphatase activity,platelet-derived growth factor receptor binding,beta-catenin binding,phosphatase activity,protein kinase binding,identical protein binding,gamma-catenin binding,mitogen-activated protein kinase binding,delta-catenin binding",0.000960077,Filtered,Filtered,1,2,Filtered,1,2,2,Filtered,Filtered,1,2,Filtered,1,2,2,Filtered,Filtered,7.863706112,7.905941963,Filtered,17.10024261,18.74993515,6.128735542
Sh3glb2,Endophilin-B2;Endophilin-B2;Endophilin-B2;Isoform 1 of Endophilin-B2;Isoform 3 of Endophilin-B2,A2AWI7;A2AWI9;Q8R3V5;Q8R3V5-1;Q8R3V5-3,";;nucleoplasm,cytoplasm,cytosol;;",;;;;,";;identical protein binding,cadherin binding;;",6.59E-34,2,3,1,2,2,1,3,4,2,3,0,2,0,0,3,4,3.505773544,0.300081044,NaN,3.75315237,NaN,NaN,1.032836556,0.972268522
Ubtf,Nucleolar transcription factor 1;Nucleolar transcription factor 1;Nucleolar transcription factor 1;Nucleolar transcription factor 1;Isoform UBF2 of Nucleolar transcription factor 1,A2AWT5;A2AWT6;A2AWT7;P25976;P25976-2,";;;fibrillar center,nucleus,nucleolus;",";;;chromatin silencing at rDNA,transcription elongation from RNA polymerase I promoter,positive regulation of transcription from RNA polymerase I promoter,cellular response to leukemia inhibitory factor;",";;;RNA polymerase I CORE element sequence-specific DNA binding,RNA polymerase I upstream control element sequence-specific DNA binding,chromatin binding,RNA binding,protein binding;",1.04E-28,4,6,6,6,5,5,7,7,4,6,6,6,5,5,7,7,10.86993504,25.74313354,10.52565384,22.8784256,10.04112053,12.5938158,29.73150826,21.85194588
Epha7;Ephb2;Ephb2;Ephb2;Epha7;Epha7;Epha7,"Eph receptor A7, isoform CRA_b;Ephrin type-B receptor 2;Isoform 2 of Ephrin type-B receptor 2;Isoform 4 of Ephrin type-B receptor 2;Ephrin type-A receptor 7;Isoform 2 of Ephrin type-A receptor 7;Isoform 3 of Ephrin type-A receptor 7",A2BDQ4;P54763;P54763-2;P54763-4;Q61772;Q61772-2;Q61772-3,";nucleus,plasma membrane,integral component of plasma membrane,axon,dendrite,neuronal cell body,synapse;;;integral component of plasma membrane,dendrite,neuromuscular junction,neuronal cell body,postsynaptic membrane;;",";cell morphogenesis,angiogenesis,urogenital system development,negative regulation of protein phosphorylation,protein phosphorylation,transmembrane receptor protein tyrosine kinase signaling pathway,axon guidance,axonal fasciculation,learning or memory,learning,animal organ morphogenesis,positive regulation of gene expression,phosphorylation,peptidyl-tyrosine phosphorylation,optic nerve morphogenesis,central nervous system projection neuron axonogenesis,corpus callosum development,retinal ganglion cell axon guidance,positive regulation of synaptic plasticity,inner ear morphogenesis,negative regulation of Ras protein signal transduction,ephrin receptor signaling pathway,regulation of neuronal synaptic plasticity,positive regulation of long-term neuronal synaptic plasticity,camera-type eye morphogenesis,regulation of axonogenesis,negative regulation of axonogenesis,regulation of body fluid levels,inactivation of MAPKK activity,positive regulation of synapse assembly,palate development,dendritic spine development,dendritic spine morphogenesis,negative regulation of ERK1 and ERK2 cascade,commissural neuron axon guidance,trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission,Requires Ontology,positive regulation of long-term synaptic potentiation,positive regulation of protein localization to plasma membrane,negative regulation of NMDA glutamate receptor activity,positive regulation of NMDA glutamate receptor activity;;;positive regulation of protein phosphorylation,apoptotic process,brain development,phosphorylation,peptidyl-tyrosine phosphorylation,regulation of cell-cell adhesion,retinal ganglion cell axon guidance,regulation of protein autophosphorylation,regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of neuron apoptotic process,ephrin receptor signaling pathway,negative regulation of collateral sprouting,branching morphogenesis of a nerve,regulation of peptidyl-tyrosine phosphorylation,negative chemotaxis,negative regulation of synapse assembly,regulation of ERK1 and ERK2 cascade,nephric duct morphogenesis;;",";beta-amyloid binding,protein tyrosine kinase activity,receptor activity,ephrin receptor activity,transmembrane-ephrin receptor activity,receptor binding,protein binding,ATP binding,axon guidance receptor activity,identical protein binding,macromolecular complex binding;;;GPI-linked ephrin receptor activity,protein binding,ATP binding,axon guidance receptor activity,chemorepellent activity,ephrin receptor binding;;",1.57E-12,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,23.97416687,10.16722393,2.820119619,8.382569313,3.247635841,13.4451685,2.954092741,5.463244915
Dpm1,Dolichol-phosphate mannosyltransferase subunit 1,A2BDX2;O70152,";nucleus,endoplasmic reticulum,endoplasmic reticulum membrane,membrane,dolichol-phosphate-mannose synthase complex",";GPI anchor biosynthetic process,dolichol metabolic process,protein mannosylation,protein O-linked mannosylation",";dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate beta-D-mannosyltransferase activity",1.91E-26,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,14.95613861,35.75411224,23.05366325,39.10845184,30.34261513,22.21905327,32.98620224,29.5880928
Zfp185,Zinc finger protein 185,A2BI37;G5E8W8,;,;,;,3.55E-16,1,2,1,1,2,1,2,2,1,2,0,0,2,1,2,2,11.4709034,2.964245081,NaN,NaN,9.308784485,11.4139328,13.84863853,9.412834167
Pabpc4;Pabpc4;Gm10110;Pabpc4;Pabpc4,Polyadenylate-binding protein,A3KFU5;A3KFU8;D3Z5M2;Q6PHQ9;Q91YZ8,";;cellular_component,cytoplasm;nucleus,cytoplasm,cytosol,cytoplasmic stress granule,intracellular ribonucleoprotein complex;",";;biological_process;regulation of mRNA stability,myeloid cell development;",";;molecular_function,RNA binding;RNA binding,mRNA binding,poly(A) binding,poly(U) RNA binding,poly(C) RNA binding;",8.97E-37,8,11,8,9,8,8,12,11,8,11,8,9,8,8,12,11,59.26690292,110.2112732,69.89640808,71.54298401,59.97947311,72.6546402,124.6461411,101.8802338
Tbc1d8b,TBC1 domain family member 8B,A3KGB4,"intracellular,endomembrane system","intracellular protein transport,regulation of vesicle fusion,activation of GTPase activity","GTPase activator activity,calcium ion binding,Rab GTPase binding",0.001164767,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,697.0887451,1866.341187,596.0996094,1951.861206,583.0767822,5172.273438,1101.449585,1463.765991
H13;Hm13;Hm13;Hm13,Minor histocompatibility antigen H13 (Fragment);Minor histocompatibility antigen H13;Isoform 3 of Minor histocompatibility antigen H13;Isoform 4 of Minor histocompatibility antigen H13,A3KGR9;Q9D8V0;Q9D8V0-3;Q9D8V0-4,";lysosomal membrane,endoplasmic reticulum,endoplasmic reticulum membrane,rough endoplasmic reticulum,plasma membrane,membrane,Golgi-associated vesicle membrane,Derlin-1 retrotranslocation complex,integral component of cytoplasmic side of endoplasmic reticulum membrane,integral component of lumenal side of endoplasmic reticulum membrane;;",";membrane protein proteolysis,membrane protein proteolysis involved in retrograde protein transport, ER to cytosol;;",";peptidase activity,ubiquitin protein ligase binding,aspartic endopeptidase activity, intramembrane cleaving,protein homodimerization activity;;",7.17E-07,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0.777585804,1.91444397,1.848310709,5.017786503,2.343768358,1.809547901,3.534356356,0.857081413
Ttc38,Tetratricopeptide repeat protein 38,A3KMP2,extracellular exosome,biological_process,molecular_function,2.55E-55,11,12,12,7,12,11,12,11,11,12,12,7,12,11,12,11,147.3351288,86.66438293,148.019165,20.56871605,149.4074249,132.1529846,86.40943146,92.89568329
Rabgap1l,Rab GTPase-activating protein 1-like,A6H6A9,"intracellular,nucleus,early endosome,Golgi apparatus,cilium,endomembrane system","intracellular protein transport,cell cycle,regulation of vesicle fusion,regulation of protein localization,megakaryocyte development,activation of GTPase activity","GTPase activator activity,Rab GTPase binding",1.64E-20,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,0,5.478925705,3.871473789,1.179451823,3.68107605,2.051451206,2.160974264,2.606045961,NaN
Aldoart1,Fructose-bisphosphate aldolase,A6ZI46;Q9CPQ9,sperm fibrous sheath;,"glycolytic process,biological_process;","molecular_function,fructose-bisphosphate aldolase activity;",0.000375921,1,2,1,2,1,1,2,2,1,2,1,2,0,1,2,2,66.18898773,22.28043556,27.41233826,49.67201233,NaN,66.76916504,31.74505424,62.99242783
Hbbt1,Beta-globin,A8DUK4,"extracellular space,hemoglobin complex,haptoglobin-hemoglobin complex,extracellular exosome,blood microparticle","oxygen transport,cellular oxidant detoxification","oxygen transporter activity,iron ion binding,oxygen binding,heme binding,hemoglobin binding,peroxidase activity,haptoglobin binding",1.49E-21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27375.04688,5467.802734,21455.83594,42085.48438,29988.66016,29175.86914,8555.089844,8766.523438
Vps25,Vacuolar protein-sorting-associated protein 25,A8XY17;Q9CQ80,";ESCRT II complex,nucleus,cytoplasm,mitochondrion,cytosol,endosome membrane,extracellular exosome",";transcription, DNA-templated,regulation of transcription, DNA-templated,negative regulation of epidermal growth factor-activated receptor activity,protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",";structural molecule activity,protein homodimerization activity,protein N-terminus binding",2.87E-22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78.48788452,66.40596008,36.28202057,87.0067749,57.64758682,66.46891022,68.37421417,64.50830841
Rad50,DNA repair protein RAD50 (Fragment);DNA repair protein RAD50;Isoform 2 of DNA repair protein RAD50;DNA repair protein RAD50,A8Y5I3;P70388;P70388-2;Q5SV02,";nuclear chromosome, telomeric region,nuclear chromatin,condensed nuclear chromosome,nucleus,nucleoplasm,membrane,Mre11 complex,site of double-strand break,pronucleus;;",";regulation of mitotic recombination,telomere maintenance via recombination,double-strand break repair via homologous recombination,DNA repair,double-strand break repair,DNA recombination,cellular response to DNA damage stimulus,telomere maintenance via telomerase,reciprocal meiotic recombination,regulation of mitotic cell cycle,telomere capping,telomeric 3' overhang formation,positive regulation of protein autophosphorylation,positive regulation of telomere maintenance,DNA duplex unwinding,positive regulation of kinase activity,nucleotide phosphorylation,chromosome organization,chromosome organization involved in meiotic cell cycle,nucleic acid phosphodiester bond hydrolysis,negative regulation of telomere capping;;",";DNA binding,double-stranded telomeric DNA binding,adenylate kinase activity,ATP binding,protein binding, bridging,single-stranded telomeric DNA binding,metal ion binding,G-quadruplex DNA binding,single-stranded DNA endodeoxyribonuclease activity,ATP-dependent DNA helicase activity,3'-5' exonuclease activity;;",0.000666769,Filtered,1,Filtered,Filtered,Filtered,1,2,1,Filtered,1,Filtered,Filtered,Filtered,0,2,1,Filtered,1.913662434,Filtered,Filtered,Filtered,NaN,1.682420969,2.008345366
Plekhf2,Pleckstrin homology domain-containing family F member 2 (Fragment);Pleckstrin homology domain-containing family F member 2,A8Y5N8;Q91WB4,";endoplasmic reticulum,transport vesicle,early endosome membrane",;protein transport,;metal ion binding,4.74E-38,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46.14883423,40.62530518,67.05388641,43.14664078,26.72536087,23.0281105,12.75899982,22.5149498
Mgl2,MCG21506;Macrophage galactose N-acetyl-galactosamine specific lectin 2,A9XX86;Q8JZN1,integral component of membrane;,;,carbohydrate binding;,9.21E-15,1,5,Filtered,4,3,1,6,5,0,5,Filtered,4,3,1,6,5,NaN,1.930234075,Filtered,5.903943539,2.217490435,0.89539212,4.642785549,2.373265266
Chp1,Calcineurin B homologous protein 1,B0R091;P61022,";Golgi membrane,nucleus,cytoplasm,endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment,cytosol,plasma membrane,focal adhesion,microtubule cytoskeleton,transport vesicle,extracellular exosome",";microtubule bundle formation,negative regulation of protein phosphorylation,negative regulation of protein kinase activity,protein export from nucleus,negative regulation of phosphatase activity,calcium ion regulated exocytosis,membrane docking,cytoplasmic microtubule organization,negative regulation of protein ubiquitination,negative regulation of protein autophosphorylation,negative regulation of NF-kappaB transcription factor activity,positive regulation of sodium:proton antiporter activity,negative regulation of protein import into nucleus,protein stabilization,positive regulation of protein transport,protein oligomerization,regulation of intracellular pH,positive regulation of protein glycosylation,membrane organization,membrane fusion,negative regulation of calcineurin-NFAT signaling cascade,cellular response to acidic pH,positive regulation of protein targeting to membrane,regulation of neuron death",";protein kinase inhibitor activity,transporter activity,calcium ion binding,microtubule binding,kinase binding,calcium-dependent protein binding",8.90E-28,11,10,9,11,11,11,9,11,11,10,9,11,11,11,9,11,110.0341644,56.04934311,131.6592255,94.81416321,97.75751495,106.854866,59.1425705,61.81673813
Dusp3,Dual-specificity protein phosphatase 3;Dual specificity protein phosphatase 3,B1AQF4;Q9D7X3,";immunological synapse,nucleus,nucleoplasm,cytosol,extracellular exosome",";inactivation of MAPK activity,in utero embryonic development,protein dephosphorylation,dephosphorylation,peptidyl-tyrosine dephosphorylation,negative regulation of MAPK cascade,positive regulation of mitotic cell cycle,negative regulation of JNK cascade,negative regulation of T cell receptor signaling pathway,negative regulation of T cell activation,negative regulation of ERK1 and ERK2 cascade",";phosphoprotein phosphatase activity,protein tyrosine phosphatase activity,protein tyrosine/serine/threonine phosphatase activity,phosphatase activity,protein kinase binding,MAP kinase phosphatase activity",1.22E-37,7,8,7,8,7,8,8,8,7,8,7,8,7,8,8,8,63.72100067,94.83195496,55.0140152,68.41073608,51.62725449,59.52877045,114.0886383,116.6270828
Lgals9,Galectin;Galectin;Galectin-9;Isoform 2 of Galectin-9;Isoform 3 of Galectin-9,B1AQR8;G3X9T7;O08573;O08573-2;O08573-3,";;extracellular region,intracellular,nucleus,cytoplasm,cytosol;;",";;positive regulation of cytokine production,immune system process,chemotaxis,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,female pregnancy,positive regulation of gene expression,negative regulation of gene expression,positive regulation of pathway-restricted SMAD protein phosphorylation,response to lipopolysaccharide,negative regulation of interferon-gamma production,positive regulation of chemokine production,positive regulation of interleukin-1 production,positive regulation of tumor necrosis factor production,negative regulation of natural killer cell activation,regulation of natural killer cell differentiation,positive regulation of macrophage activation,negative regulation of natural killer cell degranulation,positive regulation of innate immune response,maintenance of protein location,positive regulation of regulatory T cell differentiation,negative regulation of inflammatory response,positive regulation of oxidoreductase activity,positive regulation of protein serine/threonine kinase activity,cellular response to virus,positive regulation of defense response to bacterium,negative regulation of interferon-gamma secretion,positive regulation of T cell migration,negative regulation of CD4-positive, alpha-beta T cell proliferation,positive regulation of transcription regulatory region DNA binding,positive regulation of interleukin-6 secretion,positive regulation of interleukin-10 secretion,regulation of T cell chemotaxis,regulation of T cell differentiation in thymus,regulation of T-helper 17 type immune response;;",";;receptor binding,protein binding,galactoside binding,enzyme binding,carbohydrate binding,protein serine/threonine kinase activator activity;;",3.64E-27,4,4,3,5,2,3,5,5,4,4,3,5,2,3,5,5,8.800861359,48.03667831,6.960633755,33.26929092,3.148323536,9.179096222,37.60938263,27.83857918
8-Sep,Septin-8;Septin-8;Septin-8;Septin-8;Isoform 2 of Septin-8,B1AQY9;B1AQZ0;B7ZC46;Q8CHH9;Q8CHH9-2,";;;cytoplasm,cytoskeleton,myelin sheath;",;;;biological_process;,";;;molecular_function,GTP binding;",8.46E-35,6,7,4,8,7,6,8,8,6,7,4,8,7,6,8,8,5.904802799,12.79442596,10.92434978,14.85657024,4.943461418,3.124269485,17.83408737,13.63142776
