PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity,[2] 22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity,[3] 22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity,[4] 22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity,[5] 22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity,[6] 22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity,[7] 22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity,[8] 22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity
Gcn1,eIF-2-alpha kinase activator GCN1,E9PVA8,GCN1_MOUSE,"cytosol,polysome,membrane","regulation of translation,positive regulation of kinase activity,cellular response to amino acid starvation,positive regulation of transcription from RNA polymerase II promoter in response to stress,regulation of protein kinase activity,cellular response to leucine starvation","RNA binding,protein binding,protein kinase regulator activity,protein kinase binding,ribosome binding,cadherin binding",7.08E-45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15.97031879,30.86408424,23.60681915,31.898489,19.68403053,45.62866211,32.14513016,18.25833702
Gm20498;Synj2bp;Synj2bp;Synj2bp;Synj2bp,Protein Gm20498;Synaptojanin-2-binding protein;Isoform 2 of Synaptojanin-2-binding protein;Isoform 3 of Synaptojanin-2-binding protein;Isoform 4 of Synaptojanin-2-binding protein,E9PVN6;Q9D6K5;Q9D6K5-2;Q9D6K5-3;Q9D6K5-4,E9PVN6_MOUSE;SYJ2B_MOUSE;SYJ2B_MOUSE;SYJ2B_MOUSE;SYJ2B_MOUSE,";mitochondrion,mitochondrial outer membrane,integral component of mitochondrial outer membrane,perinuclear region of cytoplasm;;;",";negative regulation of endothelial cell proliferation,protein targeting,endocytosis,cytoplasm organization,Rho protein signal transduction,regulation of Notch signaling pathway,negative regulation of endothelial cell migration,negative regulation of angiogenesis,regulation of endocytosis,intracellular distribution of mitochondria,negative regulation of ERK1 and ERK2 cascade,negative regulation of sprouting angiogenesis;;;",";protein binding,protein C-terminus binding;;;",3.01E-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41.10728836,28.90577507,30.79506874,34.00181198,31.14746666,29.37365723,21.83773804,29.66069794
Stard10,PCTP-like protein,E9PVP0;Q9JMD3,E9PVP0_MOUSE;PCTL_MOUSE,";cytosol,microvillus,membrane,motile cilium,intercellular canaliculus",";bile acid secretion,positive regulation of peroxisome proliferator activated receptor signaling pathway",;lipid binding,9.71E-10,4,4,4,3,4,4,2,4,4,4,4,3,4,4,2,4,45.14970779,31.50540543,59.32392883,38.24225235,54.12478256,36.61385345,24.42038155,40.92898941
Itih3,Inter-alpha-trypsin inhibitor heavy chain H3,E9PVS1;Q61704,E9PVS1_MOUSE;ITIH3_MOUSE,;extracellular exosome,";negative regulation of endopeptidase activity,hyaluronan metabolic process",;serine-type endopeptidase inhibitor activity,1.43E-26,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,15.42035866,18.530056,15.94280243,28.28136253,23.7119503,36.22422791,91.99337769,6.236642838
Myo6,Unconventional myosin-VI,E9PVU0,E9PVU0_MOUSE,,,,2.95E-55,25,25,25,25,25,25,24,25,25,25,25,25,25,25,24,25,199.279068,174.949585,206.9491425,173.1983185,185.2485199,161.382782,97.86761475,215.212738
Nap1l1,Nucleosome assembly protein 1-like 1,E9PW66;P28656,E9PW66_MOUSE;NP1L1_MOUSE,";nucleus,membrane,melanosome",;nucleosome assembly,";RNA binding,protein binding",1.13E-42,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,37.21476746,71.55574036,19.2465477,54.26102829,24.68951988,70.04652405,79.4701004,16.17748642
Dpysl3,Dihydropyrimidinase-related protein 3,E9PWE8,E9PWE8_MOUSE,,,,4.16E-62,6,11,7,12,5,12,11,4,6,11,7,12,5,12,11,4,20.88195801,156.3390045,15.98709774,151.1659546,29.07341385,216.5264587,158.7121735,22.35852242
Slc44a4,Choline transporter-like protein 4,E9PWK0;Q91VA1,E9PWK0_MOUSE;CTL4_MOUSE,";plasma membrane,integral component of membrane,apical plasma membrane,extracellular exosome",";acetylcholine biosynthetic process,choline transport,positive regulation of cell growth,thiamine pyrophosphate transport,otolith formation,neuromast hair cell development,acetylcholine secretion",";choline transmembrane transporter activity,thiamine pyrophosphate transporter activity",2.69E-47,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,92.27261353,334.181366,44.46451187,76.34741211,36.10751343,65.23069,94.162117,19.00849533
Gcat,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial;2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",E9PWY6;O88986,E9PWY6_MOUSE;KBL_MOUSE,";nucleoplasm,mitochondrion,mitochondrial inner membrane,nuclear speck",";biological_process,biosynthetic process,L-threonine catabolic process to glycine",";molecular_function,glycine C-acetyltransferase activity,pyridoxal phosphate binding",1.68E-16,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0,3,2.938143015,2.302505016,2.407654285,0.906370997,3.135515213,1.321857572,NaN,3.644520521
Farsa,Phenylalanine--tRNA ligase alpha subunit,E9PWY9;Q8C0C7,E9PWY9_MOUSE;SYFA_MOUSE,";cytoplasm,phenylalanine-tRNA ligase complex,membrane",";phenylalanyl-tRNA aminoacylation,protein heterotetramerization",";tRNA binding,RNA binding,phenylalanine-tRNA ligase activity,ATP binding",4.45E-54,8,8,6,8,8,8,8,8,8,8,6,8,8,8,8,8,59.05784988,65.97454071,44.30199432,66.1522522,61.22956085,65.43170166,30.7980957,47.27806854
Col12a1,Collagen alpha-1(XII) chain;Collagen alpha-1(XII) chain;Isoform 2 of Collagen alpha-1(XII) chain;Isoform 5 of Collagen alpha-1(XII) chain,E9PX70;Q60847;Q60847-2;Q60847-5,E9PX70_MOUSE;COCA1_MOUSE;COCA1_MOUSE;COCA1_MOUSE,";proteinaceous extracellular matrix,collagen trimer,extracellular space,extracellular matrix,extracellular exosome,extracellular vesicle;;",";cell adhesion,endodermal cell differentiation;;",;;;,9.67E-49,5,13,5,15,7,16,14,3,5,13,5,15,7,16,14,3,8.383595467,16.282547,8.347010612,19.09596062,3.661973,18.52008438,160.0322723,3.960263968
Folr1,Folate receptor alpha (Fragment);Folate receptor alpha (Fragment);Folate receptor alpha (Fragment);Folate receptor alpha,E9PXL5;E9PYD9;E9Q543;P35846,E9PXL5_MOUSE;E9PYD9_MOUSE;E9Q543_MOUSE;FOLR1_MOUSE,";;;nucleus,endosome,cell surface,membrane,basolateral plasma membrane,apical plasma membrane,clathrin-coated vesicle,anchored component of external side of plasma membrane,brush border membrane,extracellular exosome",";;;heart looping,neural crest cell migration involved in heart formation,cardiac neural crest cell migration involved in outflow tract morphogenesis,posttranslational protein targeting to membrane,folic acid transport,regulation of transforming growth factor beta receptor signaling pathway,axon regeneration,folic acid metabolic process,response to axon injury,regulation of canonical Wnt signaling pathway,pharyngeal arch artery morphogenesis,anterior neural tube closure,cellular response to folic acid",";;;receptor activity,folic acid binding,drug binding,folic acid transporter activity,methotrexate binding",2.08E-07,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,88.78868866,132.4451904,69.38090515,95.51065826,65.76754761,98.87327576,47.69530869,79.5923996
Ugt1a10,UDP-glucuronosyltransferase,E9PXN7,E9PXN7_MOUSE,"endoplasmic reticulum,integral component of membrane,intracellular membrane-bounded organelle,extracellular exosome","negative regulation of catalytic activity,flavonoid glucuronidation,xenobiotic glucuronidation","enzyme inhibitor activity,protein kinase C binding,steroid binding,fatty acid binding,drug binding,glucuronosyltransferase activity,enzyme binding,protein homodimerization activity,protein heterodimerization activity",1.58E-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,153.9674377,95.96630859,119.2601089,77.43038177,138.3530121,40.29906464,87.26331329,100.8232422
Tcea1,Transcription elongation factor A protein 1,E9PYD5;P10711,E9PYD5_MOUSE;TCEA1_MOUSE,";nucleus,nucleoplasm,transcription factor TFIID complex,nucleolus",";transcription, DNA-templated,erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter",";DNA binding,protein binding,zinc ion binding",4.89E-25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9.56964016,31.26904297,13.39869595,25.18400574,10.53079987,33.63708496,27.61402702,15.7349062
Rnpep,Aminopeptidase B,E9PYF1;Q8VCT3,E9PYF1_MOUSE;AMPB_MOUSE,";extracellular region,plasma membrane,secretory granule,extracellular exosome",";proteolysis,peptide catabolic process,negative regulation of blood pressure",";aminopeptidase activity,zinc ion binding,peptide binding,metalloaminopeptidase activity",5.19E-31,5,5,4,5,5,5,5,3,5,5,4,5,5,5,5,3,17.78405952,48.10990524,25.54037666,47.90969467,30.09188461,47.37894821,46.83210373,12.51943302
Acot7,Cytosolic acyl coenzyme A thioester hydrolase;Cytosolic acyl coenzyme A thioester hydrolase;Isoform A of Cytosolic acyl coenzyme A thioester hydrolase;Isoform C of Cytosolic acyl coenzyme A thioester hydrolase;Isoform D of Cytosolic acyl coenzyme A thioester hydrolase,E9PYH2;Q91V12;Q91V12-2;Q91V12-3;Q91V12-4,E9PYH2_MOUSE;BACH_MOUSE;BACH_MOUSE;BACH_MOUSE;BACH_MOUSE,";nucleoplasm,cytosol,neuron projection,cell body,extracellular exosome;;;",";acyl-CoA metabolic process,fatty acid catabolic process,coenzyme A biosynthetic process,medium-chain fatty-acyl-CoA catabolic process,long-chain fatty-acyl-CoA catabolic process,medium-chain fatty acid biosynthetic process,palmitic acid biosynthetic process;;;",";fatty-acyl-CoA binding,palmitoyl-CoA hydrolase activity,long-chain fatty acyl-CoA binding,protein homodimerization activity,carboxylic ester hydrolase activity,Requires Ontology;;;",6.30E-44,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17.54547882,54.78091812,14.2962656,43.0987587,16.05106354,58.7701149,105.9855576,11.77341747
Usp14,Ubiquitin carboxyl-terminal hydrolase 14,E9PYI8;Q9JMA1,E9PYI8_MOUSE;UBP14_MOUSE,";proteasome complex,nucleus,cytosol,plasma membrane,cell surface,cytoplasmic vesicle,synapse,extracellular exosome",";ubiquitin-dependent protein catabolic process,chemical synaptic transmission,negative regulation of endopeptidase activity,protein deubiquitination,regulation of chemotaxis,regulation of proteasomal protein catabolic process,negative regulation of ER-associated ubiquitin-dependent protein catabolic process",";thiol-dependent ubiquitin-specific protease activity,endopeptidase inhibitor activity,protein binding,thiol-dependent ubiquitinyl hydrolase activity,proteasome binding",1.00E-05,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,15.01349163,20.14615059,19.92961311,19.98337746,14.53230858,26.51443672,16.60448647,16.73062515
Treh,Trehalase,E9PYP7;Q9JLT2,E9PYP7_MOUSE;TREA_MOUSE,";plasma membrane,brush border,anchored component of membrane,extracellular exosome",";trehalose metabolic process,animal organ morphogenesis",";alpha,alpha-trehalase activity",6.79E-36,3,3,2,3,3,3,2,2,3,3,2,3,3,3,2,2,15.61659622,17.09452438,16.61027718,13.99342346,17.35756493,11.22937107,16.36128616,12.05476665
Atl3,Atlastin-3;Atlastin-3;Isoform 2 of Atlastin-3,E9PYT3;Q91YH5;Q91YH5-2,E9PYT3_MOUSE;ATLA3_MOUSE;ATLA3_MOUSE,";endoplasmic reticulum,membrane,integral component of membrane,endoplasmic reticulum tubular network,endoplasmic reticulum tubular network membrane;",";endoplasmic reticulum organization,Golgi organization,protein homooligomerization;",";GTPase activity,GTP binding,identical protein binding;",1.39E-09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7.973452091,12.11777878,7.869087696,10.08013535,11.42577076,15.43797207,9.848487854,7.00455904
Psap,Prosaposin,E9PZ00;Q8BFQ1,E9PZ00_MOUSE;Q8BFQ1_MOUSE,;,;,;,6.24E-45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1439.321533,3536.020264,1282.068481,3135.150879,1696.47583,3801.593018,2721.091064,1351.771729
Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein,E9PZ16,E9PZ16_MOUSE,,,,7.00E-56,50,49,45,50,49,48,48,44,50,49,45,50,49,48,48,44,286.641571,372.3000793,279.5129089,363.3077393,258.5928955,351.4710999,656.3095093,199.4086151
Blvrb,Flavin reductase (NADPH),E9PZC3;Q923D2,E9PZC3_MOUSE;BLVRB_MOUSE,";nucleoplasm,cytosol,plasma membrane,terminal bouton,extracellular exosome",";heme catabolic process,oxidation-reduction process",";biliverdin reductase activity,riboflavin reductase (NADPH) activity",8.14E-64,6,5,5,6,6,6,6,6,6,5,5,6,6,6,6,6,205.9380188,103.7245636,151.6682587,164.3084106,307.3127441,168.1164398,278.8767395,216.2490387
Cp,Ceruloplasmin,E9PZD8;G3X8Q5;G3X9T8;Q61147,E9PZD8_MOUSE;G3X8Q5_MOUSE;G3X9T8_MOUSE;CERU_MOUSE,";;;extracellular space,lysosomal membrane,extracellular exosome,blood microparticle",";;;copper ion transport,cellular iron ion homeostasis,oxidation-reduction process",";;;ferroxidase activity,copper ion binding,chaperone binding",3.18E-70,20,19,16,20,18,20,20,16,20,19,16,20,18,20,20,16,85.68241119,111.1156616,49.78552246,96.09867859,92.09367371,205.6381836,562.1829834,50.17408371
Gm20390,Nucleoside diphosphate kinase,E9PZF0,E9PZF0_MOUSE,intracellular,"nucleoside diphosphate phosphorylation,GTP biosynthetic process,UTP biosynthetic process,CTP biosynthetic process,regulation of apoptotic process","nucleoside diphosphate kinase activity,ATP binding",3.72E-55,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2317.948975,2196.595947,2459.244873,2033.060669,2194.835938,2149.656006,1702.210693,2302.597168
Cox7a2l,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial;Cytochrome c oxidase subunit 7A-related protein, mitochondrial",E9PZS8;Q61387,E9PZS8_MOUSE;COX7R_MOUSE,";nucleolus,mitochondrion,mitochondrial respiratory chain,mitochondrial respiratory chain supercomplex",";regulation of oxidative phosphorylation,mitochondrial respiratory chain supercomplex assembly,hydrogen ion transmembrane transport",;cytochrome-c oxidase activity,2.98E-53,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,62.9848938,22.12195587,56.6192131,27.72260284,46.84753418,19.80656433,19.16833115,33.41963959
Npepps,Puromycin-sensitive aminopeptidase,E9Q039;Q11011,E9Q039_MOUSE;PSA_MOUSE,";nucleus,cytoplasm,cytosol,extracellular exosome",";proteolysis,peptide catabolic process,cellular response to hypoxia,positive regulation of protein targeting to mitochondrion",";aminopeptidase activity,zinc ion binding,peptide binding,metalloaminopeptidase activity",1.96E-63,7,8,7,8,8,8,6,7,7,8,7,8,8,8,6,7,42.62205505,42.87727737,39.918293,51.19221115,39.77280807,46.4942131,42.84214401,34.9939003
Samhd1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1;Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (Fragment);Deoxynucleoside triphosphate triphosphohydrolase SAMHD1;Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,E9Q0K6;F6TVP2;F8WJE0;Q60710,E9Q0K6_MOUSE;F6TVP2_MOUSE;F8WJE0_MOUSE;SAMH1_MOUSE,";;;nucleus,nucleoplasm,plasma membrane",";;;dGTP catabolic process,innate immune response,regulation of innate immune response,dATP catabolic process,protein homotetramerization,defense response to virus,RNA phosphodiester bond hydrolysis",";;;nucleic acid binding,RNA binding,ribonuclease activity,zinc ion binding,dGTPase activity,triphosphoric monoester hydrolase activity,dGTP binding",7.23E-08,1,2,Filtered,2,2,2,2,Filtered,1,2,Filtered,2,2,2,2,Filtered,15.03891563,19.36641121,Filtered,39.92559814,17.68786812,43.95106888,47.13675308,Filtered
Hsph1,Heat shock protein 105 kDa;Heat shock protein 105 kDa;Isoform HSP105-beta of Heat shock protein 105 kDa,E9Q0U7;Q61699;Q61699-2,E9Q0U7_MOUSE;HS105_MOUSE;HS105_MOUSE,";extracellular region,nucleus,nucleoplasm,cytoplasm,cytosol,protein complex,extracellular exosome,microtubule;",";receptor-mediated endocytosis,response to unfolded protein,negative regulation of neuron apoptotic process,positive regulation of MHC class I biosynthetic process,positive regulation of transcription from RNA polymerase II promoter,chaperone mediated protein folding requiring cofactor,positive regulation of NK T cell activation,positive regulation of protein tyrosine kinase activity,regulation of microtubule cytoskeleton organization,negative regulation of establishment of protein localization to mitochondrion,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,negative regulation of p38MAPK cascade,negative regulation of apoptotic signaling pathway;",";adenyl-nucleotide exchange factor activity,protein binding,ATP binding,alpha-tubulin binding;",4.34E-18,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,82.33676147,85.27336884,97.31122589,68.87389374,69.08100891,82.23034668,70.89167786,59.9752655
Cct3,T-complex protein 1 subunit gamma,E9Q133;P80318,E9Q133_MOUSE;TCPG_MOUSE,";zona pellucida receptor complex,cytosol,chaperonin-containing T-complex,microtubule,plasma membrane,myelin sheath,cell body,extracellular exosome",";'de novo' protein folding,binding of sperm to zona pellucida,positive regulation of telomere maintenance via telomerase,pore complex assembly,protein stabilization,chaperone-mediated protein folding,toxin transport,positive regulation of protein localization to Cajal body,positive regulation of telomerase RNA localization to Cajal body",";RNA binding,protein binding,ATP binding,protein binding involved in protein folding,unfolded protein binding",1.00E-63,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,193.0997314,303.5498657,193.2342834,286.2738037,188.7782898,339.4718933,339.3288269,191.2830048
7-Sep,Septin-7,E9Q1G8;E9Q9F5;O55131,E9Q1G8_MOUSE;E9Q9F5_MOUSE;SEPT7_MOUSE,";;condensed chromosome kinetochore,stress fiber,nucleus,spindle,axoneme,cell cortex,septin ring,actin cytoskeleton,microtubule cytoskeleton,midbody,septin complex,cleavage furrow,septin cytoskeleton,septin filament array,neuron projection,myelin sheath,protein complex,axon terminus,cell body,synapse,extracellular exosome,sperm annulus,Requires Ontology,apical plasma membrane",";;mitotic cytokinesis,spermatogenesis,regulation of embryonic cell shape,cortical cytoskeleton organization,pseudopodium retraction,collateral sprouting,protein heterooligomerization,cilium morphogenesis,dendritic spine morphogenesis,positive regulation of nonmotile primary cilium assembly",";;protein binding,GTP binding,identical protein binding,cadherin binding,protein heterodimerization activity",2.63E-33,7,7,7,8,7,8,8,7,7,7,7,8,7,8,8,7,25.94602394,81.39685822,29.91108322,83.47330475,33.06167603,98.0008316,56.2509346,30.79284096
Sec23a,Protein transport protein Sec23A,E9Q1S3;Q01405,E9Q1S3_MOUSE;SC23A_MOUSE,";Golgi membrane,endoplasmic reticulum membrane,cytosol,ER to Golgi transport vesicle membrane,extrinsic component of membrane,COPII vesicle coat,ER to Golgi transport vesicle,perinuclear region of cytoplasm,endoplasmic reticulum exit site",";intracellular protein transport,cargo loading into COPII-coated vesicle",";protein binding,zinc ion binding",9.02E-41,6,7,7,7,7,7,6,7,6,7,7,7,7,7,6,7,27.15143013,33.37765884,18.74341393,40.83512115,29.20256615,39.88929367,60.61706161,19.21484566
Cse1l,Exportin-2;Exportin-2 (Fragment);Exportin-2,E9Q1T9;F6ZEW4;Q9ERK4,E9Q1T9_MOUSE;F6ZEW4_MOUSE;XPO2_MOUSE,";;nuclear envelope,nucleoplasm,cytosol,membrane,extracellular exosome",";;protein import into nucleus,protein export from nucleus",";;nuclear export signal receptor activity,protein binding,Ran GTPase binding",1.22E-21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17513.57031,18274,12894.57324,11049.73633,6626.540527,5921.090332,18434.16016,5254.550781
Myof,Myoferlin;Myoferlin;Isoform 4 of Myoferlin,E9Q390;Q69ZN7;Q69ZN7-4,E9Q390_MOUSE;MYOF_MOUSE;MYOF_MOUSE,";plasma membrane,caveola,integral component of membrane,cytoplasmic vesicle membrane,cytoplasmic vesicle,nuclear membrane,intracellular membrane-bounded organelle,extracellular exosome;",";plasma membrane repair,myoblast fusion,regulation of vascular endothelial growth factor receptor signaling pathway,cellular response to heat;",;phospholipid binding;,4.37E-56,3,5,1,4,4,4,5,2,3,5,1,4,4,4,5,2,2.549606323,29.60711479,3.162969112,16.55220795,6.562388897,32.25719833,45.16606522,2.2634902
Atp11a,Phospholipid-transporting ATPase;Probable phospholipid-transporting ATPase IH,E9Q3G7;P98197,E9Q3G7_MOUSE;AT11A_MOUSE,";lysosomal membrane,early endosome,endoplasmic reticulum,plasma membrane,membrane,integral component of membrane,intracellular membrane-bounded organelle,recycling endosome",;phospholipid translocation,";magnesium ion binding,phospholipid-translocating ATPase activity,ATP binding",6.19E-17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,31.75891304,22.57794189,31.88970947,21.87870598,34.66125107,11.16294098,16.74028206,27.16264725
2-Sep,Septin-2,E9Q3V6;P42208,E9Q3V6_MOUSE;SEPT2_MOUSE,";condensed chromosome kinetochore,nucleus,nucleolus,cytoplasm,actomyosin contractile ring,cytosol,spindle microtubule,plasma membrane,axoneme,cell cortex,cell surface,actin cytoskeleton,microtubule cytoskeleton,midbody,septin complex,cleavage furrow,photoreceptor connecting cilium,ciliary transition zone,cell projection,myelin sheath,synapse,ciliary membrane,extracellular exosome,sperm annulus,Requires Ontology",";cytokinesis,regulation of L-glutamate transport,smoothened signaling pathway,spermatogenesis,cell differentiation,regulation of protein localization,regulation of catalytic activity,protein polymerization,cilium morphogenesis",";GTPase activity,protein binding,GTP binding,enzyme regulator activity,protein complex scaffold,identical protein binding,cadherin binding",1.80E-27,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,109.6153641,216.4992676,84.04476929,235.1847687,95.60302734,287.7795715,316.3325195,91.18029785
Plec,"Plectin;Plectin;Isoform PLEC-1D of Plectin;Isoform PLEC-1E,2A of Plectin;Isoform PLEC-1E of Plectin;Isoform PLEC-1F of Plectin;Isoform PLEC-1G of Plectin;Isoform PLEC-1H of Plectin;Isoform PLEC-1I of Plectin;Isoform PLEC-1 of Plectin;Isoform PLEC-1A of Plectin;Isoform PLEC-1B,2A of Plectin;Isoform PLEC-1B of Plectin;Isoform PLEC-0,1C of Plectin;Isoform PLEC-0,1C,2A of Plectin;Isoform PLEC-0,1C,2A,3A of Plectin;Isoform PLEC-1D,2A of Plectin",E9Q3W4;Q9QXS1;Q9QXS1-10;Q9QXS1-11;Q9QXS1-12;Q9QXS1-13;Q9QXS1-14;Q9QXS1-15;Q9QXS1-16;Q9QXS1-2;Q9QXS1-3;Q9QXS1-4;Q9QXS1-5;Q9QXS1-6;Q9QXS1-7;Q9QXS1-8;Q9QXS1-9,E9Q3W4_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE;PLEC_MOUSE,";cytosol,brush border,focal adhesion,hemidesmosome,extracellular matrix,sarcolemma,contractile fiber,intermediate filament cytoskeleton,extracellular exosome;;;;;;;;;;;;;;;",;hemidesmosome assembly;;;;;;;;;;;;;;;,";RNA binding,actin binding,protein binding,structural constituent of muscle,ankyrin binding,cadherin binding;;;;;;;;;;;;;;;",5.23E-41,39,49,30,50,41,50,50,30,39,49,30,50,41,50,50,30,26.04713249,108.2037354,23.49636269,100.1723328,37.55183792,144.7357178,135.3023834,24.29933929
Mvp,Major vault protein,E9Q3X0;Q9EQK5,E9Q3X0_MOUSE;MVP_MOUSE,";nucleus,cytoplasm,cytosol,cytoskeleton,membrane,intracellular ribonucleoprotein complex,perinuclear region of cytoplasm,extracellular exosome",";cell proliferation,regulation of signaling,negative regulation of signaling,negative regulation of protein autophosphorylation,ERBB signaling pathway,negative regulation of protein tyrosine kinase activity,protein activation cascade",";protein kinase binding,protein phosphatase binding,identical protein binding",7.35E-52,18,22,16,22,18,22,22,19,18,22,16,22,18,22,22,19,54.13809586,224.0271149,42.57054901,225.8607483,76.99202728,321.5115967,169.7904358,43.55466843
Tpm1,"Tropomyosin alpha-1 chain;Tropomyosin 1, alpha, isoform CRA_c",E9Q450;Q8BP43,E9Q450_MOUSE;Q8BP43_MOUSE,;,;,;,4.13E-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.726845741,76.41455841,10.11854172,57.08699036,4.246446133,80.33574677,60.66932297,3.222422838
Tpm1,"Tropomyosin alpha-1 chain;Tropomyosin alpha-1 chain;Tropomyosin 1, alpha, isoform CRA_k",E9Q453;E9Q456;G5E8R2,E9Q453_MOUSE;E9Q456_MOUSE;G5E8R2_MOUSE,;;,;;,;;,1.44E-57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,74.93761444,154.7871704,79.7869339,145.2337799,82.00421143,160.0953827,76.50222778,67.74264526
Pklr,Pyruvate kinase,E9Q509;G3X925,E9Q509_MOUSE;G3X925_MOUSE,;,;,;,5.68E-23,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,19.04063606,29.12359047,22.56123924,42.03437042,20.14069748,38.5236702,23.14958763,14.28675842
Igfbp7,Insulin-like growth factor-binding protein 7,E9Q5D9;F8WH23;Q61581,E9Q5D9_MOUSE;F8WH23_MOUSE;IBP7_MOUSE,";;extracellular space,extracellular matrix,extracellular exosome",";;regulation of cell growth,cell adhesion,inner ear development",;;insulin-like growth factor binding,7.41E-47,4,6,4,6,5,6,5,5,4,6,4,6,5,6,5,5,35.9830246,151.990097,34.55072021,117.723999,31.91888809,136.7796021,119.1339264,24.89923859
