PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.UniProtIds,PG.BiologicalProcess,PG.CellularComponent,PG.MolecularFunction,PG.Qvalue,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Rab11fip5,Rab11 family-interacting protein 5,A0A0N4SW73_MOUSE;RFIP5_MOUSE,A0A0N4SW73;Q8R361,";insulin secretion involved in cellular response to glucose stimulus,regulated exocytosis,negative regulation of adiponectin secretion,cellular response to acidic pH,regulation of protein localization to cell surface",";Golgi membrane,mitochondrion,mitochondrial outer membrane,early endosome,Golgi apparatus,microtubule organizing center,secretory granule,transport vesicle membrane,early endosome membrane,intracellular membrane-bounded organelle,recycling endosome,recycling endosome membrane",";Rab GTPase binding,gamma-tubulin binding",0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,22.0155658721924,29.1213226318359,13.8526582717896,23.3332042694092,18.3093338012695,27.6955585479736,18.5338172912598,3.59758162498474
Fam136a,Protein FAM136A,A0A0N4SWI4_MOUSE;F136A_MOUSE,A0A0N4SWI4;Q9CR98,;biological_process,";cytoplasm,mitochondrion",;molecular_function,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,31.0419654846191,28.6212635040283,31.3394870758057,9.74874114990234,26.4263038635254,27.2815532684326,16.7294998168945,1.99665319919586
Ndufa9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",A0A0R3P9C8_MOUSE;NDUA9_MOUSE,A0A0R3P9C8;Q9DC69,";response to glucose,mitochondrial respiratory chain complex I assembly,oxidation-reduction process,ubiquinone-6 biosynthetic process",";nucleus,nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,mitochondrial matrix,mitochondrial membrane",";NADH dehydrogenase activity,protein complex binding",0,24,22,23,24,23,24,24,0,24,24,24,24,24,24,24,24,167.572723388672,85.7473449707031,171.318222045898,165.772354125977,164.718536376953,83.3757705688477,164.280075073242,9.36312770843506
Cdh1,"Cadherin 1, isoform CRA_b;Cadherin-1",A0A0R4IZW5_MOUSE;CADH1_MOUSE,A0A0R4IZW5;P09803,";in utero embryonic development,trophectodermal cell differentiation,epithelial cell morphogenesis,homophilic cell adhesion via plasma membrane adhesion molecules,embryo implantation,sensory perception of sound,negative regulation of protein processing,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,protein metabolic process,negative regulation of cell-cell adhesion,positive regulation of cell-cell adhesion,regulation of protein localization,regulation of water loss via skin,adherens junction organization,uterine epithelium development,positive regulation of transcription factor import into nucleus,regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of transcription, DNA-templated,decidualization,negative regulation of epithelial cell proliferation,regulation of immune response,protein homooligomerization,intestinal epithelial cell development,salivary gland cavitation,regulation of branching involved in salivary gland morphogenesis,bicellular tight junction assembly,cellular response to amino acid stimulus,cellular response to lithium ion,cellular response to indole-3-methanol,protein localization to plasma membrane,negative regulation of canonical Wnt signaling pathway,cochlea development,cell-cell adhesion,regulation of protein localization to cell surface,regulation of neuron migration",";cytoplasm,endosome,trans-Golgi network,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,cytoplasmic side of plasma membrane,cell surface,actin cytoskeleton,integral component of membrane,basolateral plasma membrane,lateral plasma membrane,catenin complex,flotillin complex,lamellipodium,cell junction,axon,node of Ranvier,lateral loop,Schmidt-Lanterman incisure,apical junction complex,axon terminus,apical part of cell,perinuclear region of cytoplasm,extracellular exosome,cell periphery,cortical actin cytoskeleton",";calcium ion binding,protein binding,beta-catenin binding,cytoskeletal protein binding,protein phosphatase binding,protein domain specific binding,ankyrin binding,GTPase activating protein binding,identical protein binding,alpha-catenin binding,gamma-catenin binding,cadherin binding,cell adhesion molecule binding",0,4,4,4,2,4,4,4,0,4,4,4,4,4,4,4,4,8.30747032165527,9.71293830871582,9.24045848846436,4.20871686935425,5.66928482055664,7.91221284866333,5.53921175003052,2.24225044250488
Capns1,Calpain small subunit 1,A0A0R4IZW8_MOUSE;CPNS1_MOUSE,A0A0R4IZW8;O88456,;proteolysis,";cytosol,plasma membrane,membrane,extracellular exosome",";calcium-dependent cysteine-type endopeptidase activity,calcium ion binding",0,7,6,7,7,7,7,7,0,7,7,7,7,7,7,7,7,41.9633331298828,100.121017456055,27.9879512786865,137.048736572266,43.5101470947266,113.822463989258,57.7724113464355,4.84165954589844
Slc9a3r2,Na(+)/H(+) exchange regulatory cofactor NHE-RF;Na(+)/H(+) exchange regulatory cofactor NHE-RF2,A0A0R4IZX2_MOUSE;NHRF2_MOUSE,A0A0R4IZX2;Q9JHL1,";sensory perception of sound,negative regulation of phosphatidylinositol 3-kinase signaling",";nucleus,cytoplasm,plasma membrane,focal adhesion,endomembrane system,apical plasma membrane,stereocilium,stereocilium bundle,extracellular exosome",";receptor binding,protein binding,beta-catenin binding,protein C-terminus binding,phosphatase binding,protein complex scaffold,cadherin binding",0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,15.166524887085,16.3846492767334,11.5908946990967,10.0067043304443,13.4110584259033,9.10994338989258,9.26723194122314,2.39198637008667
Thop1,Thimet oligopeptidase,A0A0R4IZY0_MOUSE;THOP1_MOUSE,A0A0R4IZY0;Q8C1A5,";proteolysis,peptide metabolic process,intracellular signal transduction",;mitochondrial intermembrane space,";metalloendopeptidase activity,metal ion binding",0,3,3,2,3,3,3,3,0,3,3,3,3,3,3,3,3,3.02424454689026,7.72825002670288,3.0789098739624,6.4111499786377,2.78866457939148,8.64650630950928,3.97972655296326,1.51030158996582
Cyp2d26,Cytochrome P450 2D26,A0A0R4IZY2_MOUSE;CP2DQ_MOUSE,A0A0R4IZY2;Q8CIM7,";arachidonic acid metabolic process,oxidation-reduction process",";endoplasmic reticulum membrane,organelle membrane",";iron ion binding,steroid hydroxylase activity,heme binding,aromatase activity",0,2,1,2,2,2,1,2,0,2,2,2,2,2,2,2,2,25.7237415313721,4.04905319213867,13.1975679397583,4.49324369430542,20.6741905212402,4.65180587768555,11.1590728759766,2.26190328598022
Lims1,"LIM and senescent cell antigen-like domains 1, isoform CRA_a",A0A0R4J005_MOUSE,A0A0R4J005,,,,0,7,8,7,6,6,8,7,0,8,8,8,8,8,8,8,8,22.8137950897217,56.6144104003906,18.5834693908691,30.8058891296387,23.8232936859131,49.8741798400879,22.3405075073242,8.45620059967041
Tpmt,Thiopurine S-methyltransferase,A0A0R4J018_MOUSE;TPMT_MOUSE,A0A0R4J018;O55060,;methylation,";cytoplasm,extracellular exosome",;thiopurine S-methyltransferase activity,0,12,12,12,10,12,11,12,0,12,12,12,12,12,12,12,12,143.930572509766,69.5257263183594,125.292388916016,64.9898376464844,118.82315826416,95.6848907470703,132.247695922852,10.1407775878906
Auh,"Methylglutaconyl-CoA hydratase, mitochondrial;Methylglutaconyl-CoA hydratase, mitochondrial",A0A0R4J023_MOUSE;AUHM_MOUSE,A0A0R4J023;Q9JLZ3,";nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,leucine catabolic process,fatty acid beta-oxidation",;mitochondrion,";RNA binding,mRNA 3'-UTR binding,enoyl-CoA hydratase activity,methylglutaconyl-CoA hydratase activity",0,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,148.850997924805,80.6111373901367,145.750183105469,68.6872787475586,147.389114379883,72.6574325561523,143.357040405273,5.35080337524414
C9,Complement component 9;Complement component C9,A0A0R4J032_MOUSE;CO9_MOUSE,A0A0R4J032;P06683,";cell killing,complement activation, alternative pathway,complement activation, classical pathway,cytolysis,protein homooligomerization",";membrane attack complex,extracellular space,cytosol,plasma membrane,other organism cell membrane,extracellular exosome,blood microparticle",;,0,5,9,5,11,7,9,7,0,11,11,11,11,11,11,11,11,10.4604520797729,28.5621242523193,10.7631139755249,258.663543701172,11.4871826171875,25.1283626556396,12.8711776733398,10.0830554962158
Kng1,Kininogen-1;Kininogen-1;Kininogen-1;Isoform LMW of Kininogen-1;Isoform 3 of Kininogen-1,A0A0R4J038_MOUSE;D3YTY9_MOUSE;KNG1_MOUSE;KNG1_MOUSE;KNG1_MOUSE,A0A0R4J038;D3YTY9;O08677;O08677-2;O08677-3,";;inflammatory response,positive regulation of cytosolic calcium ion concentration,blood coagulation,negative regulation of endopeptidase activity,negative regulation of blood coagulation,vasodilation;;",";;extracellular space,cell,extracellular matrix,extracellular exosome,blood microparticle;;",";;cysteine-type endopeptidase inhibitor activity,receptor binding;;",0,14,16,14,16,14,16,15,0,16,16,16,16,16,16,16,16,139.843811035156,173.555770874023,105.649101257324,1269.22351074219,136.674575805664,213.951217651367,159.601486206055,20.9204330444336
Hrg,Histidine-rich glycoprotein,A0A0R4J039_MOUSE;HRG_MOUSE,A0A0R4J039;Q9ESB3,";angiogenesis,positive regulation of immune response to tumor cell,chemotaxis,negative regulation of cell adhesion,negative regulation of cell proliferation,regulation of gene expression,regulation of platelet activation,negative regulation of lamellipodium assembly,negative regulation of endopeptidase activity,response to organic cyclic compound,heme transport,negative regulation of angiogenesis,platelet activation,regulation of blood coagulation,negative regulation of cell growth,regulation of actin cytoskeleton organization,negative regulation of cell adhesion mediated by integrin,regulation of transcription from RNA polymerase II promoter in response to iron,fibrinolysis,positive regulation of apoptotic process,regulation of protein complex assembly,negative regulation of blood vessel endothelial cell migration,regulation of peptidyl-tyrosine phosphorylation,defense response to fungus,positive regulation of focal adhesion assembly,negative regulation of fibrinolysis,Requires Ontology,heme export,negative regulation of vascular endothelial growth factor signaling pathway,positive regulation of blood vessel remodeling,negative regulation of endothelial cell chemotaxis",";vesicle,endolysosome,phagolysosome membrane,blood microparticle",";serine-type endopeptidase inhibitor activity,cysteine-type endopeptidase inhibitor activity,receptor binding,protein binding,heparin binding,zinc ion binding,immunoglobulin binding,heme binding,heparan sulfate proteoglycan binding,metal ion binding",0,7,8,6,8,6,6,6,0,8,8,8,8,8,8,8,8,40.1498908996582,54.020580291748,30.4676532745361,376.741821289063,31.9192523956299,56.2653465270996,33.0346565246582,11.2815399169922
Mep1a,Meprin A subunit;Meprin A subunit alpha,A0A0R4J043_MOUSE;MEP1A_MOUSE,A0A0R4J043;P28825,;proteolysis,";membrane,integral component of membrane,extracellular exosome",";metalloendopeptidase activity,zinc ion binding",0,32,31,32,33,32,32,33,0,33,33,33,33,33,33,33,33,779.058227539063,476.714202880859,686.36474609375,657.793518066406,765.812561035156,243.396118164063,693.319702148438,26.0092754364014
Hagh,"Hydroxyacylglutathione hydrolase, mitochondrial;Hydroxyacyl glutathione hydrolase;Hydroxyacylglutathione hydrolase, mitochondrial;Isoform 2 of Hydroxyacylglutathione hydrolase, mitochondrial",A0A0R4J052_MOUSE;G5E8T9_MOUSE;GLO2_MOUSE;GLO2_MOUSE,A0A0R4J052;G5E8T9;Q99KB8;Q99KB8-2,";;glutathione biosynthetic process,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione;",";;cytoplasm,mitochondrion,mitochondrial matrix,extracellular exosome;",";;hydroxyacylglutathione hydrolase activity,metal ion binding;",0,8,9,9,7,9,9,7,0,9,9,9,9,9,9,9,9,119.976402282715,95.494140625,129.331497192383,33.8156127929688,123.664726257324,92.3492889404297,124.30298614502,10.5875682830811
Scly,Selenocysteine lyase,A0A0R4J069_MOUSE;SCLY_MOUSE,A0A0R4J069;Q9JLI6,";selenium compound metabolic process,lipid metabolic process,response to insulin,negative regulation of cellular response to oxidative stress",;cytosol,";selenocysteine lyase activity,transferase activity",0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,15.3799495697021,22.7243194580078,16.1125087738037,8.73419952392578,16.8923721313477,22.5578308105469,17.6431522369385,2.44508099555969
Acadl,"Long-chain-specific acyl-CoA dehydrogenase, mitochondrial;Long-chain specific acyl-CoA dehydrogenase, mitochondrial",A0A0R4J083_MOUSE;ACADL_MOUSE,A0A0R4J083;P51174,";temperature homeostasis,fatty acid catabolic process,response to cold,carnitine metabolic process, CoA-linked,fatty acid beta-oxidation using acyl-CoA dehydrogenase,carnitine catabolic process,long-chain fatty acid catabolic process,cellular lipid catabolic process,negative regulation of fatty acid biosynthetic process,negative regulation of fatty acid oxidation,oxidation-reduction process,regulation of cholesterol metabolic process",";mitochondrion,mitochondrial matrix",";long-chain-acyl-CoA dehydrogenase activity,palmitoyl-CoA oxidase activity,flavin adenine dinucleotide binding",0,22,20,22,21,22,21,22,0,22,22,22,22,22,22,22,22,414.742950439453,249.081420898438,435.465270996094,249.611831665039,427.794555664063,282.001495361328,400.971282958984,15.8323612213135
Uap1,UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylhexosamine pyrophosphorylase;Isoform AGX1 of UDP-N-acetylhexosamine pyrophosphorylase;Isoform 3 of UDP-N-acetylhexosamine pyrophosphorylase,A0A0R4J085_MOUSE;A0A0R4J1F6_MOUSE;Q3UHZ7_MOUSE;UAP1_MOUSE;UAP1_MOUSE;UAP1_MOUSE,A0A0R4J085;A0A0R4J1F6;Q3UHZ7;Q91YN5;Q91YN5-2;Q91YN5-3,;;;UDP-N-acetylglucosamine biosynthetic process;;,";;;nucleoplasm,cytosol,plasma membrane;;",";;;UDP-N-acetylglucosamine diphosphorylase activity,identical protein binding;;",0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,12.0055627822876,13.0269355773926,11.8337459564209,12.0033254623413,9.20363998413086,15.1842937469482,13.9729232788086,2.59055685997009
Fahd2a,Fumarylacetoacetate hydrolase domain-containing protein 2A,A0A0R4J094_MOUSE,A0A0R4J094,,,,0,12,12,12,10,12,11,12,0,12,12,12,12,12,12,12,12,139.495910644531,74.6776733398438,149.358184814453,42.7665786743164,146.79914855957,60.5535888671875,133.541885375977,5.12364387512207
Abcg2,ATP-binding cassette sub-family G member 2,A0A0R4J0B6_MOUSE;ABCG2_MOUSE;S4R2E1_MOUSE,A0A0R4J0B6;Q7TMS5;S4R2E1,";drug transmembrane transport,cholesterol efflux,xenobiotic transport,urate metabolic process;",";nucleus,plasma membrane,integral component of membrane,apical plasma membrane,mitochondrial membrane,receptor complex;",";ATP binding,xenobiotic-transporting ATPase activity,ATPase activity, coupled to transmembrane movement of substances,protein homodimerization activity,cholesterol transporter activity;",0,9,9,9,8,9,9,9,0,9,9,9,9,9,9,9,9,245.415756225586,192.533706665039,261.258392333984,176.572326660156,245.646530151367,176.266525268555,220.220474243164,7.31304168701172
Pck2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial;Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",A0A0R4J0G0_MOUSE;PCKGM_MOUSE,A0A0R4J0G0;Q8BH04,;gluconeogenesis,";mitochondrion,extracellular exosome",";phosphoenolpyruvate carboxykinase (GTP) activity,GTP binding,metal ion binding",0,4,5,4,5,4,5,5,0,5,5,5,5,5,5,5,5,4.58476543426514,9.67400741577148,4.82191896438599,11.1245336532593,4.64910078048706,11.3255996704102,6.53525352478027,2.32046103477478
Serpina3k,MCG1051009,A0A0R4J0I1_MOUSE,A0A0R4J0I1,,,,0,25,27,23,31,26,28,25,1,31,31,31,31,31,31,31,31,218.97216796875,287.218719482422,233.746841430664,3064.38403320313,255.455337524414,438.756042480469,216.118118286133,29.4629611968994
Acad11,Acyl-CoA dehydrogenase family member 11,A0A0R4J0I6_MOUSE;ACD11_MOUSE,A0A0R4J0I6;Q80XL6,;fatty acid beta-oxidation using acyl-CoA dehydrogenase,";nucleus,mitochondrion,peroxisome,mitochondrial membrane",";acyl-CoA dehydrogenase activity,long-chain-acyl-CoA dehydrogenase activity,very-long-chain-acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding,medium-chain-acyl-CoA dehydrogenase activity",0,16,16,16,12,17,16,17,0,17,17,17,17,17,17,17,17,116.613418579102,65.6010665893555,142.972518920898,35.9482917785645,136.776824951172,74.3802108764648,109.463401794434,6.08995532989502
Lrp1,Low density lipoprotein receptor-related protein 1;Prolow-density lipoprotein receptor-related protein 1,A0A0R4J0I9_MOUSE;LRP1_MOUSE,A0A0R4J0I9;Q91ZX7,";cardiac septum development,receptor-mediated endocytosis,cholesterol metabolic process,positive regulation of cholesterol efflux,positive regulation of cell death,negative regulation of smooth muscle cell migration,negative regulation of Wnt signaling pathway,positive regulation of protein binding,positive regulation of lipid transport,regulation of cholesterol transport,regulation of phospholipase A2 activity,regulation of actin cytoskeleton organization,aorta morphogenesis,apoptotic cell clearance,transcytosis,positive regulation of endocytosis,coronary vasculature development,beta-amyloid clearance,positive regulation of protein localization to plasma membrane,positive regulation of lysosomal protein catabolic process,negative regulation of platelet-derived growth factor receptor-beta signaling pathway",";nucleolus,lysosomal membrane,early endosome,cytosol,integral component of plasma membrane,clathrin-coated pit,focal adhesion,membrane,basolateral plasma membrane,receptor complex,perinuclear region of cytoplasm",";RNA binding,calcium ion binding,protein binding,alpha-2 macroglobulin receptor activity,clathrin heavy chain binding,protein complex binding,apolipoprotein binding",0,3,9,1,10,2,10,6,0,10,10,10,10,10,10,10,10,13.984112739563,23.1116180419922,11.7648954391479,56.2355308532715,14.5526466369629,23.3523693084717,11.5233888626099,10.8420791625977
Mrps35,"28S ribosomal protein S35, mitochondrial;28S ribosomal protein S35, mitochondrial",A0A0R4J0L6_MOUSE;RT35_MOUSE,A0A0R4J0L6;Q8BJZ4,;biological_process,";mitochondrion,mitochondrial small ribosomal subunit",";RNA binding,structural constituent of ribosome",0,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,7.84592342376709,8.9965763092041,9.82133102416992,4.00789833068848,9.6273717880249,4.92137241363525,5.4091420173645,1.51237869262695
Apof,Apolipoprotein F,A0A0R4J0M4_MOUSE;APOF_MOUSE,A0A0R4J0M4;Q91V80,";triglyceride metabolic process,cholesterol metabolic process,cholesterol efflux",";cellular_component,low-density lipoprotein particle,high-density lipoprotein particle",;molecular_function,0,2,2,1,3,0,1,2,0,3,3,3,3,3,3,3,3,3.39936709403992,3.63742280006409,2.6612389087677,36.1139183044434,2.42567682266235,4.52578544616699,2.70323991775513,2.79176568984985
Acad8,"Acyl-Coenzyme A dehydrogenase family, member 8;Isobutyryl-CoA dehydrogenase, mitochondrial",A0A0R4J0P1_MOUSE;ACAD8_MOUSE,A0A0R4J0P1;Q9D7B6,";valine catabolic process,lipid metabolic process,oxidation-reduction process",;mitochondrion,";acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",0,14,13,15,14,15,14,15,0,15,15,15,15,15,15,15,15,132.856231689453,55.918815612793,118.925155639648,52.5190849304199,131.152542114258,62.9775581359863,126.35880279541,7.98073768615723
Slc22a18,Solute carrier family 22 member 18,A0A0R4J0P7_MOUSE;S22AI_MOUSE,A0A0R4J0P7;Q78KK3,";anion transport,drug transmembrane transport,organic anion transport,drug transport",";nuclear envelope,cytoplasm,integral component of plasma membrane,membrane,apical plasma membrane",";organic anion transmembrane transporter activity,drug transmembrane transporter activity,symporter activity,ubiquitin protein ligase binding",0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,78.7111206054688,46.8690986633301,86.3052139282227,57.7109832763672,86.1476287841797,20.6322956085205,64.9045867919922,1.05951404571533
Vamp8,Vesicle-associated membrane protein 8,A0A0R4J0R1_MOUSE;VAMP8_MOUSE,A0A0R4J0R1;O70404,";vesicle fusion,protein transport,autophagosome docking,regulation of endocytosis,SNARE complex assembly,viral entry into host cell,regulation of molecular function,mucus secretion,zymogen granule exocytosis,autophagosome maturation,positive regulation of pancreatic amylase secretion,regulation of protein localization to plasma membrane,negative regulation of secretion by cell,positive regulation of histamine secretion by mast cell",";cytoplasm,mitochondrion,lysosome,lysosomal membrane,early endosome,cytosol,plasma membrane,synaptic vesicle,cell surface,membrane,integral component of membrane,basolateral plasma membrane,secretory granule,secretory granule membrane,SNARE complex,early endosome membrane,late endosome membrane,vesicle,azurophil granule membrane,zymogen granule,perinuclear region of cytoplasm,recycling endosome,extracellular exosome,mucin granule",";SNARE binding,SNAP receptor activity,protein binding,chloride channel inhibitor activity",0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,17.4969463348389,29.4785709381104,20.9081611633301,14.192831993103,15.5485181808472,19.5128726959229,17.9642601013184,4.51228475570679
Rtn4ip1,"Reticulon 4 interacting protein 1;Reticulon-4-interacting protein 1, mitochondrial",A0A0R4J0S3_MOUSE;RT4I1_MOUSE,A0A0R4J0S3;Q924D0,";regulation of dendrite development,oxidation-reduction process",";mitochondrion,mitochondrial outer membrane",";zinc ion binding,oxidoreductase activity",0,4,3,4,2,4,4,4,0,4,4,4,4,4,4,4,4,26.1960906982422,10.0532321929932,29.6863746643066,8.42947673797607,25.6619052886963,12.1665735244751,24.5463390350342,2.38797760009766
Celf1,"CUG triplet repeat, RNA binding protein 1, isoform CRA_b;CUGBP Elav-like family member 1;Isoform 2 of CUGBP Elav-like family member 1;Isoform 3 of CUGBP Elav-like family member 1;Isoform 4 of CUGBP Elav-like family member 1",A0A0R4J0T5_MOUSE;CELF1_MOUSE;CELF1_MOUSE;CELF1_MOUSE;CELF1_MOUSE,A0A0R4J0T5;P28659;P28659-2;P28659-3;P28659-4,";mRNA splice site selection,spermatid development,positive regulation of multicellular organism growth,regulation of RNA splicing;;;",";nucleus,nucleoplasm,cytoplasm;;;",";RNA binding,translation initiation factor binding,BRE binding;;;",0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,10.6982488632202,26.7688789367676,7.48273229598999,28.86936378479,7.62027978897095,26.3606281280518,10.3148279190063,1.54684925079346
Car12;Ca12;Car12,Carbonic anhydrase 12;Carbonic anhydrase 12;Car12 protein,A0A0R4J0W4_MOUSE;CAH12_MOUSE;Q8K2J1_MOUSE,A0A0R4J0W4;Q8CI85;Q8K2J1,";one-carbon metabolic process,regulation of pH,carbon dioxide transport,chloride ion homeostasis;",";cellular_component,integral component of membrane;",";carbonate dehydratase activity,zinc ion binding;",0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,37.3941612243652,14.821249961853,38.4037475585938,21.544734954834,48.3131561279297,7.39319038391113,33.2499008178711,2.00169086456299
Pdia4,Protein disulfide-isomerase A4,A0A0R4J0Z1_MOUSE;PDIA4_MOUSE,A0A0R4J0Z1;P08003,";protein folding,response to endoplasmic reticulum stress,cell redox homeostasis,oxidation-reduction process,chaperone-mediated protein folding",";extracellular space,endoplasmic reticulum,endoplasmic reticulum lumen,cell surface,endoplasmic reticulum chaperone complex,melanosome",";RNA binding,protein disulfide isomerase activity,peptide disulfide oxidoreductase activity",0,12,12,12,12,12,12,11,0,12,12,12,12,12,12,12,12,46.6833915710449,78.2846069335938,42.0957183837891,107.167266845703,51.1096305847168,71.8365707397461,49.8940963745117,6.14391326904297
Ush1c,Harmonin;Harmonin;Harmonin;Harmonin;Harmonin;Harmonin;Harmonin;Isoform 2 of Harmonin;Isoform 1 of Harmonin,A0A0R4J0Z8_MOUSE;D6RIM8_MOUSE;E9PYX1_MOUSE;E9QMN1_MOUSE;H3BIZ2_MOUSE;H3BLC4_MOUSE;USH1C_MOUSE;USH1C_MOUSE;USH1C_MOUSE,A0A0R4J0Z8;D6RIM8;E9PYX1;E9QMN1;H3BIZ2;H3BLC4;Q9ES64;Q9ES64-2;Q9ES64-3,";;;;;;G2/M transition of mitotic cell cycle,sensory perception of sound,parallel actin filament bundle assembly,regulation of microvillus length,inner ear morphogenesis,auditory receptor cell differentiation,cellular protein complex assembly,photoreceptor cell maintenance,neuromuscular process controlling balance,sensory perception of light stimulus,equilibrioception,actin filament bundle assembly,inner ear receptor stereocilium organization,protein localization to microvillus,brush border assembly;;",";;;;;;photoreceptor outer segment,photoreceptor inner segment,cytoplasm,cytosol,cytoskeleton,plasma membrane,microvillus,brush border,stereocilium,apical part of cell,synapse;;",";;;;;;protein binding,spectrin binding,myosin tail binding,actin filament binding;;",0,7,7,7,2,7,6,7,0,7,7,7,7,7,7,7,7,9.29083156585693,11.5329818725586,7.65758419036865,4.25782012939453,8.46174240112305,12.5946226119995,7.55321979522705,3.83137607574463
