PG.Qvalue,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
1.23E-82,P4hb,Protein disulfide-isomerase,P09103,PDIA1_MOUSE,"endoplasmic reticulum,endoplasmic reticulum lumen,endoplasmic reticulum-Golgi intermediate compartment,focal adhesion,external side of plasma membrane,procollagen-proline 4-dioxygenase complex,extracellular matrix,endoplasmic reticulum chaperone complex,melanosome,extracellular exosome","protein folding,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,response to endoplasmic reticulum stress,cell redox homeostasis,positive regulation of viral entry into host cell,oxidation-reduction process,cellular response to hypoxia,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","RNA binding,protein disulfide isomerase activity,integrin binding,protein binding,peptide disulfide oxidoreductase activity,enzyme binding,protein heterodimerization activity,procollagen-proline 4-dioxygenase activity,peptidyl-proline 4-dioxygenase activity",40,40,41,42,41,42,41,6,43,43,43,43,43,43,43,43,519.3405762,572.928894,513.069397,914.2737427,471.6339417,574.1669922,529.9509888,37.87721634
4.85E-57,Alpl,"Alkaline phosphatase, tissue-nonspecific isozyme",P09242,PPBT_MOUSE,"proteinaceous extracellular matrix,plasma membrane,membrane,anchored component of membrane,extracellular membrane-bounded organelle,extracellular exosome","osteoblast differentiation,endochondral ossification,developmental process involved in reproduction,dephosphorylation,response to lipopolysaccharide,response to vitamin D,response to antibiotic,response to glucocorticoid,cellular response to organic cyclic compound,cementum mineralization","alkaline phosphatase activity,protein binding,pyrophosphatase activity,metal ion binding",15,14,14,16,15,16,14,0,16,16,16,16,16,16,16,16,62.93972015,102.3010864,77.31090546,43.77291489,76.97163391,121.3911514,62.35853958,8.125520706
3.57E-64,Ncl,Nucleolin,P09405,NUCL_MOUSE,"nucleus,nucleoplasm,nucleolus,cell cortex,membrane,intracellular ribonucleoprotein complex,cytoplasmic ribonucleoprotein granule,extracellular exosome","angiogenesis,negative regulation of translation,positive regulation of transcription from RNA polymerase II promoter,cellular response to epidermal growth factor stimulus,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter,cellular response to leukemia inhibitory factor","RNA binding,protein binding,protein C-terminus binding,telomeric DNA binding,identical protein binding,DNA topoisomerase binding,mRNA 5'-UTR binding",24,23,24,25,22,24,21,2,25,25,25,25,25,25,25,25,177.3655853,425.731842,157.29953,412.0069885,150.0114441,456.325531,182.9582825,18.26918983
5.55E-72,Pgk1,Phosphoglycerate kinase 1,P09411,PGK1_MOUSE,"extracellular space,cytoplasm,membrane,membrane raft,extracellular exosome","glycolytic process,phosphorylation,negative regulation of angiogenesis,epithelial cell differentiation,plasminogen activation,oxidation-reduction process,cellular response to hypoxia","phosphoglycerate kinase activity,ATP binding,protein-disulfide reductase activity",36,36,37,35,36,35,36,8,37,37,37,37,37,37,37,37,1753.583008,1623.479492,1677.868042,953.8864746,1804.258057,1488.025757,1469.04126,142.6816254
7.28E-70,Ace,Angiotensin-converting enzyme,P09470,ACE_MOUSE,"extracellular space,cytoplasm,lysosome,endosome,plasma membrane,external side of plasma membrane,integral component of membrane,extracellular exosome","kidney development,neutrophil mediated immunity,regulation of systemic arterial blood pressure by renin-angiotensin,positive regulation of systemic arterial blood pressure,proteolysis,spermatogenesis,regulation of blood pressure,posttranscriptional regulation of gene expression,negative regulation of gene expression,negative regulation of protein binding,positive regulation of protein binding,hormone catabolic process,peptide catabolic process,beta-amyloid metabolic process,arachidonic acid secretion,heart contraction,regulation of angiotensin metabolic process,positive regulation of protein tyrosine kinase activity,cell proliferation in bone marrow,positive regulation of peptidyl-tyrosine autophosphorylation,regulation of hematopoietic stem cell proliferation,negative regulation of gap junction assembly,positive regulation of peptidyl-cysteine S-nitrosylation","actin binding,endopeptidase activity,carboxypeptidase activity,protein binding,drug binding,peptidase activity,metallopeptidase activity,exopeptidase activity,tripeptidyl-peptidase activity,peptidyl-dipeptidase activity,zinc ion binding,chloride ion binding,mitogen-activated protein kinase kinase binding,bradykinin receptor binding,mitogen-activated protein kinase binding,metallodipeptidase activity",16,15,16,15,16,14,16,0,16,16,16,16,16,16,16,16,89.86779022,57.6105423,105.4518585,62.50997543,88.48274231,43.34235382,88.12307739,8.227812767
3.37E-06,Fth1,Ferritin heavy chain,P09528,FRIH_MOUSE,"extracellular region,nucleus,mitochondrion,autolysosome,extracellular exosome,endocytic vesicle lumen","intracellular sequestering of iron ion,receptor-mediated endocytosis,immune response,negative regulation of cell proliferation,negative regulation of fibroblast proliferation,oxidation-reduction process,iron ion import","ferroxidase activity,iron ion binding,ferric iron binding",2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,20.00590134,24.99410248,16.74147606,50.34657288,6.329177856,20.51337433,11.36864567,1.635204792
3.61E-91,Sod2,"Superoxide dismutase [Mn], mitochondrial",P09671,SODM_MOUSE,"mitochondrion,mitochondrial inner membrane,mitochondrial matrix,mitochondrial nucleoid,myelin sheath,extracellular exosome","response to reactive oxygen species,response to superoxide,age-dependent response to oxidative stress,age-dependent response to reactive oxygen species,response to hypoxia,release of cytochrome c from mitochondria,liver development,detection of oxygen,vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,regulation of transcription from RNA polymerase II promoter,glutathione metabolic process,superoxide metabolic process,response to oxidative stress,mitochondrion organization,heart development,locomotory behavior,regulation of blood pressure,negative regulation of cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,intrinsic apoptotic signaling pathway in response to oxidative stress,apoptotic mitochondrial changes,response to cold,post-embryonic development,response to manganese ion,response to zinc ion,response to selenium ion,response to gamma radiation,response to activity,removal of superoxide radicals,respiratory electron transport chain,hemopoiesis,positive regulation of cell migration,oxygen homeostasis,response to lipopolysaccharide,response to L-ascorbic acid,response to silicon dioxide,response to isolation stress,response to immobilization stress,vasodilation,response to drug,response to hydrogen peroxide,superoxide anion generation,negative regulation of neuron apoptotic process,positive regulation of nitric oxide biosynthetic process,negative regulation of fat cell differentiation,response to cadmium ion,negative regulation of fibroblast proliferation,neuron development,response to axon injury,erythrophore differentiation,hydrogen peroxide biosynthetic process,regulation of catalytic activity,protein homotetramerization,response to electrical stimulus,regulation of mitochondrial membrane potential,iron ion homeostasis,response to hyperoxia,response to magnetism,cellular response to ethanol,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,sensory perception of sound","DNA binding,superoxide dismutase activity,protein binding,oxidoreductase activity,oxygen binding,enzyme binding,manganese ion binding,identical protein binding",14,14,15,14,14,14,14,3,15,15,15,15,15,15,15,15,428.4210205,222.265564,386.9510193,323.2295532,436.1517944,239.2357788,359.6266785,16.15792274
3.16E-66,H2afz;H2afv,Histone H2A.Z;Histone H2A.V,P0C0S6;Q3THW5,H2AZ_MOUSE;H2AV_MOUSE,"nucleosome,nuclear chromatin,nucleus,nuclear euchromatin,nuclear heterochromatin,extracellular exosome,Barr body;nucleosome,nuclear chromatin,nucleus,extracellular exosome","chromatin silencing,multicellular organism development,positive regulation of transcription from RNA polymerase II promoter,cellular response to estradiol stimulus;chromatin silencing","RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,DNA binding,chromatin DNA binding,nucleosomal DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity",5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,116.7343216,235.6988068,96.07295227,272.2137756,104.2893219,243.7524872,112.0897827,4.488938808
5.38E-54,Ndufb1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,P0DN34,NDUB1_MOUSE,"mitochondrial respiratory chain complex I,integral component of membrane","mitochondrial respiratory chain complex I assembly,oxidation-reduction process",NADH dehydrogenase activity,4,4,4,3,4,4,4,0,4,4,4,4,4,4,4,4,243.2948761,132.5054169,235.6020813,162.4763184,203.9096985,115.2883682,205.8244476,2.339404345
4.66E-79,Anxa1,Annexin A1,P10107,ANXA1_MOUSE,"cornified envelope,phagocytic cup,extracellular space,nucleus,nucleoplasm,cytoplasm,endosome,cytosol,plasma membrane,cell-cell adherens junction,focal adhesion,cell surface,basolateral plasma membrane,apical plasma membrane,lateral plasma membrane,extrinsic component of membrane,cytoplasmic vesicle membrane,extrinsic component of external side of plasma membrane,extrinsic component of endosome membrane,motile cilium,early endosome membrane,mitochondrial membrane,vesicle,sarcolemma,mast cell granule,protein complex,extracellular exosome","DNA strand renaturation,neutrophil homeostasis,adaptive immune response,monocyte chemotaxis,regulation of leukocyte migration,phagocytosis,muscle contraction,inflammatory response,signal transduction,cell surface receptor signaling pathway,G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,regulation of cell shape,response to X-ray,myoblast migration involved in skeletal muscle regeneration,peptide cross-linking,insulin secretion,keratinocyte differentiation,prostate gland development,endocrine pancreas development,positive regulation of vesicle fusion,positive regulation of prostaglandin biosynthetic process,actin cytoskeleton reorganization,response to estradiol,DNA duplex unwinding,regulation of interleukin-1 production,positive regulation of interleukin-2 production,positive regulation of neutrophil apoptotic process,DNA rewinding,gliogenesis,positive regulation of T cell proliferation,regulation of cell proliferation,response to drug,response to peptide hormone,estrous cycle,innate immune response,positive regulation of T-helper 1 cell differentiation,negative regulation of T-helper 2 cell differentiation,negative regulation of exocytosis,alpha-beta T cell differentiation,regulation of hormone secretion,arachidonic acid secretion,regulation of inflammatory response,cellular response to hydrogen peroxide,hepatocyte differentiation,prolactin secretion,response to interleukin-1,cellular response to glucocorticoid stimulus,granulocyte chemotaxis,positive regulation of wound healing,neutrophil clearance,cell-cell adhesion,positive regulation of G1/S transition of mitotic cell cycle,negative regulation of phospholipase A2 activity,negative regulation of interleukin-8 secretion","single-stranded DNA binding,single-stranded RNA binding,helicase activity,structural molecule activity,calcium ion binding,protein binding,calcium-dependent phospholipid binding,phospholipase A2 inhibitor activity,protein binding, bridging,double-stranded DNA-dependent ATPase activity,annealing helicase activity,protein homodimerization activity,calcium-dependent protein binding,cadherin binding involved in cell-cell adhesion",28,31,21,35,21,33,31,0,35,35,35,35,35,35,35,35,30.33180046,71.61554718,11.61653519,374.8967896,12.53118134,83.04341125,57.02039719,7.632364273
2.70E-76,Eef1a1,Elongation factor 1-alpha 1,P10126,EF1A1_MOUSE,"extracellular space,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,membrane,cortical actin cytoskeleton,ruffle membrane,myelin sheath,extracellular exosome","translational elongation,aging,positive regulation of cell death,positive regulation of neuron projection development,cellular response to drug,protein homooligomerization,cellular response to epidermal growth factor stimulus,negative regulation of reactive oxygen species biosynthetic process,cellular response to nerve growth factor stimulus","tRNA binding,RNA binding,mRNA binding,translation elongation factor activity,GTPase activity,protein binding,GTP binding,drug binding,protein kinase binding",33,32,32,31,32,32,32,10,33,33,33,33,33,33,33,33,2460.19751,3696.281738,2280.333252,4465.194336,2066.630615,3297.248291,2335.550537,233.2705994
8.10E-39,Nid1,Nidogen-1,P10493,NID1_MOUSE,"extracellular region,proteinaceous extracellular matrix,basement membrane,basal lamina,extracellular space,extracellular matrix,extracellular exosome,cell periphery","cell-matrix adhesion,positive regulation of cell-substrate adhesion,extracellular matrix disassembly,extracellular matrix organization,glomerular basement membrane development","calcium ion binding,protein binding,collagen binding,laminin binding,laminin-1 binding,proteoglycan binding,extracellular matrix binding",19,21,17,23,14,20,19,0,23,23,23,23,23,23,23,23,16.39596176,38.21504593,16.73461914,105.4566727,11.33652115,34.69155121,15.42302895,6.283924103
5.40E-45,Alad,Delta-aminolevulinic acid dehydratase,P10518,HEM2_MOUSE,"nucleus,cytosol,proteasome core complex,extracellular exosome","response to hypoxia,protoporphyrinogen IX biosynthetic process,heme biosynthetic process,response to oxidative stress,response to herbicide,response to iron ion,response to zinc ion,response to aluminum ion,response to ionizing radiation,response to vitamin B1,response to selenium ion,response to activity,response to cobalt ion,response to lipopolysaccharide,response to vitamin E,response to drug,response to amino acid,response to ethanol,response to arsenic-containing substance,response to cadmium ion,response to mercury ion,protein homooligomerization,response to glucocorticoid,response to methylmercury,response to platinum ion,response to fatty acid,cellular response to lead ion,cellular response to interleukin-4,negative regulation of proteasomal protein catabolic process","porphobilinogen synthase activity,zinc ion binding,identical protein binding,proteasome core complex binding",15,15,15,14,15,15,14,0,15,15,15,15,15,15,15,15,68.13631439,60.87218857,70.1996994,27.3146534,92.86273193,56.89037704,70.37928009,7.539921761
9.10E-91,Ctsb,Cathepsin B,P10605,CATB_MOUSE,"extracellular space,nucleolus,mitochondrion,lysosome,melanosome,intracellular membrane-bounded organelle,perinuclear region of cytoplasm,extracellular exosome","proteolysis,collagen catabolic process,epithelial cell differentiation,decidualization,viral entry into host cell,regulation of catalytic activity,proteolysis involved in cellular protein catabolic process,cellular response to thyroid hormone stimulus","cysteine-type endopeptidase activity,collagen binding,peptidase activity,cysteine-type peptidase activity,proteoglycan binding",19,19,19,19,18,20,20,1,21,21,21,21,21,21,21,21,174.1797333,426.890564,129.7599945,528.4946289,141.6058044,392.6573792,210.8246765,25.82465553
6.94E-67,Eif4a2,Eukaryotic initiation factor 4A-II,P10630,IF4A2_MOUSE,"nucleolus,cytoplasm,perinuclear region of cytoplasm","translational initiation,regulation of gene expression,RNA secondary structure unwinding,negative regulation of RNA-directed RNA polymerase activity,cellular response to leukemia inhibitory factor","RNA binding,translation initiation factor activity,ATP-dependent RNA helicase activity,ATP binding,ATPase activity",18,19,19,16,18,19,16,2,19,19,19,19,19,19,19,19,203.659317,265.5261536,215.4341278,236.5991974,194.4006958,267.1237793,176.2926788,25.31494522
2.68E-76,Txn,Thioredoxin,P10639,THIO_MOUSE,"nucleus,cytoplasm,mitochondrion,cytosol,extracellular exosome","negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,glycerol ether metabolic process,response to radiation,positive regulation of peptidyl-serine phosphorylation,regulation of protein import into nucleus, translocation,cellular response to oxidative stress,positive regulation of DNA binding,cell redox homeostasis,negative regulation of protein export from nucleus,oxidation-reduction process,cellular oxidant detoxification,negative regulation of hydrogen peroxide-induced cell death","RNA binding,thioredoxin-disulfide reductase activity,protein binding,protein disulfide oxidoreductase activity,peptide disulfide oxidoreductase activity,oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor,protein-disulfide reductase activity",11,11,11,10,11,11,11,3,11,11,11,11,11,11,11,11,195.5102234,272.2044678,255.2388763,222.3383636,220.6038361,273.8986206,175.7570801,9.895514488
1.82E-96,Gstm1,Glutathione S-transferase Mu 1,P10649,GSTM1_MOUSE,"cytoplasm,myelin sheath","glutathione metabolic process,cellular response to drug","glutathione transferase activity,protein binding,identical protein binding,protein homodimerization activity,protein heterodimerization activity",23,22,22,23,22,24,24,5,24,24,24,24,24,24,24,24,828.2203369,643.6455078,754.8394165,299.7332458,844.7171631,591.0219727,755.6616211,81.1675415
7.57E-14,Tcea1,Transcription elongation factor A protein 1,P10711,TCEA1_MOUSE,"nucleus,nucleoplasm,transcription factor TFIID complex,nucleolus","transcription, DNA-templated,erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter","DNA binding,protein binding,zinc ion binding",6,6,6,6,6,6,5,0,6,6,6,6,6,6,6,6,13.99236488,21.475914,13.42922306,25.49260712,11.55181408,21.91960907,9.261447906,2.555582762
9.56E-43,Cd14,Monocyte differentiation antigen CD14,P10810,CD14_MOUSE,"extracellular space,Golgi apparatus,external side of plasma membrane,anchored component of external side of plasma membrane,membrane raft,lipopolysaccharide receptor complex,extracellular exosome","response to molecule of bacterial origin,receptor-mediated endocytosis,inflammatory response,response to heat,response to bacterium,lipopolysaccharide-mediated signaling pathway,response to magnesium ion,positive regulation of type I interferon production,positive regulation of interferon-gamma production,positive regulation of tumor necrosis factor production,toll-like receptor 4 signaling pathway,response to tumor necrosis factor,innate immune response,response to ethanol,positive regulation of endocytosis,response to electrical stimulus,cellular response to molecule of bacterial origin,cellular response to lipopolysaccharide,cellular response to lipoteichoic acid,cellular response to diacyl bacterial lipopeptide,cellular response to triacyl bacterial lipopeptide,positive regulation of NIK/NF-kappaB signaling,positive regulation of interleukin-8 secretion","lipopolysaccharide binding,lipoteichoic acid binding,lipopeptide binding",4,6,4,6,3,6,5,0,6,6,6,6,6,6,6,6,5.897249222,23.71382904,5.803873539,39.30173492,6.793017387,17.73084831,6.855496407,3.286382198
3.32E-06,Rras,Ras-related protein R-Ras,P10833,RRAS_MOUSE,"cytosol,plasma membrane,focal adhesion,extracellular exosome","leukocyte differentiation,signal transduction,negative regulation of cell migration,positive regulation of angiogenesis,regulation of protein kinase B signaling,face morphogenesis,regulation of ERK1 and ERK2 cascade","GTPase activity,GTP binding,GDP binding,protein complex binding",3,3,3,2,1,3,2,0,3,3,3,3,3,3,3,3,13.40001774,34.01013947,16.30694199,34.75720215,10.79288292,46.55513382,13.03047466,2.750431538
4.30E-87,Slc3a2,4F2 cell-surface antigen heavy chain;Isoform 2 of 4F2 cell-surface antigen heavy chain,P10852;P10852-2,4F2_MOUSE,"nucleus,cytosol,plasma membrane,cell surface,membrane,integral component of membrane,apical plasma membrane,melanosome,extracellular exosome;","carbohydrate metabolic process,tryptophan transport,response to exogenous dsRNA,leucine import;","RNA binding,double-stranded RNA binding,catalytic activity,protein binding,neutral amino acid transmembrane transporter activity,cadherin binding;",20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,227.7829437,155.0671844,238.2741394,257.2929077,227.6112518,155.9953308,230.6085052,16.0179081
1.57E-104,Hist1h2bf;Hist1h2bm;Hist1h2bb;Hist1h2bh;Hist2h2bb;Hist1h2bc;Hist1h2br;Hist1h2bk;Hist1h2bp;Hist1h2bp,Histone H2B type 1-F/J/L;Histone H2B type 1-M;Histone H2B type 1-B;Histone H2B type 1-H;Histone H2B type 2-B;Histone H2B type 1-C/E/G;Histone H2B;Histone H2B type 1-K;Histone H2B type 1-P;Isoform 2 of Histone H2B type 1-P,P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CBB6;Q8CGP1;Q8CGP2;Q8CGP2-2,H2B1F_MOUSE;H2B1M_MOUSE;H2B1B_MOUSE;H2B1H_MOUSE;H2B2B_MOUSE;H2B1C_MOUSE;Q8CBB6_MOUSE;H2B1K_MOUSE;H2B1P_MOUSE;H2B1P_MOUSE,"nucleosome,extracellular space,nucleus,nucleoplasm,cytosol,extracellular exosome;nucleosome,nucleus,nucleoplasm,cytosol,extracellular exosome;nuclear chromosome, telomeric region,nucleosome,nucleus,nucleoplasm,cytosol;nucleosome,nucleoplasm;nucleosome,nucleus,nucleoplasm,cytosol,extracellular exosome;nucleosome,extracellular space,nucleus,nucleoplasm,cytosol,extracellular exosome;;nucleosome,extracellular space,nucleus,nucleoplasm,cytosol;nucleosome,nucleus,nucleoplasm,cytosol;","innate immune response in mucosa,nucleosome assembly,antibacterial humoral response,defense response to Gram-positive bacterium,Requires Ontology;nucleosome assembly;nucleosome assembly;nucleosome assembly;nucleosome assembly;innate immune response in mucosa,nucleosome assembly,antibacterial humoral response,defense response to Gram-positive bacterium,Requires Ontology;;innate immune response in mucosa,nucleosome assembly,antibacterial humoral response,killing of cells of other organism,defense response to Gram-negative bacterium,defense response to Gram-positive bacterium,Requires Ontology;nucleosome assembly;","DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;DNA binding,identical protein binding,protein heterodimerization activity;;DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity;",13,14,13,14,14,14,14,4,14,14,14,14,14,14,14,14,9834.037109,16526.08008,8070.976074,16206.40332,7925.197266,14354.51758,8945.297852,2113.406494
2.27E-74,H1f0,Histone H1.0,P10922,H10_MOUSE,"nucleosome,nuclear chromatin,nucleus,nuclear euchromatin,Golgi apparatus,actin cytoskeleton,nuclear body,nucleolus",nucleosome assembly,"AT DNA binding,double-stranded DNA binding,RNA binding,chromatin DNA binding",7,7,7,6,7,6,7,3,7,7,7,7,7,7,7,7,580.6729736,639.5610352,537.0077515,260.013916,565.1611328,591.1576538,522.1300659,76.30751038
4.42E-49,Sub1,Activated RNA polymerase II transcriptional coactivator p15,P11031,TCP4_MOUSE,"nucleus,transcription factor complex,nucleolus,extracellular exosome","regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,DNA duplex unwinding,protein homooligomerization,positive regulation of transcription initiation from RNA polymerase II promoter,SMAD protein signal transduction","transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding,DNA helicase activity,double-stranded DNA binding,single-stranded DNA binding,transcription coactivator activity,RNA binding,activating transcription factor binding,identical protein binding",2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,36.38851166,46.56657791,12.95597553,30.97408867,13.10370255,30.66706085,6.445238113,1.484365582
5.22E-74,Col1a1,Collagen alpha-1(I) chain;Isoform 2 of Collagen alpha-1(I) chain,P11087;P11087-2,CO1A1_MOUSE,"proteinaceous extracellular matrix,collagen trimer,collagen type I trimer,extracellular space,cytoplasm,endoplasmic reticulum,Golgi apparatus,secretory granule,extracellular matrix;","skeletal system development,blood vessel development,osteoblast differentiation,intramembranous ossification,endochondral ossification,visual perception,sensory perception of sound,positive regulation of epithelial to mesenchymal transition,negative regulation of cell-substrate adhesion,protein transport,collagen fibril organization,positive regulation of cell migration,response to corticosteroid,response to estradiol,collagen biosynthetic process,protein localization to nucleus,tooth mineralization,collagen-activated tyrosine kinase receptor signaling pathway,wound healing,response to drug,response to hydrogen peroxide,response to peptide hormone,skin development,skin morphogenesis,cellular response to fibroblast growth factor stimulus,tooth eruption,positive regulation of transcription, DNA-templated,skeletal system morphogenesis,embryonic skeletal system development,response to cAMP,response to hyperoxia,face morphogenesis,bone trabecula formation,cartilage development involved in endochondral bone morphogenesis,protein heterotrimerization,cellular response to amino acid stimulus,cellular response to mechanical stimulus,cellular response to retinoic acid,cellular response to vitamin E,cellular response to tumor necrosis factor,cellular response to epidermal growth factor stimulus,cellular response to transforming growth factor beta stimulus,positive regulation of canonical Wnt signaling pathway,cellular response to fluoride;","protease binding,extracellular matrix structural constituent,protein binding,identical protein binding,metal ion binding,platelet-derived growth factor binding;",7,6,5,11,4,9,6,0,11,11,11,11,11,11,11,11,30.50180244,24.53993034,24.75852585,308.2780457,21.42794991,45.22662735,30.96289253,22.03903961
3.60E-42,Parp1,Poly [ADP-ribose] polymerase 1;Poly [ADP-ribose] polymerase,P11103;Q921K2,PARP1_MOUSE;Q921K2_MOUSE,"nuclear chromosome, telomeric region,nucleus,nuclear envelope,nucleoplasm,transcription factor complex,nucleolus,cytoplasm,mitochondrion,membrane,protein-DNA complex,protein complex;","telomere maintenance,DNA metabolic process,lagging strand elongation,DNA repair,base-excision repair,double-strand break repair,transcription from RNA polymerase II promoter,protein ADP-ribosylation,apoptotic process,cellular response to DNA damage stimulus,mitochondrion organization,positive regulation of cardiac muscle hypertrophy,peptidyl-serine ADP-ribosylation,mitochondrial DNA metabolic process,cellular response to insulin stimulus,cellular response to oxidative stress,protein modification process,regulation of growth rate,mitochondrial DNA repair,positive regulation of transcription from RNA polymerase II promoter,behavioral response to cocaine,regulation of catalytic activity,DNA ligation involved in DNA repair,protein poly-ADP-ribosylation,cellular response to superoxide,regulation of single strand break repair,regulation of cellular protein localization,negative regulation of telomere maintenance via telomere lengthening,negative regulation of interleukin-17 secretion,ATP generation from poly-ADP-D-ribose,negative regulation of ATP biosynthetic process;","RNA polymerase II regulatory region sequence-specific DNA binding,transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,chromatin binding,RNA binding,DNA ligase (ATP) activity,NAD+ ADP-ribosyltransferase activity,protein binding,transcription factor binding,zinc ion binding,enzyme binding,protein kinase binding,identical protein binding,protein N-terminus binding,NAD binding,protein ADP-ribosylase activity;",6,7,5,7,5,6,5,0,7,7,7,7,7,7,7,7,9.460728645,21.39351082,6.725387573,24.18260384,8.613236427,20.84308815,6.37774992,5.174137115
7.48E-60,Mpo,Myeloperoxidase,P11247,PERM_MOUSE,"extracellular space,nucleus,mitochondrion,secretory granule,azurophil granule,intracellular membrane-bounded organelle,extracellular exosome","response to yeast,hypochlorous acid biosynthetic process,respiratory burst involved in defense response,aging,response to mechanical stimulus,removal of superoxide radicals,response to food,response to lipopolysaccharide,low-density lipoprotein particle remodeling,defense response to bacterium,hydrogen peroxide catabolic process,negative regulation of growth of symbiont in host,defense response to fungus,oxidation-reduction process,response to gold nanoparticle","peroxidase activity,heparin binding,heme binding,metal ion binding",7,8,1,15,1,6,8,0,15,15,15,15,15,15,15,15,7.791402817,6.216467381,5.439996719,93.18006134,5.396578789,7.590922832,6.21925354,6.224673748
