PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[3] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[4] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity
";nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,mRNA splicing, via spliceosome,snRNA export from nucleus,regulation of translational initiation,RNA splicing,gene silencing by RNA,positive regulation of mRNA 3'-end processing,mRNA cis splicing, via spliceosome,positive regulation of RNA export from nucleus,mRNA transport,pre-mRNA cleavage required for polyadenylation",";nucleus,nucleoplasm,cytoplasm,mRNA cap binding complex,nuclear cap binding complex,RNA cap binding complex",Ncbp2,";RNA cap binding,RNA 7-methylguanosine cap binding,mRNA binding,snRNA binding,RNA binding",Nuclear cap-binding protein subunit 2,D3Z3D2_MOUSE;NCBP2_MOUSE,1.21E-17,D3Z3D2;Q9CQ49,2,1,1,1,2,2,2,2,5.856460094,4.909047604,3.535895348,2.951472282
";mRNA polyadenylation,pre-mRNA cleavage required for polyadenylation;;;",";nucleus,mRNA cleavage and polyadenylation specificity factor complex;;;",Fip1l1,";protein binding,RNA binding;;;",Pre-mRNA 3'-end-processing factor FIP1 (Fragment);Pre-mRNA 3'-end-processing factor FIP1;Isoform 2 of Pre-mRNA 3'-end-processing factor FIP1;Isoform 3 of Pre-mRNA 3'-end-processing factor FIP1;Isoform 4 of Pre-mRNA 3'-end-processing factor FIP1,D3Z3F1_MOUSE;FIP1_MOUSE;FIP1_MOUSE;FIP1_MOUSE;FIP1_MOUSE,1.74E-13,D3Z3F1;Q9D824;Q9D824-2;Q9D824-3;Q9D824-4,3,2,2,3,3,3,3,3,23.11687279,32.63858414,33.63220596,35.74572372
;;positive regulation of translation,";;cellular_component,cytoplasm",Paip1,";;RNA binding,protein binding,translation activator activity",Polyadenylate-binding protein-interacting protein 1,D3Z3J6_MOUSE;F6Y616_MOUSE;PAIP1_MOUSE,2.89E-78,D3Z3J6;F6Y616;Q8VE62,3,3,3,3,3,3,3,3,140.3250732,135.1532898,142.1818848,139.1608124
";negative regulation of systemic arterial blood pressure,positive regulation of cardiac muscle contraction;",";cytoplasm,cytoskeleton;",Smtn,;actin binding;,Smoothelin;Smoothelin;Isoform L2 of Smoothelin,D3Z3Q3_MOUSE;SMTN_MOUSE;SMTN_MOUSE,0.005516691,D3Z3Q3;Q921U8;Q921U8-2,0,2,2,1,3,3,3,3,5.056764126,3,8.675415039,4.699392319
;translation,";mitochondrion,mitochondrial large ribosomal subunit",Mrpl3,";RNA binding,structural constituent of ribosome","39S ribosomal protein L3, mitochondrial;39S ribosomal protein L3, mitochondrial",D3Z456_MOUSE;RM03_MOUSE,5.39E-33,D3Z456;Q99N95,3,3,3,3,3,3,3,3,6.645697594,11.96788502,29.08028603,10.73844242
";ovarian follicle development,translational initiation,central nervous system development,oligodendrocyte development,myelination,positive regulation of GTPase activity,cellular response to stimulus",";cytoplasm,eukaryotic translation initiation factor 2B complex",Eif2b2,";ATP binding,GTP binding,translation initiation factor activity,guanyl-nucleotide exchange factor activity",Translation initiation factor eIF-2B subunit beta (Fragment);Translation initiation factor eIF-2B subunit beta,D3Z487_MOUSE;EI2BB_MOUSE,0.004996898,D3Z487;Q99LD9,1,1,2,2,2,2,2,2,4.303650856,3.196971893,12.73131275,3.015023947
";biological_process,RNA splicing;;",;nuclear speck;;,Srsf11,;RNA binding;;,Protein Srsf11 (Fragment);Protein Srsf11;Protein Srsf11 (Fragment);Protein Srsf11,D3Z4B0_MOUSE;E9Q6E5_MOUSE;F6RDI8_MOUSE;Q3UIX4_MOUSE,3.13E-15,D3Z4B0;E9Q6E5;F6RDI8;Q3UIX4,2,2,3,2,4,4,4,4,21.90346146,24.99902344,24.28579903,25.11044693
";intracellular protein transport,vesicle-mediated transport,membrane fusion",";mitochondrion,lysosomal membrane,vacuolar membrane,SNARE complex,myelin sheath,extracellular exosome",Napg,";soluble NSF attachment protein activity,syntaxin binding",Gamma-soluble NSF attachment protein (Fragment);Gamma-soluble NSF attachment protein,D3Z4B2_MOUSE;SNAG_MOUSE,5.45E-55,D3Z4B2;Q9CWZ7,6,6,6,6,6,6,6,6,161.4314575,162.1561127,151.1679077,161.2394867
";regulation of oxidative phosphorylation,mitochondrial respiratory chain complex III assembly,regulation of insulin secretion,positive regulation of mitochondrial translation,positive regulation of cellular protein catabolic process,regulation of skeletal muscle cell differentiation",";mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space,mitochondrial matrix,nuclear body,mitochondrial nucleoid",Uqcc2,;molecular_function,Ubiquinol-cytochrome-c reductase complex assembly factor 2,D3Z4C9_MOUSE;UQCC2_MOUSE,2.97E-10,D3Z4C9;Q9CQY6,2,3,3,3,3,3,3,3,65.28594971,66.0881958,53.08562088,53.26808167
";mitotic cell cycle,response to ischemia,chromosome segregation,attachment of spindle microtubules to kinetochore,negative regulation of apoptotic process,cell division,protein K63-linked deubiquitination,cellular response to freezing,mitotic spindle assembly;",";nucleus,cytoplasm,BRISC complex,centrosome,midbody,spindle pole centrosome,microtubule minus-end;",Fam175b,";protein binding,microtubule binding,polyubiquitin binding;",BRISC complex subunit Abro1 (Fragment);BRISC complex subunit Abro1;BRISC complex subunit Abro1,D3Z4D8_MOUSE;F175B_MOUSE;Z4YJY0_MOUSE,2.39E-07,D3Z4D8;Q3TCJ1;Z4YJY0,2,2,2,3,3,3,3,3,5.41434288,9.714770317,13.95930481,6.546923161
";transport,protein insertion into ER membrane,cytoplasmic sequestering of protein,tail-anchored membrane protein insertion into ER membrane,maintenance of unfolded protein involved in ERAD pathway",";nucleoplasm,nucleolus,cytoplasm,cytosol,BAT3 complex",Get4,;chaperone binding,Golgi to ER traffic protein 4 homolog (Fragment);Golgi to ER traffic protein 4 homolog,D3Z4J5_MOUSE;GET4_MOUSE,0.001423886,D3Z4J5;Q9D1H7,2,2,1,2,2,2,2,2,10.84967232,18.78634262,16.62767792,7.275359631
";mRNA splicing, via spliceosome,protein localization to nucleus,positive regulation of G1/S transition of mitotic cell cycle",";Prp19 complex,fibrillar center,nuclear speck,nuclear membrane,precatalytic spliceosome,catalytic step 2 spliceosome,Cul4-RING E3 ubiquitin ligase complex,DNA replication factor A complex",Plrg1,;molecular_function,Pleiotropic regulator 1,D3Z4V1_MOUSE;PLRG1_MOUSE,0.002925112,D3Z4V1;Q922V4,3,3,1,3,3,3,3,3,5.627218246,13.21382523,13.82942486,5.224853516
";;proline catabolic process to glutamate,oxidation-reduction process",";;mitochondrion,mitochondrial inner membrane",Prodh2,";;proline dehydrogenase activity,oxidoreductase activity, acting on the CH-NH group of donors,FAD binding",Probable proline dehydrogenase 2 (Fragment);Probable proline dehydrogenase 2 (Fragment);Probable proline dehydrogenase 2,D3Z5H4_MOUSE;F7CED2_MOUSE;PROD2_MOUSE,3.30E-16,D3Z5H4;F7CED2;Q8VCZ9,3,3,3,2,3,3,3,3,10.82982731,12.7986145,29.5932827,10.11377621
";;response to virus,positive regulation of type I interferon production,positive regulation of interferon-alpha production,positive regulation of interferon-beta production,positive regulation of ATPase activity,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of viral genome replication,innate immune response,defense response to virus,positive regulation of mRNA catabolic process,cellular response to exogenous dsRNA,positive regulation of RIG-I signaling pathway;",";;nucleus,cytoplasm,lysosome,late endosome,cytosol;",Zc3hav1,";;RNA binding,NAD+ ADP-ribosyltransferase activity,DEAD/H-box RNA helicase binding,cadherin binding,metal ion binding;","Zinc finger CCCH-type antiviral protein 1;Zinc finger CCCH type, antiviral 1, isoform CRA_b;Zinc finger CCCH-type antiviral protein 1;Isoform 2 of Zinc finger CCCH-type antiviral protein 1",D3Z5I1_MOUSE;G3X9X5_MOUSE;ZCCHV_MOUSE;ZCCHV_MOUSE,0.009601779,D3Z5I1;G3X9X5;Q3UPF5;Q3UPF5-2,2,0,0,1,2,2,2,2,2.394704819,4.246175766,6.962786198,6.527348518
";positive regulation of growth rate,negative regulation of apoptotic process,negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator;",";mitochondrion,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane;",Armc10,";p53 binding,DBD domain binding;",Armadillo repeat-containing protein 10;Armadillo repeat-containing protein 10;Isoform 2 of Armadillo repeat-containing protein 10,D3Z5T2_MOUSE;ARM10_MOUSE;ARM10_MOUSE,0.002429959,D3Z5T2;Q9D0L7;Q9D0L7-2,3,3,2,1,3,3,3,3,19.74637413,59.21116257,52.21484756,48.53844833
";;angiogenesis,signal transduction,cell differentiation,negative regulation of Rac protein signal transduction,wound healing, spreading of epidermal cells,activation of GTPase activity,negative regulation of ruffle assembly;;",";;cytoplasm,cytoskeleton,focal adhesion,cell projection;;",Arhgap24,;;GTPase activator activity;;,"Rho GTPase-activating protein 24;Rho GTPase activating protein 24, isoform CRA_b;Rho GTPase-activating protein 24;Isoform 2 of Rho GTPase-activating protein 24;Isoform 3 of Rho GTPase-activating protein 24",D3Z5T4_MOUSE;G3X9N1_MOUSE;RHG24_MOUSE;RHG24_MOUSE;RHG24_MOUSE,1.19E-10,D3Z5T4;G3X9N1;Q8C4V1;Q8C4V1-2;Q8C4V1-3,2,3,3,3,3,3,3,3,22.13651466,21.63785553,34.0657196,20.95127106
";very long-chain fatty acid metabolic process,neuron migration,protein targeting to peroxisome,fatty acid beta-oxidation,mitochondrion organization,mitochondrial membrane organization,endoplasmic reticulum organization,peroxisome organization,protein import into peroxisome matrix,protein import into peroxisome matrix, docking,protein import into peroxisome matrix, translocation,cerebral cortex cell migration,cerebral cortex neuron differentiation,positive regulation of multicellular organism growth,cellular lipid metabolic process,protein import into peroxisome membrane,cell development,neuromuscular process,protein tetramerization,negative regulation of protein homotetramerization;",";cytoplasm,mitochondrion,peroxisome,peroxisomal membrane,peroxisomal matrix,Golgi apparatus,cytosol,membrane,protein complex;",Pex5,";peroxisome targeting sequence binding,peroxisome matrix targeting signal-1 binding,protein C-terminus binding,enzyme binding,small GTPase binding,protein N-terminus binding;",Peroxisomal targeting signal 1 receptor;Peroxisomal targeting signal 1 receptor;Isoform 2 of Peroxisomal targeting signal 1 receptor,D3Z600_MOUSE;PEX5_MOUSE;PEX5_MOUSE,3.72E-07,D3Z600;O09012;O09012-2,3,3,3,3,3,3,3,3,60.79644012,56.33700943,70.29528046,59.00001526
";cell cycle,positive regulation of cyclin-dependent protein serine/threonine kinase activity,positive regulation of transcription, DNA-templated,cell division,positive regulation of microtubule plus-end binding",";cytoplasm,microtubule cytoskeleton,midbody,microtubule plus-end,perinuclear region of cytoplasm,microtubule,cytoplasmic microtubule",Mapre3,";protein binding,microtubule binding,identical protein binding",Microtubule-associated protein RP/EB family member 3,D3Z6G3_MOUSE;MARE3_MOUSE,1.11E-18,D3Z6G3;Q6PER3,3,2,2,2,4,4,4,4,56.28759766,93.15679169,99.04206848,84.30674744
";mitochondrion organization,mitotic spindle organization,lipid biosynthetic process",";condensed chromosome kinetochore,mitochondrion,centrosome,dynactin complex",Dctn6,";catalytic activity,dynein complex binding","Dynactin 6, isoform CRA_b;Dynactin subunit 6",D3Z6H3_MOUSE;DCTN6_MOUSE,0.002921375,D3Z6H3;Q9WUB4,2,2,2,2,2,2,2,2,11.15473366,13.13933754,19.90095901,12.6941185
";protein methylation,positive regulation of cell growth",";cytoplasm,protein complex",N6amt1,";nucleic acid binding,protein methyltransferase activity,S-adenosylmethionine-dependent methyltransferase activity","HemK methyltransferase family member 2, isoform CRA_b;HemK methyltransferase family member 2, isoform CRA_c",D3Z6J0_MOUSE;Q6SKR2_MOUSE,0.008112061,D3Z6J0;Q6SKR2,1,1,1,1,2,2,2,2,7.644494534,7.907204628,13.13212013,19.2461071
";;negative regulation of hydrogen peroxide biosynthetic process,reactive oxygen species metabolic process,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",";;mitochondrion,peroxisome,peroxisomal membrane,integral component of membrane,intracellular membrane-bounded organelle",Mpv17l,";;receptor binding,protein binding",Mpv17-like protein,D3Z6M3_MOUSE;D6RHR1_MOUSE;MP17L_MOUSE,1.21E-15,D3Z6M3;D6RHR1;Q99MS3,2,2,2,1,2,2,2,2,29.59980392,22.12731743,66.31607819,32.67826462
";apoptotic process,biological_process",";endoplasmic reticulum,endoplasmic reticulum membrane,Golgi apparatus,cytosol,cytoplasmic microtubule,integral component of membrane",Tmem214,;molecular_function,Transmembrane protein 214,D3Z6S1_MOUSE;TM214_MOUSE,2.41E-08,D3Z6S1;Q8BM55,5,5,4,5,5,5,5,5,16.67990494,26.13942146,27.68598747,25.8766098
";;;regulation of alternative mRNA splicing, via spliceosome,positive regulation of receptor internalization,mRNA processing,cellular response to DNA damage stimulus,glutamate receptor signaling pathway,central nervous system development,anterograde axonal transport,RNA splicing,negative regulation of gene expression,negative regulation of translation,gene silencing by RNA,positive regulation of histone phosphorylation,cellular response to UV,regulation of mRNA stability,modulation by host of viral RNA genome replication,positive regulation of translation,negative regulation of translational initiation,regulation of neurotransmitter secretion,mRNA transport,regulation of filopodium assembly,positive regulation of filopodium assembly,regulation of gene silencing by miRNA,dendritic spine development,regulation of dendritic spine development,positive regulation of dendritic spine development,cellular response to hydroxyurea,cellular response to virus,regulation of neuronal action potential,regulation of translation at postsynapse, modulating synaptic transmission,negative regulation of long term synaptic depression,positive regulation of intracellular transport of viral material,negative regulation of voltage-gated calcium channel activity,positive regulation of proteasomal protein catabolic process,negative regulation of mRNA catabolic process,positive regulation of mRNA binding,regulation of modification of synaptic structure,negative regulation of synaptic vesicle exocytosis,positive regulation of gene silencing by miRNA,negative regulation of cytoplasmic translation,positive regulation of response to DNA damage stimulus;;;;;;",";;;chromosome, centromeric region,nucleus,nucleoplasm,chromosome,nucleolus,cytoplasm,cytosol,polysome,mRNA cap binding complex,chromocenter,cytoplasmic stress granule,postsynaptic density,Cajal body,membrane,viral replication complex,extrinsic component of plasma membrane,cell junction,axon,dendrite,growth cone,intracellular ribonucleoprotein complex,filopodium tip,cytoplasmic ribonucleoprotein granule,presynaptic membrane,cell projection,neuron projection,dendritic spine,perikaryon,axon terminus,cell body,synapse,postsynaptic membrane,perinuclear region of cytoplasm,neuronal ribonucleoprotein granule,glial cell projection,presynapse,postsynapse,dendritic filopodium,axon cytoplasm,messenger ribonucleoprotein complex,growth cone filopodium,ribonucleoprotein complex,microtubule,SMN complex;;;;;;",Fmr1,";;;G-quadruplex RNA binding,chromatin binding,RNA binding,mRNA binding,mRNA 3'-UTR binding,protein binding,microtubule binding,poly(U) RNA binding,translation repressor activity,translation initiation factor binding,RNA strand annealing activity,poly(G) binding,methylated histone binding,siRNA binding,miRNA binding,RNA stem-loop binding,identical protein binding,protein homodimerization activity,ribosome binding,ion channel binding,protein heterodimerization activity,mRNA 5'-UTR binding,dynein complex binding,sequence-specific mRNA binding;;;;;;",Synaptic functional regulator FMR1;Synaptic functional regulator FMR1;Synaptic functional regulator FMR1;Synaptic functional regulator FMR1;Isoform 2 of Synaptic functional regulator FMR1;Isoform 3 of Synaptic functional regulator FMR1;Isoform 7 of Synaptic functional regulator FMR1;Isoform 8 of Synaptic functional regulator FMR1;Isoform 9 of Synaptic functional regulator FMR1;Fragile X mental retardation syndrome 1 homolog,D3Z6U8_MOUSE;E9QAT0_MOUSE;E9QNF5_MOUSE;FMR1_MOUSE;FMR1_MOUSE;FMR1_MOUSE;FMR1_MOUSE;FMR1_MOUSE;FMR1_MOUSE;Q6AXB7_MOUSE,1.57E-10,D3Z6U8;E9QAT0;E9QNF5;P35922;P35922-2;P35922-3;P35922-7;P35922-8;P35922-9;Q6AXB7,3,2,3,4,4,4,4,4,24.91124344,70.41474915,67.53717804,58.57353973
";ovarian follicle development,translational initiation,oligodendrocyte development,myelination,positive regulation of GTPase activity,cellular response to stimulus;",";cytoplasm,eukaryotic translation initiation factor 2B complex;",Eif2b4,";translation initiation factor activity,guanyl-nucleotide exchange factor activity;",Translation initiation factor eIF-2B subunit delta;Translation initiation factor eIF-2B subunit delta;Isoform 2 of Translation initiation factor eIF-2B subunit delta,D3Z780_MOUSE;EI2BD_MOUSE;EI2BD_MOUSE,1.08E-34,D3Z780;Q61749;Q61749-2,4,4,2,3,4,4,4,4,41.70771027,66.36077881,47.41659546,56.4610939
";cerebellar granule cell precursor proliferation,proteasome assembly,proteasome core complex assembly",";nucleus,nucleoplasm,cytoplasm,endoplasmic reticulum,Golgi apparatus,cytosol",Psmg1,;proteasome binding,Proteasome assembly chaperone 1,D3Z795_MOUSE;PSMG1_MOUSE,2.61E-39,D3Z795;Q9JK23,4,4,4,4,4,4,4,4,53.86341858,35.05265427,47.88287354,48.77518463
;biological_process,";mitochondrion,mitochondrial ribosome,mitochondrial large ribosomal subunit",Mrpl40,";molecular_function,RNA binding","39S ribosomal protein L40, mitochondrial;39S ribosomal protein L40, mitochondrial",D3Z7C0_MOUSE;RM40_MOUSE,2.79E-14,D3Z7C0;Q9Z2Q5,5,6,6,4,6,6,6,6,58.75029755,102.4580154,135.8143005,94.24928284
";regulation of systemic arterial blood pressure,cardiac left ventricle morphogenesis,glycogen metabolic process,regulation of gene expression by genetic imprinting,protein phosphorylation,aging,insulin receptor signaling pathway,positive regulation of peptidyl-threonine phosphorylation,Wnt signaling pathway,cell migration,positive regulation of cAMP biosynthetic process,negative regulation of TOR signaling,cellular response to insulin stimulus,positive regulation of peptidyl-serine phosphorylation,cellular response to interleukin-3,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of neuron apoptotic process,hypermethylation of CpG island,positive regulation of heart contraction,positive regulation of transcription from RNA polymerase II promoter,negative regulation of glucose import,negative regulation of insulin receptor signaling pathway,negative regulation of cell growth involved in cardiac muscle cell development,cellular response to lithium ion,cellular response to organic cyclic compound,positive regulation of adrenergic receptor signaling pathway,extrinsic apoptotic signaling pathway in absence of ligand,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,regulation of mitophagy,positive regulation of protein targeting to mitochondrion,negative regulation of glycogen synthase activity, transferring glucose-1-phosphate,negative regulation of dendrite development,positive regulation of glycogen (starch) synthase activity",";mitochondrion,microtubule",Gsk3a,";protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase A catalytic subunit binding,tau-protein kinase activity",Glycogen synthase kinase-3 alpha,D3Z7E5_MOUSE;GSK3A_MOUSE,7.72E-10,D3Z7E5;Q2NL51,2,3,3,2,3,3,3,3,8.5569067,25.59952927,27.10621262,13.08646393
";;lipid transport,biological_process;;",";;late endosome,extracellular exosome;;",Osbpl1a,";;protein binding,cholesterol binding;;",Oxysterol-binding protein (Fragment);Oxysterol-binding protein;Oxysterol-binding protein-related protein 1;Isoform 2 of Oxysterol-binding protein-related protein 1;Isoform 3 of Oxysterol-binding protein-related protein 1,D3Z7I9_MOUSE;Q3V156_MOUSE;OSBL1_MOUSE;OSBL1_MOUSE;OSBL1_MOUSE,0.00020459,D3Z7I9;Q3V156;Q91XL9;Q91XL9-2;Q91XL9-3,2,2,2,1,2,2,2,2,30.46682358,32.31846619,43.83543777,30.74121857
";;;activation of MAPK activity,osteoblast differentiation,cell activation,regulation of protein phosphorylation,blood vessel remodeling,nervous system development,sensory perception of smell,circadian rhythm,cell proliferation,positive regulation of cell proliferation,negative regulation of cell proliferation,response to heat,glial cell differentiation,regulation of gene expression,regulation of receptor activity,positive regulation of glycoprotein biosynthetic process,positive regulation of cardiac muscle hypertrophy,negative regulation of gene expression,phosphatidylinositol 3-kinase signaling,positive regulation of phosphatidylinositol 3-kinase signaling,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,muscle hypertrophy,myotube cell development,positive regulation of smooth muscle cell migration,positive regulation of cerebellar granule cell precursor proliferation,water homeostasis,proteoglycan biosynthetic process,lung development,positive regulation of cell migration,mammary gland development,exocrine pancreas development,activation of protein kinase B activity,regulation of establishment or maintenance of cell polarity,positive regulation of protein import into nucleus, translocation,negative regulation of smooth muscle cell apoptotic process,multicellular organism growth,bone mineralization involved in bone maturation,positive regulation of activated T cell proliferation,positive regulation of tyrosine phosphorylation of STAT protein,negative regulation of apoptotic process,positive regulation of DNA binding,positive regulation of MAPK cascade,protein kinase B signaling,positive regulation of insulin-like growth factor receptor signaling pathway,regulation of nitric oxide biosynthetic process,myoblast differentiation,positive regulation of osteoblast differentiation,positive regulation of glycogen biosynthetic process,positive regulation of DNA replication,positive regulation of glycolytic process,positive regulation of mitotic nuclear division,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of glucose import,positive regulation of Ras protein signal transduction,insulin-like growth factor receptor signaling pathway,phosphatidylinositol-mediated signaling,positive regulation of fibroblast proliferation,lung alveolus development,cell development,positive regulation of smooth muscle cell proliferation,branching morphogenesis of an epithelial tube,inner ear development,chondroitin sulfate proteoglycan biosynthetic process,positive regulation of epithelial cell proliferation,positive regulation of protein secretion,positive regulation of peptidyl-tyrosine phosphorylation,negative regulation of peptidyl-tyrosine phosphorylation,protein stabilization,regulation of protein metabolic process,myoblast proliferation,positive regulation of protein kinase B signaling,negative regulation of oocyte development,lung vasculature development,lung lobe morphogenesis,Type I pneumocyte differentiation,Type II pneumocyte differentiation,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,prostate gland growth,prostate gland epithelium morphogenesis,prostate gland stromal morphogenesis,negative regulation of androgen receptor signaling pathway,positive regulation of cell growth involved in cardiac muscle cell development,ERK1 and ERK2 cascade,negative regulation of ERK1 and ERK2 cascade,positive regulation of calcineurin-NFAT signaling cascade,cellular response to glucose stimulus,negative regulation of release of cytochrome c from mitochondria,extrinsic apoptotic signaling pathway in absence of ligand,positive regulation of trophectodermal cell proliferation,cellular response to insulin-like growth factor stimulus,positive regulation of myoblast proliferation,positive regulation of transcription regulatory region DNA binding,negative regulation of extrinsic apoptotic signaling pathway;;;",";;;extracellular space,alphav-beta3 integrin-IGF-1-IGF1R complex,insulin-like growth factor ternary complex,exocytic vesicle;;;",Igf1,";;;insulin receptor binding,insulin-like growth factor receptor binding,integrin binding,hormone activity,protein binding,growth factor activity;;;",Insulin-like growth factor I (Fragment);Insulin-like growth factor I;Insulin-like growth factor I;Insulin-like growth factor I;Isoform IGF-IB of Insulin-like growth factor I;Insulin-like growth factor 1 isoform Eb;Insulin-like growth factor I,D3Z7M4_MOUSE;E9PU89_MOUSE;E9Q138_MOUSE;IGF1_MOUSE;IGF1_MOUSE;Q4VJB9_MOUSE;Q8CAR0_MOUSE,1.96E-05,D3Z7M4;E9PU89;E9Q138;P05017;P05017-2;Q4VJB9;Q8CAR0,2,2,2,2,2,2,2,2,11.2299633,13.13102627,17.74929619,16.47273254
";;double-strand break repair,apoptotic process,cellular response to DNA damage stimulus,cell cycle,response to ionizing radiation,chromatin modification,G2 DNA damage checkpoint,negative regulation of apoptotic process,positive regulation of DNA repair,cell division",";;nuclear ubiquitin ligase complex,nucleus,cytoplasm,cytosol,BRCA1-A complex,BRISC complex",Bre,";;tumor necrosis factor receptor binding,polyubiquitin binding",BRCA1-A complex subunit BRE,D3Z7P0_MOUSE;E9Q0U3_MOUSE;BRE_MOUSE,3.47E-46,D3Z7P0;E9Q0U3;Q8K3W0,3,4,4,4,4,4,4,4,55.98880386,57.32416153,66.44786835,69.39822388
"suckling behavior,regulation of respiratory gaseous exchange by neurological system process,glutamate biosynthetic process,glutamine catabolic process,chemical synaptic transmission,protein homotetramerization","mitochondrion,mitochondrial matrix,cytosol",Gls,"glutaminase activity,protein binding","Glutaminase kidney isoform, mitochondrial",GLSK_MOUSE,1.79E-24,D3Z7P3,6,6,6,6,6,6,6,6,206.8683624,127.8163605,147.7752075,164.4354706
,,Gls,,"Isoform 2 of Glutaminase kidney isoform, mitochondrial",GLSK_MOUSE,2.69E-54,D3Z7P3-2,27,25,25,23,11,11,11,11,1447.703369,1485.213257,1182.139893,1320.774658
";;;;;muscle contraction,protein localization to plasma membrane,regulation of membrane depolarization during cardiac muscle cell action potential,regulation of sodium ion transmembrane transport,regulation of voltage-gated sodium channel activity;;;;",";;;;;extracellular space,microtubule organizing center,integral component of membrane,Z disc,M band,sarcolemma;;;;",Slmap,;;;;;;;;;,Sarcolemmal membrane-associated protein;Sarcolemmal membrane-associated protein (Fragment);Sarcolemmal membrane-associated protein (Fragment);Sarcolemmal membrane-associated protein (Fragment);Sarcolemmal membrane-associated protein;Sarcolemmal membrane-associated protein;Isoform 2 of Sarcolemmal membrane-associated protein;Isoform 3 of Sarcolemmal membrane-associated protein;Isoform 4 of Sarcolemmal membrane-associated protein;Isoform 5 of Sarcolemmal membrane-associated protein,D3Z7V3_MOUSE;F6UV57_MOUSE;F6YCM8_MOUSE;F8WIH0_MOUSE;H7BX64_MOUSE;SLMAP_MOUSE;SLMAP_MOUSE;SLMAP_MOUSE;SLMAP_MOUSE;SLMAP_MOUSE,3.20E-05,D3Z7V3;F6UV57;F6YCM8;F8WIH0;H7BX64;Q3URD3;Q3URD3-2;Q3URD3-3;Q3URD3-4;Q3URD3-5,2,1,1,1,2,2,2,2,18.39691162,23.97360229,32.29269028,23.88949585
fatty acid beta-oxidation using acyl-CoA dehydrogenase,mitochondrion,Acad12,"acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",MCG142036,D3Z7X0_MOUSE,1.42E-37,D3Z7X0,22,20,20,22,9,9,9,9,4161.192871,3225.342773,3796.77417,4089.00708
";protein localization,response to metal ion",";membrane,extracellular exosome",Cuta,";copper ion binding,enzyme binding",Protein CutA,D5MCW4_MOUSE;CUTA_MOUSE,0.006067875,D5MCW4;Q9CQ89,2,2,1,1,2,2,2,2,63.10438538,35.81264114,80.39103699,33.74114227
";protein N-linked glycosylation,determination of left/right symmetry",";endoplasmic reticulum membrane,membrane,integral component of membrane",Alg5,";dolichyl-phosphate beta-glucosyltransferase activity,transferase activity",Dolichyl-phosphate beta-glucosyltransferase,D6RCG2_MOUSE;ALG5_MOUSE,0.007142242,D6RCG2;Q9DB25,2,1,2,1,2,2,2,2,38.21242523,34.77540588,41.57539749,34.55624771
";dephosphorylation,oxidation-reduction process",";mitochondrion,mitochondrial matrix",Pdpr,";[pyruvate dehydrogenase (lipoamide)] phosphatase activity,oxidoreductase activity","Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial;Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",D6RD07_MOUSE;PDPR_MOUSE,0.0004276,D6RD07;Q7TSQ8,2,2,2,2,3,3,3,3,32.15099716,23.30799866,22.55208015,45.48609543
;,;,Pxmp2,;,Peroxisomal membrane protein 2,D6REH1_MOUSE;Q5D073_MOUSE,5.14E-05,D6REH1;Q5D073,2,2,2,2,2,2,2,2,2.401396275,7.293621063,2.539276361,8.553645134
