PG.BiologicalProcess,PG.CellularComponent,PG.Genes,PG.MolecularFunction,PG.ProteinDescriptions,PG.ProteinNames,PG.Qvalue,PG.UniProtIds,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[2] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[3] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[4] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
"vasculogenesis,in utero embryonic development,kidney development,glomerular filtration,nitrogen compound metabolic process,endocytosis,hemopoiesis,glomerular basement membrane development,post-embryonic hemopoiesis,platelet-derived growth factor receptor signaling pathway,glomerular visceral epithelial cell development","cytoplasm,cytoskeleton,brush border,cell-cell junction,adherens junction,myosin complex,extracellular exosome,clathrin-coated endocytic vesicle",Myo1e,"motor activity,calmodulin binding,ATP binding,phosphatidylinositol binding,ATPase activity, coupled,actin filament binding",Unconventional myosin-Ie,MYO1E_MOUSE,1.45E-51,E9Q634,6,8,8,6,7,7,7,7,106.3516006,113.6936569,133.5267334,96.43981934
";complement activation, lectin pathway,proteolysis,complement activation, classical pathway",";extracellular space,extracellular exosome,blood microparticle",C1s1;C1sa,";serine-type endopeptidase activity,calcium ion binding,identical protein binding",Protein C1s1;Complement C1s-A subcomponent,E9Q6C2_MOUSE;CS1A_MOUSE,3.81E-08,E9Q6C2;Q8CG14,1,3,2,1,3,3,3,3,3.122043133,125.8803024,6.189772606,6.3412323
"in utero embryonic development,immune response;","membrane attack complex,extracellular exosome;",C6,;,Protein C6;Complement component 6,E9Q6D8_MOUSE;Q91X70_MOUSE,1.51E-42,E9Q6D8;Q91X70,14,21,19,14,7,7,7,7,276.3623962,3016.630615,423.5934448,209.7223816
";intracellular protein transport,regulation of vesicle fusion,regulation of protein localization,membrane organization,activation of GTPase activity;",";intracellular,nucleus,cytosol,endomembrane system;",Tbc1d1,";GTPase activator activity,Rab GTPase binding;",TBC1 domain family member 1;TBC1 domain family member 1;Isoform 2 of TBC1 domain family member 1,E9Q6L4_MOUSE;TBCD1_MOUSE;TBCD1_MOUSE,1.77E-31,E9Q6L4;Q60949;Q60949-2,7,7,8,8,7,7,7,7,94.7424469,87.3478775,106.3348923,94.93470764
"positive regulation of cell-matrix adhesion,adult somatic muscle development,neuromuscular junction development,response to denervation involved in regulation of muscle adaptation","nucleoplasm,cytoplasm,plasma membrane,dystrophin-associated glycoprotein complex,filopodium,growth cone,cortical actin cytoskeleton,filopodium membrane,neuromuscular junction,sarcolemma,protein complex,synapse,postsynaptic membrane,extracellular exosome,contractile ring",Utrn,"actin binding,integrin binding,protein binding,zinc ion binding,vinculin binding,protein kinase binding,actin filament binding",Protein Utrn,E9Q6R7_MOUSE,1.03E-33,E9Q6R7,20,14,18,19,7,7,7,7,95.26958466,82.55261993,123.8151779,102.732193
;protein folding,";nucleus,cytoplasm,mitochondrion,prefoldin complex",Pfdn4,";unfolded protein binding,chaperone binding",Prefoldin subunit 4,E9Q6U4_MOUSE;Q3UWL8_MOUSE,2.34E-32,E9Q6U4;Q3UWL8,4,4,4,4,4,4,4,4,128.776001,207.0406036,138.0358734,111.4471359
";peptidyl-lysine hydroxylation,hydroxylysine biosynthetic process,oxidation-reduction process",";rough endoplasmic reticulum membrane,extracellular exosome",Plod2,";iron ion binding,procollagen-lysine 5-dioxygenase activity,L-ascorbic acid binding","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",E9Q718_MOUSE;PLOD2_MOUSE,1.56E-28,E9Q718;Q9R0B9,5,6,6,6,6,6,6,6,100.9437561,321.9489746,145.7476807,95.94598389
"protein polyubiquitination,ER-associated ubiquitin-dependent protein catabolic process;","ubiquitin ligase complex,nucleus,cytoplasm;",Ube4a,"ligase activity,ubiquitin-ubiquitin ligase activity,ubiquitin protein ligase activity;",Ubiquitin conjugation factor E4 A,UBE4A_MOUSE;G3X9Y5_MOUSE,1.24E-18,E9Q735;G3X9Y5,2,2,2,3,3,3,3,3,47.53022003,31.25969505,35.00408554,37.07105637
";;DNA catabolic process,apoptotic process,nucleic acid phosphodiester bond hydrolysis",";;nucleus,nuclear envelope,extracellular exosome",Dnase1,";;actin binding,deoxyribonuclease I activity",Deoxyribonuclease-1 (Fragment);Deoxyribonuclease-1;Deoxyribonuclease-1,E9Q797_MOUSE;H3BKL7_MOUSE;DNAS1_MOUSE,0.001104471,E9Q797;H3BKL7;P49183,0,1,1,2,2,2,2,2,8.521771431,39.48678589,25.35324097,20.43768311
;;biological_process,;;cellular_component,Trabd,;;molecular_function,TraB domain-containing protein (Fragment);TraB domain-containing protein;TraB domain-containing protein,E9Q7A5_MOUSE;E9Q8R5_MOUSE;TRABD_MOUSE,0.000699801,E9Q7A5;E9Q8R5;Q99JY4,2,1,1,1,2,2,2,2,16.11832428,26.62139511,12.17090416,24.41009521
;;;,;;;,Klc1,;;;,Kinesin light chain 1,E9Q7C9_MOUSE;Q5UE59_MOUSE;Q7TNF4_MOUSE;Q8CD76_MOUSE,1.58E-26,E9Q7C9;Q5UE59;Q7TNF4;Q8CD76,7,9,8,7,7,7,7,7,328.0244446,290.8439331,362.2641296,303.964447
"establishment of mitotic spindle orientation,microtubule bundle formation,chromosome segregation,positive regulation of BMP signaling pathway,astral microtubule organization,positive regulation of microtubule polymerization,positive regulation of intracellular transport,positive regulation of keratinocyte differentiation,cell division,meiotic cell cycle,positive regulation of hair follicle development,positive regulation of chromosome segregation,anastral spindle assembly,regulation of mitotic spindle organization,lung epithelial cell differentiation,regulation of metaphase plate congression,positive regulation of protein localization to spindle pole body,positive regulation of mitotic spindle elongation,positive regulation of protein localization to cell cortex,Requires Ontology","Golgi membrane,spindle pole,nucleus,nucleoplasm,chromosome,centrosome,cytosol,spindle microtubule,cell cortex,nuclear matrix,extrinsic component of plasma membrane,dendrite,spindle pole centrosome,microtubule plus-end,microtubule minus-end,neuronal cell body,protein complex,apical part of cell,cortical microtubule,mitotic spindle astral microtubule,extracellular exosome,mitotic spindle,microtubule bundle,mitotic spindle pole,lateral cell cortex,cell cortex region,Requires Ontology,mitotic spindle midzone",Numa1,"microtubule binding,protein C-terminus binding,tubulin binding,protein domain specific binding,protein complex binding,phosphatidylinositol binding,microtubule plus-end binding,microtubule minus-end binding,dynein complex binding,disordered domain specific binding",Protein Numa1,E9Q7G0_MOUSE,4.26E-54,E9Q7G0,46,40,49,46,7,7,7,7,374.5115051,347.9420776,495.7415161,424.557312
";;purine nucleotide metabolic process,phosphorylation,GMP metabolic process,GDP metabolic process",;;cytosol,Guk1,";;guanylate kinase activity,ATP binding",Guanylate kinase,E9Q7K1_MOUSE;Q564G0_MOUSE;KGUA_MOUSE,4.11E-17,E9Q7K1;Q564G0;Q64520,4,3,4,4,5,5,5,5,39.88473129,43.62931061,58.53285217,40.08601379
"homophilic cell adhesion via plasma membrane adhesion molecules,epithelial cell differentiation,regulation of microvillus length,cell-cell adhesion mediated by cadherin,negative regulation of cell growth involved in contact inhibition,intermicrovillar adhesion","brush border,apical plasma membrane,cell junction,brush border membrane,microvillus membrane,spanning component of plasma membrane,extracellular exosome",Cdhr2,"calcium ion binding,cell adhesion molecule binding",Cadherin-related family member 2,CDHR2_MOUSE,7.66E-31,E9Q7P9,5,3,3,5,5,5,5,5,81.72299957,107.6910629,43.91368103,97.78955078
,,Tpm3,,Tropomyosin alpha-3 chain,E9Q7Q3_MOUSE,1.86E-10,E9Q7Q3,1,2,2,2,2,2,2,2,6.831898689,4.671548843,5.768967152,7.834950924
";;neural retina development,regulation of transcription from RNA polymerase II promoter,calcium ion transport,cellular calcium ion homeostasis,spermatogenesis,negative regulation of nitric oxide mediated signal transduction,hippocampus development,flagellated sperm motility,positive regulation of peptidyl-serine phosphorylation,negative regulation of nitric oxide biosynthetic process,negative regulation of nitric-oxide synthase activity,response to hydrostatic pressure,calcium ion transmembrane transport,negative regulation of calcineurin-NFAT signaling cascade,cellular response to epinephrine stimulus,negative regulation of the force of heart contraction,Requires Ontology,negative regulation of arginine catabolic process,negative regulation of adrenergic receptor signaling pathway involved in heart process,calcium ion export,regulation of cell cycle G1/S phase transition,negative regulation of cardiac muscle hypertrophy in response to stress,negative regulation of citrulline biosynthetic process,positive regulation of cAMP-dependent protein kinase activity;",";;plasma membrane,integral component of plasma membrane,membrane,basolateral plasma membrane,Z disc,T-tubule,sperm flagellum,sarcolemma,neuron projection,intracellular membrane-bounded organelle,sperm principal piece;",Atp2b4,";;calcium-transporting ATPase activity,calmodulin binding,ATP binding,protein kinase binding,PDZ domain binding,protein phosphatase 2B binding,nitric-oxide synthase inhibitor activity,metal ion binding,nitric-oxide synthase binding;",Calcium-transporting ATPase;Calcium-transporting ATPase;Plasma membrane calcium-transporting ATPase 4;Isoform 2 of Plasma membrane calcium-transporting ATPase 4,E9Q828_MOUSE;F7AAP4_MOUSE;AT2B4_MOUSE;AT2B4_MOUSE,0.000138611,E9Q828;F7AAP4;Q6Q477;Q6Q477-2,3,2,3,2,4,4,4,4,13.38007355,20.97983742,18.89625931,9.516569138
";;cell adhesion,signal transduction,telencephalon development,cerebral cortex development,regulation of protein localization,adherens junction maintenance,positive regulation of GTPase activity,brain morphogenesis,homeostasis of number of cells,radial glial cell differentiation,neuroepithelial cell differentiation,regulation of oligodendrocyte progenitor proliferation,establishment of endothelial intestinal barrier,protein localization to cell junction;",";;nucleoplasm,cytoplasm,cytosol,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,nuclear speck,cell junction,apical junction complex,apical part of cell;",Afdn,";;protein binding,Ras GTPase binding,cadherin binding,cell adhesion molecule binding;",Afadin;Afadin;Afadin;Isoform 1 of Afadin,E9Q852_MOUSE;E9Q9C3_MOUSE;AFAD_MOUSE;AFAD_MOUSE,4.43E-14,E9Q852;E9Q9C3;Q9QZQ1;Q9QZQ1-2,20,12,21,21,8,8,8,8,244.0370789,186.8209991,270.8371887,247.0458527
";intracellular protein transport,response to organic substance,response to retinoic acid;",";Golgi membrane,integral component of membrane,intracellular membrane-bounded organelle,extracellular exosome;",Scamp3,;ubiquitin protein ligase binding;,Secretory carrier-associated membrane protein 3,E9Q855_MOUSE;SCAM3_MOUSE;Q3UXS0_MOUSE,8.65E-45,E9Q855;O35609;Q3UXS0,6,6,6,6,6,6,6,6,276.2106934,179.748642,246.2407684,247.2055664
biological_process;,cellular_component;,Gm4788,molecular_function;,Protein Gm4788,E9Q8B5_MOUSE;E9Q8B6_MOUSE,1.06E-39,E9Q8B5;E9Q8B6,5,8,4,4,7,7,7,7,38.53543091,527.9466553,60.13274384,60.43664169
";complement activation,complement activation, alternative pathway,regulation of complement activation,positive regulation of cytolysis",";extracellular space,extracellular exosome,blood microparticle",Cfh,";complement component C3b binding,protein binding,heparin binding,heparan sulfate proteoglycan binding",Complement factor H,E9Q8I0_MOUSE;CFAH_MOUSE,6.26E-35,E9Q8I0;P06909,51,60,57,51,8,8,8,8,1045.783813,10280.12207,1620.544678,1041.662231
,,Tacc2,,Transforming acidic coiled-coil-containing protein 2,E9Q8T1_MOUSE,3.77E-10,E9Q8T1,3,2,4,2,4,4,4,4,56.63960266,37.74609375,57.04672241,59.35742569
;;,;;,Ctnnd1,;;,Catenin delta-1;Isoform 2 of Catenin delta-1;Isoform 3 of Catenin delta-1,E9Q8Z5_MOUSE;CTND1_MOUSE;CTND1_MOUSE,2.66E-34,E9Q8Z5;P30999-2;P30999-3,19,20,20,21,8,8,8,8,1178.324097,1005.322021,1131.361328,1119.40918
"small GTPase mediated signal transduction,vascular smooth muscle contraction,myosin filament assembly,negative regulation of endoplasmic reticulum calcium ion concentration,positive regulation of GTPase activity,positive regulation of mitochondrial calcium ion concentration;","mitochondrion,endoplasmic reticulum,cytosol,extracellular exosome;",Rap1gds1,molecular_function;,Protein Rap1gds1,E9Q912_MOUSE;Q3TU36_MOUSE,3.87E-35,E9Q912;Q3TU36,9,8,8,7,7,7,7,7,105.8196259,132.5458679,167.4943542,97.28408813
";;;;;;cytoskeleton organization,axon guidance,lamellipodium assembly,positive regulation of transcription from RNA polymerase II promoter,cilium morphogenesis;;",";;;;;;stress fiber,cytoplasm,postsynaptic density,actin cytoskeleton,lamellipodium;;",Ablim1,";;;;;;actin binding,protein binding,metal ion binding;;",Actin-binding LIM protein 1;Actin-binding LIM protein 1;Actin-binding LIM protein 1;Actin-binding LIM protein 1;Actin-binding LIM protein 1;Actin-binding LIM protein 1;Actin-binding LIM protein 1;Isoform 2 of Actin-binding LIM protein 1;Isoform 4 of Actin-binding LIM protein 1,E9Q9C0_MOUSE;E9Q9C1_MOUSE;E9Q9C2_MOUSE;E9Q9C4_MOUSE;E9Q9C7_MOUSE;E9QK41_MOUSE;ABLM1_MOUSE;ABLM1_MOUSE;ABLM1_MOUSE,2.00E-30,E9Q9C0;E9Q9C1;E9Q9C2;E9Q9C4;E9Q9C7;E9QK41;Q8K4G5;Q8K4G5-2;Q8K4G5-4,7,8,10,9,7,7,7,7,67.27885437,30.7341938,60.75425339,54.16186905
";;negative regulation of transcription from RNA polymerase II promoter,ureteric bud development,branching involved in ureteric bud morphogenesis,immunological synapse formation,endothelial cell proliferation,lens development in camera-type eye,T cell cytokine production,actin filament organization,chemical synaptic transmission,protein localization,positive regulation of cell proliferation,regulation of cell shape,peristalsis,positive regulation of actin filament polymerization,cortical actin cytoskeleton organization,astral microtubule organization,membrane raft organization,regulation of myelination,activation of protein kinase activity,cellular protein complex localization,positive regulation of multicellular organism growth,T cell activation,negative regulation of T cell proliferation,regulation of membrane potential,amyloid precursor protein metabolic process,receptor clustering,positive regulation of potassium ion transport,cortical microtubule organization,establishment or maintenance of epithelial cell apical/basal polarity,negative regulation of mitotic cell cycle,GMP metabolic process,GDP metabolic process,reproductive structure development,positive regulation of developmental growth,embryonic skeletal system morphogenesis,tissue morphogenesis,smooth muscle tissue development,negative regulation of epithelial cell proliferation,establishment of centrosome localization,negative regulation of protein kinase B signaling,hard palate development,negative regulation of ERK1 and ERK2 cascade,bicellular tight junction assembly,protein localization to plasma membrane,receptor localization to synapse,cell-cell adhesion,regulation of ventricular cardiac muscle cell action potential,positive regulation of protein localization to plasma membrane,regulation of potassium ion import,negative regulation of p38MAPK cascade,regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,regulation of potassium ion export across plasma membrane;;",";;immunological synapse,basal lamina,nucleus,cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,Golgi apparatus,cytosol,microtubule,plasma membrane,microvillus,cell-cell junction,cell-cell adherens junction,bicellular tight junction,cytoplasmic side of plasma membrane,postsynaptic density,basolateral plasma membrane,lateral plasma membrane,cell junction,cell projection membrane,neuromuscular junction,node of Ranvier,paranode region of axon,myelin sheath abaxonal region,lateral loop,membrane raft,synapse,postsynaptic membrane,perinuclear region of cytoplasm,extracellular exosome,MPP7-DLG1-LIN7 complex,ionotropic glutamate receptor complex;;",Dlg1,";;guanylate kinase activity,protein binding,protein C-terminus binding,potassium channel regulator activity,kinase binding,protein kinase binding,phosphatase binding,mitogen-activated protein kinase kinase binding,protein complex scaffold,ionotropic glutamate receptor binding,ion channel binding,cadherin binding,L27 domain binding;;",Disks large homolog 1;Disks large homolog 1;Disks large homolog 1;Isoform 2 of Disks large homolog 1;Isoform 3 of Disks large homolog 1,E9Q9H0_MOUSE;H7BWY4_MOUSE;DLG1_MOUSE;DLG1_MOUSE;DLG1_MOUSE,6.08E-42,E9Q9H0;H7BWY4;Q811D0;Q811D0-2;Q811D0-3,17,11,16,14,7,7,7,7,398.5295715,196.4078217,461.0050964,362.1318054
";;DNA replication,transcription, DNA-templated,chromatin modification,positive regulation of transcription, DNA-templated,negative regulation of DNA biosynthetic process",";;nucleus,cytoplasm,cytosol,nuclear membrane",Dnajc2,";;DNA binding,chromatin binding,RNA binding,protein binding,Hsp70 protein binding,histone binding,ubiquitinated histone binding",DnaJ homolog subfamily C member 2,E9Q9H2_MOUSE;E9Q9H3_MOUSE;DNJC2_MOUSE,1.35E-24,E9Q9H2;E9Q9H3;P54103,3,1,2,3,3,3,3,3,44.07658005,29.58433914,31.84199333,14.88161278
";;dephosphorylation,IMP metabolic process,adenosine metabolic process",";;cellular_component,cytoplasm",Nt5c2,";;nucleotide binding,5'-nucleotidase activity,metal ion binding","Cytosolic purine 5'-nucleotidase;5'-nucleotidase, cytosolic II, isoform CRA_b;Cytosolic purine 5'-nucleotidase",E9Q9M1_MOUSE;G3X9J6_MOUSE;5NTC_MOUSE,4.21E-33,E9Q9M1;G3X9J6;Q3V1L4,8,6,8,8,8,8,8,8,111.2808609,102.5158463,134.0783539,129.2278137
;,;,Cald1,;,Protein Cald1;Caldesmon 1,E9QA16_MOUSE;Q8VCQ8_MOUSE,3.33E-54,E9QA16;Q8VCQ8,33,33,34,32,8,8,8,8,3042.808105,3715.86084,3465.824707,2923.188232
";peroxisome organization,peroxisome membrane biogenesis,protein import into peroxisome membrane",";nucleoplasm,peroxisome,peroxisomal membrane,integral component of peroxisomal membrane,endoplasmic reticulum,cytosol,integral component of plasma membrane,membrane,protein-lipid complex,protein complex",Pex3,";lipid binding,protein dimerization activity",Peroxisomal biogenesis factor 3,E9QA46_MOUSE;PEX3_MOUSE,3.40E-12,E9QA46;Q9QXY9,2,1,1,2,2,2,2,2,5.444616318,4.097547531,7.606391907,6.403404236
";Golgi to plasma membrane transport,protein transport",;early endosome,Ccdc93,;molecular_function,Coiled-coil domain-containing protein 93,E9QAD4_MOUSE;CCD93_MOUSE,2.71E-15,E9QAD4;Q7TQK5,4,4,5,4,5,5,5,5,81.79512024,52.84080505,79.0007019,59.09571457
";actin filament organization,signal transduction,calcium ion regulated exocytosis,positive regulation of GTPase activity;;;",";nucleus,cytoplasm,cytosol,plasma membrane,bicellular tight junction;;;",Arhgap17,";molecular_function,GTPase activator activity,SH3 domain binding;;;",Rho GTPase-activating protein 17;Rho GTPase-activating protein 17;Isoform 2 of Rho GTPase-activating protein 17;Isoform 3 of Rho GTPase-activating protein 17;Isoform 4 of Rho GTPase-activating protein 17,E9QAJ9_MOUSE;RHG17_MOUSE;RHG17_MOUSE;RHG17_MOUSE;RHG17_MOUSE,7.74E-12,E9QAJ9;Q3UIA2;Q3UIA2-2;Q3UIA2-3;Q3UIA2-4,3,2,2,4,4,4,4,4,16.30607986,9.505216599,19.82218742,18.49076653
";re-entry into mitotic cell cycle,epithelial to mesenchymal transition,positive regulation of cell-matrix adhesion,glycogen metabolic process,regulation of gene expression by genetic imprinting,protein phosphorylation,protein export from nucleus,ER overload response,cytoskeleton organization,axonogenesis,myoblast fusion,circadian rhythm,cell proliferation,insulin receptor signaling pathway,animal organ morphogenesis,positive regulation of autophagy,negative regulation of cardiac muscle hypertrophy,positive regulation of gene expression,positive regulation of peptidyl-threonine phosphorylation,positive regulation of mitochondrion organization,regulation of neuron projection development,negative regulation of neuron projection development,negative regulation of neuron maturation,myotube differentiation,Wnt signaling pathway,phosphorylation,cell migration,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,hippocampus development,neuron projection development,negative regulation of protein complex assembly,positive regulation of protein complex assembly,negative regulation of TOR signaling,negative regulation of protein binding,positive regulation of protein binding,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of microtubule-based process,positive regulation of peptidyl-serine phosphorylation,protein localization to microtubule,intracellular signal transduction,cellular response to hepatocyte growth factor stimulus,cellular response to interleukin-3,negative regulation of apoptotic process,positive regulation of GTPase activity,hypermethylation of CpG island,canonical Wnt signaling pathway involved in positive regulation of apoptotic process,fat cell differentiation,positive regulation of axon extension,positive regulation of transcription from RNA polymerase II promoter,protein autophosphorylation,positive regulation of protein export from nucleus,negative regulation of NFAT protein import into nucleus,canonical Wnt signaling pathway,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,superior temporal gyrus development,extrinsic apoptotic signaling pathway in absence of ligand,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,negative regulation of neuron death,positive regulation of neuron death,negative regulation of protein localization to centrosome,positive regulation of cardiac muscle cell differentiation,positive regulation of stem cell differentiation",";nucleus,nucleoplasm,cytoplasm,mitochondrion,centrosome,cytosol,plasma membrane,postsynaptic density,membrane,growth cone,intracellular ribonucleoprotein complex,beta-catenin destruction complex,neuronal cell body,dendritic shaft,membrane-bounded organelle,cell body,perinuclear region of cytoplasm,Wnt signalosome",Gsk3b,";RNA polymerase II transcription factor binding,protease binding,p53 binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,beta-catenin binding,kinase activity,protein kinase binding,ubiquitin protein ligase binding,protein kinase A catalytic subunit binding,tau-protein kinase activity,NF-kappaB binding,dynein complex binding",Glycogen synthase kinase-3 beta,E9QAQ5_MOUSE;GSK3B_MOUSE,4.55E-29,E9QAQ5;Q9WV60,7,7,8,8,7,7,7,7,106.7323303,137.3986053,163.6197815,115.5930252
";;negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,chromatin modification,ATP-dependent chromatin remodeling,terminal button organization",";;nuclear chromatin,nucleus,nucleoplasm,cytoplasm,centrosome,membrane,NuRD complex,protein-DNA complex,protein complex",Chd4,";;RNA polymerase II repressing transcription factor binding,helicase activity,protein binding,ATP binding,transcription factor binding,histone deacetylase binding,metal ion binding,RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,nucleosomal DNA binding",Chromodomain-helicase-DNA-binding protein 4,E9QAS4_MOUSE;E9QAS5_MOUSE;CHD4_MOUSE,6.49E-34,E9QAS4;E9QAS5;Q6PDQ2,20,20,24,23,8,8,8,8,356.4306641,650.7349854,539.2420044,461.9512939
";regulation of alternative mRNA splicing, via spliceosome,positive regulation of receptor internalization,mRNA processing,cellular response to DNA damage stimulus,glutamate receptor signaling pathway,central nervous system development,anterograde axonal transport,RNA splicing,negative regulation of gene expression,negative regulation of translation,gene silencing by RNA,positive regulation of histone phosphorylation,cellular response to UV,regulation of mRNA stability,modulation by host of viral RNA genome replication,positive regulation of translation,negative regulation of translational initiation,regulation of neurotransmitter secretion,mRNA transport,regulation of filopodium assembly,positive regulation of filopodium assembly,regulation of gene silencing by miRNA,dendritic spine development,regulation of dendritic spine development,positive regulation of dendritic spine development,cellular response to hydroxyurea,cellular response to virus,regulation of neuronal action potential,regulation of translation at postsynapse, modulating synaptic transmission,negative regulation of long term synaptic depression,positive regulation of intracellular transport of viral material,negative regulation of voltage-gated calcium channel activity,positive regulation of proteasomal protein catabolic process,negative regulation of mRNA catabolic process,positive regulation of mRNA binding,regulation of modification of synaptic structure,negative regulation of synaptic vesicle exocytosis,positive regulation of gene silencing by miRNA,negative regulation of cytoplasmic translation,positive regulation of response to DNA damage stimulus;;;",";chromosome, centromeric region,nucleus,nucleoplasm,chromosome,nucleolus,cytoplasm,cytosol,polysome,mRNA cap binding complex,chromocenter,cytoplasmic stress granule,postsynaptic density,Cajal body,membrane,viral replication complex,extrinsic component of plasma membrane,cell junction,axon,dendrite,growth cone,intracellular ribonucleoprotein complex,filopodium tip,cytoplasmic ribonucleoprotein granule,presynaptic membrane,cell projection,neuron projection,dendritic spine,perikaryon,axon terminus,cell body,synapse,postsynaptic membrane,perinuclear region of cytoplasm,neuronal ribonucleoprotein granule,glial cell projection,presynapse,postsynapse,dendritic filopodium,axon cytoplasm,messenger ribonucleoprotein complex,growth cone filopodium,ribonucleoprotein complex,microtubule,SMN complex;;;",Fmr1,";G-quadruplex RNA binding,chromatin binding,RNA binding,mRNA binding,mRNA 3'-UTR binding,protein binding,microtubule binding,poly(U) RNA binding,translation repressor activity,translation initiation factor binding,RNA strand annealing activity,poly(G) binding,methylated histone binding,siRNA binding,miRNA binding,RNA stem-loop binding,identical protein binding,protein homodimerization activity,ribosome binding,ion channel binding,protein heterodimerization activity,mRNA 5'-UTR binding,dynein complex binding,sequence-specific mRNA binding;;;",Synaptic functional regulator FMR1;Synaptic functional regulator FMR1;Isoform 2 of Synaptic functional regulator FMR1;Isoform 3 of Synaptic functional regulator FMR1;Fragile X mental retardation syndrome 1 homolog,E9QAT0_MOUSE;FMR1_MOUSE;FMR1_MOUSE;FMR1_MOUSE;Q6AXB7_MOUSE,1.23E-34,E9QAT0;P35922;P35922-2;P35922-3;Q6AXB7,5,5,6,5,6,6,6,6,102.2287064,137.0545959,144.9490204,100.6332626
"cytoplasmic translation,response to ethanol;cytoplasmic translation","nucleus,cytosolic large ribosomal subunit,A band,extracellular exosome;nucleus,membrane,cytosolic large ribosomal subunit,extracellular exosome",Gm10020;Rpl15,"RNA binding,structural constituent of ribosome,cadherin binding;RNA binding,structural constituent of ribosome,cadherin binding",Ribosomal protein L15;60S ribosomal protein L15,E9QAZ2_MOUSE;RL15_MOUSE,1.55E-50,E9QAZ2;Q9CZM2,11,11,11,11,10,10,10,10,3541.366455,4355.189453,3689.502441,3951.343018
";methionyl-tRNA aminoacylation,cellular response to starvation,rRNA transcription,cellular response to insulin stimulus,cellular response to platelet-derived growth factor stimulus,cellular response to epidermal growth factor stimulus,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter",";nucleolus,cytoplasm,mitochondrion,cytosol,membrane,aminoacyl-tRNA synthetase multienzyme complex,extracellular exosome",Mars,";tRNA binding,methionine-tRNA ligase activity,ATP binding","Methionine--tRNA ligase, cytoplasmic;Methionine--tRNA ligase, cytoplasmic",E9QB02_MOUSE;SYMC_MOUSE,6.22E-34,E9QB02;Q68FL6,21,16,19,20,7,7,7,7,670.2631836,484.1399231,640.4302368,646.0761108
;biological_process,;extracellular exosome,Acyp1,;acylphosphatase activity,Acylphosphatase;Acylphosphatase-1,E9QJT5_MOUSE;ACYP1_MOUSE,9.90E-53,E9QJT5;P56376,4,4,5,5,5,5,5,5,270.2249451,141.7695618,204.9276428,255.610321
";regulation of microtubule nucleation,negative regulation of microtubule polymerization",";cytoplasm,microtubule,microtubule cytoskeleton,mitotic spindle",Eml2,";microtubule binding,tubulin binding",Echinoderm microtubule-associated protein-like 2,E9QK48_MOUSE;EMAL2_MOUSE,2.38E-34,E9QK48;Q7TNG5,18,17,18,19,8,8,8,8,663.4868164,383.2533264,853.468811,612.3778687
