"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"683","slc30a9","Zinc transporter 9;Zinc transporter 9;Isoform 2 of Zinc transporter 9","F8WHL1;Q5IRJ6;Q5IRJ6-2","F8WHL1_MOUSE;ZNT9_MOUSE;ZNT9_MOUSE",";nucleus,cytoplasm,cytoskeleton,integral component of membrane;",";transcription, DNA-templated,zinc II ion transport,positive regulation of transcription from RNA polymerase II promoter,cation transmembrane transport;",";chromatin binding,cation transmembrane transporter activity,ligand-dependent nuclear receptor binding,ligand-dependent nuclear receptor transcription coactivator activity;",4.52e-20,"3","1","3","3","2","3","Filtered","2","3","1","3","3","2","3","Filtered","2","17.04561043","8.367357254","24.32507324","19.77826118","26.79330826","8.518025398","Filtered","6.176386833"
"684","glg1","Golgi apparatus protein 1 (Fragment);Golgi apparatus protein 1","F8WHM5;Q61543","F8WHM5_MOUSE;GSLG1_MOUSE",";Golgi membrane,proteinaceous extracellular matrix,Golgi apparatus,plasma membrane,membrane,integral component of membrane,extracellular exosome",";negative regulation of protein processing,negative regulation of transforming growth factor beta receptor signaling pathway,regulation of chondrocyte differentiation,bone morphogenesis",";fibroblast growth factor binding",9.71e-61,"19","24","18","25","18","27","17","21","19","24","18","25","18","27","17","21","45.86329651","61.17625427","41.63373947","64.48125458","46.14640045","77.51403046","68.16649628","36.82741928"
"685","pds5b","Sister chromatid cohesion protein PDS5 homolog B;Sister chromatid cohesion protein PDS5 homolog B;Isoform 3 of Sister chromatid cohesion protein PDS5 homolog B","F8WHU5;Q4VA53;Q4VA53-3","F8WHU5_MOUSE;PDS5B_MOUSE;PDS5B_MOUSE",";chromatin,nucleus,nucleoplasm;",";DNA repair,mitotic sister chromatid cohesion,negative regulation of cell proliferation,regulation of cell proliferation,cell division;",";molecular_function,DNA binding;",2.69e-37,"1","1","1","1","1","2","2","1","1","1","1","1","1","2","2","1","15.76933861","36.93025589","12.8586874","27.40261841","5.928639412","10.32139969","29.46269798","12.21764946"
"686","zpr1","Zinc finger protein ZPR1 (Fragment);Zinc finger protein ZPR1;Zinc finger protein ZPR1","F8WHU9;F8WIG4;Q62384","F8WHU9_MOUSE;F8WIG4_MOUSE;ZPR1_MOUSE",";;nucleus,nucleoplasm,nucleolus,cytoplasm,Cajal body,axon,growth cone,SMN complex,neuronal cell body,perikaryon,perinuclear region of cytoplasm,Gemini of coiled bodies",";;microtubule cytoskeleton organization,inner cell mass cell proliferation,trophectodermal cell proliferation,mRNA processing,RNA splicing,positive regulation of gene expression,spinal cord development,Cajal body organization,regulation of myelination,positive regulation of RNA splicing,DNA endoreduplication,positive regulation of protein import into nucleus,positive regulation of growth,axon development,cellular response to epidermal growth factor stimulus,positive regulation of transcription involved in G1/S transition of mitotic cell cycle,apoptotic process involved in development,pre-mRNA catabolic process,negative regulation of motor neuron apoptotic process",";;protein binding,zinc ion binding,receptor tyrosine kinase binding,translation initiation factor binding",7.96e-09,"2","3","1","4","2","3","3","2","2","3","1","4","2","3","3","2","6.199920177","10.87329292","5.078744888","11.81724453","7.144392967","8.5882864","11.43616199","7.588478088"
"687","ecm1","Extracellular matrix protein 1","F8WI14;Q61508","F8WI14_MOUSE;ECM1_MOUSE",";proteinaceous extracellular matrix,extracellular space,extracellular matrix,extracellular exosome",";ossification,angiogenesis,positive regulation of endothelial cell proliferation,negative regulation of cytokine-mediated signaling pathway,regulation of type 2 immune response,regulation of transcription from RNA polymerase II promoter,inflammatory response,signal transduction,negative regulation of peptidase activity,negative regulation of bone mineralization,biomineral tissue development,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of angiogenesis,regulation of T cell migration",";protease binding,signal transducer activity,interleukin-2 receptor binding,protein C-terminus binding,enzyme binding,laminin binding",3.01e-31,"2","1","2","3","2","4","8","1","2","1","2","3","2","4","8","1","13.94370937","16.49958992","14.41980743","43.59584427","15.23774719","12.52311993","37.12900925","12.29788303"
"688","snx7","Sorting nexin-7","F8WI30","F8WI30_MOUSE","","","",3.68e-17,"6","8","5","6","5","10","2","7","6","8","5","6","5","10","2","7","6.821644783","9.098212242","11.83522701","13.43062878","8.439249992","13.56077957","11.24524212","4.60878849"
"689","src","Tyrosine-protein kinase;Neuronal proto-oncogene tyrosine-protein kinase Src","F8WI90;P05480","F8WI90_MOUSE;SRC_MOUSE",";podosome,nucleus,cytoplasm,mitochondrion,mitochondrial inner membrane,lysosome,late endosome,cytosol,actin filament,plasma membrane,caveola,postsynaptic density,extrinsic component of cytoplasmic side of plasma membrane,ruffle membrane,neuron projection,perinuclear region of cytoplasm,extracellular exosome",";primary ovarian follicle growth,protein phosphorylation,cell cycle,epidermal growth factor receptor signaling pathway,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,axon guidance,cell proliferation,response to mechanical stimulus,response to virus,response to acidic pH,regulation of epithelial cell migration,positive regulation of epithelial cell migration,positive regulation of platelet-derived growth factor receptor signaling pathway,positive regulation of glucose metabolic process,positive regulation of protein processing,positive regulation of smooth muscle cell migration,phosphorylation,cell migration,peptidyl-serine phosphorylation,peptidyl-tyrosine phosphorylation,regulation of cell-cell adhesion,forebrain development,protein destabilization,response to nutrient levels,positive regulation of protein autophosphorylation,activation of protein kinase B activity,negative regulation of telomere maintenance via telomerase,negative regulation of protein homooligomerization,cellular response to insulin stimulus,regulation of intracellular estrogen receptor signaling pathway,adherens junction organization,substrate adhesion-dependent cell spreading,cellular response to reactive oxygen species,intracellular signal transduction,osteoclast development,cellular response to platelet-derived growth factor stimulus,peptidyl-tyrosine autophosphorylation,regulation of cell proliferation,response to drug,response to hydrogen peroxide,positive regulation of apoptotic process,negative regulation of apoptotic process,stress fiber assembly,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of protein binding,positive regulation of MAP kinase activity,positive regulation of phosphatidylinositol 3-kinase activity,transcytosis,innate immune response,bone resorption,positive regulation of cyclin-dependent protein serine/threonine kinase activity,positive regulation of cell adhesion,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of insulin receptor signaling pathway,protein autophosphorylation,platelet-derived growth factor receptor signaling pathway,vascular endothelial growth factor receptor signaling pathway,neurotrophin TRK receptor signaling pathway,ephrin receptor signaling pathway,oogenesis,positive regulation of cytokine secretion,positive regulation of peptidyl-tyrosine phosphorylation,progesterone receptor signaling pathway,positive regulation of small GTPase mediated signal transduction,response to mineralocorticoid,response to electrical stimulus,regulation of cell cycle,negative regulation of focal adhesion assembly,positive regulation of protein kinase B signaling,negative regulation of mitochondrial depolarization,negative regulation of telomerase activity,uterus development,branching involved in mammary gland duct morphogenesis,regulation of cell projection assembly,positive regulation of ERK1 and ERK2 cascade,response to interleukin-1,cellular response to lipopolysaccharide,cellular response to peptide hormone stimulus,cellular response to progesterone stimulus,cellular response to fatty acid,cellular response to hypoxia,cellular response to fluid shear stress,cellular response to transforming growth factor beta stimulus,positive regulation of podosome assembly,positive regulation of protein serine/threonine kinase activity,angiotensin-activated signaling pathway involved in heart process,positive regulation of canonical Wnt signaling pathway,cell-cell adhesion,positive regulation of protein localization to nucleus,positive regulation of ovarian follicle development,positive regulation of lamellipodium morphogenesis,positive regulation of DNA biosynthetic process,regulation of early endosome to late endosome transport,negative regulation of anoikis,negative regulation of extrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway,regulation of caveolin-mediated endocytosis",";protein kinase activity,protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,protein kinase C binding,receptor binding,insulin receptor binding,protein binding,ATP binding,protein C-terminus binding,kinase activity,enzyme binding,kinase binding,protein domain specific binding,heme binding,estrogen receptor binding,ubiquitin protein ligase binding,SH2 domain binding,ion channel binding,cadherin binding,ephrin receptor binding,phosphoprotein binding,hormone receptor binding,growth factor receptor binding,connexin binding,scaffold protein binding",3.24e-05,"2","3","2","3","3","3","2","2","2","3","2","3","3","3","2","2","14.91963291","19.09119606","11.70270348","20.06576729","22.35597801","25.66397476","6.189435005","17.4017849"
"690","arl1","ADP-ribosylation factor-like protein 1 (Fragment);ADP-ribosylation factor-like protein 1","F8WIB1;P61211","F8WIB1_MOUSE;ARL1_MOUSE",";Golgi membrane,cytoplasm,Golgi apparatus,trans-Golgi network,cytosol,extracellular exosome",";Golgi organization,small GTPase mediated signal transduction,toxin metabolic process,activation of phospholipase D activity,protein localization to Golgi apparatus,retrograde transport, endosome to Golgi,Golgi vesicle transport",";GTPase activity,GTP binding,enzyme activator activity,protein domain specific binding,metal ion binding",3.45e-49,"2","4","3","4","3","4","5","4","2","4","3","4","3","4","5","4","39.6248703","35.85454178","23.38170242","40.2817688","38.66501999","47.98953247","36.6870842","22.32715034"
"691","tpm1","Tropomyosin alpha-1 chain","F8WID5","F8WID5_MOUSE","","","",2.88e-43,"30","36","25","31","27","33","29","25","30","36","25","31","27","33","29","25","586.6715698","1277.038696","560.9144287","1322.878906","634.6954346","1317.312378","1484.344238","570.979126"
"692","hectd1","E3 ubiquitin-protein ligase HECTD1","F8WIE5;Q69ZR2","F8WIE5_MOUSE;HECD1_MOUSE",";cytoplasm",";natural killer cell differentiation,neural tube closure,embryonic placenta development,heart valve development,ventricular septum development,aorta development,protein autoubiquitination,trophoblast giant cell differentiation,spongiotrophoblast differentiation,protein K63-linked ubiquitination,negative regulation of protein localization to plasma membrane",";protein binding,metal ion binding,ubiquitin protein ligase activity",0.001506528,"1","2","Filtered","1","1","2","1","Filtered","1","2","Filtered","1","1","0","0","Filtered","7.345070839","4.389554501","Filtered","2.094791412","1.727470279","NaN","NaN","Filtered"
"693","ciapin1","Anamorsin","F8WIK0;Q8WTY4","F8WIK0_MOUSE;CPIN1_MOUSE",";nucleoplasm,nucleolus,cytoplasm,mitochondrion,mitochondrial intermembrane space",";apoptotic process,iron-sulfur cluster assembly,hemopoiesis,methylation,negative regulation of apoptotic process",";protein binding,methyltransferase activity,metal ion binding,2 iron, 2 sulfur cluster binding",1.22e-15,"5","7","2","7","4","8","4","5","5","7","2","7","4","8","4","5","26.35054398","22.69814873","27.42850494","18.70361328","16.70734596","18.98236656","9.340248108","14.94409657"
"694","spp1","Osteopontin","F8WIP8;P10923","F8WIP8_MOUSE;OSTP_MOUSE",";extracellular region,extracellular space,cytoplasm,Golgi apparatus,apical part of cell,extracellular exosome",";osteoblast differentiation,androgen catabolic process,cell adhesion,regulation of receptor activity,positive regulation of cell-substrate adhesion,neutrophil chemotaxis,biomineral tissue development,response to vitamin D,negative regulation of apoptotic process,positive regulation of bone resorption,positive regulation of transcription, DNA-templated,cellular response to testosterone stimulus,cellular response to fluid shear stress,cellular response to leukemia inhibitory factor,positive regulation of estradiol secretion",";cytokine activity,extracellular matrix binding",6.53e-16,"1","6","Filtered","4","1","8","1","Filtered","1","6","Filtered","4","1","8","1","Filtered","94.44177246","150.0814209","Filtered","412.3250122","82.87371063","618.8157959","946.9519653","Filtered"
"695","anxa6","Annexin;Annexin A6","F8WIT2;P14824","F8WIT2_MOUSE;ANXA6_MOUSE",";mitochondrion,lysosomal membrane,cytosol,focal adhesion,membrane,late endosome membrane,melanosome,perinuclear region of cytoplasm,extracellular exosome",";calcium ion transport,muscle contraction,regulation of muscle contraction,ion transmembrane transport,protein homooligomerization,mitochondrial calcium ion homeostasis,apoptotic signaling pathway",";calcium ion binding,GTP binding,calcium-dependent phospholipid binding,lipid binding,ligand-gated ion channel activity,cholesterol binding,protein homodimerization activity,calcium-dependent protein binding",2.28e-35,"38","41","35","44","37","48","45","33","38","41","35","44","37","48","45","33","215.8965912","347.2483826","208.1679077","363.3154907","212.0910187","431.9331665","637.0593872","210.488327"
"696","hist1h2al;hist2h2ac;hist2h2aa1","Histone H2A;Histone H2A type 2-C;Histone H2A type 2-A","F8WIX8;Q64523;Q6GSS7","F8WIX8_MOUSE;H2A2C_MOUSE;H2A2A_MOUSE",";nucleosome,nuclear chromatin,nucleus,extracellular exosome;nucleosome,nuclear chromatin,nucleus,extracellular exosome",";chromatin silencing;nucleosome assembly,chromatin silencing",";DNA binding,protein heterodimerization activity;DNA binding,protein heterodimerization activity",1.9e-21,"6","8","5","7","5","8","6","4","6","8","5","7","5","8","6","4","1805.15979","2256.7146","1136.784058","2546.051514","2246.508545","1859.718506","2216.825684","1286.931763"
"697","osbpl6","Oxysterol-binding protein;Oxysterol-binding protein-related protein 6;Isoform 2 of Oxysterol-binding protein-related protein 6;Oxysterol-binding protein (Fragment)","F8WIZ7;Q8BXR9;Q8BXR9-2;V9GXX3","F8WIZ7_MOUSE;OSBL6_MOUSE;OSBL6_MOUSE;V9GXX3_MOUSE",";endoplasmic reticulum membrane,cytosol,plasma membrane,nuclear membrane,perinuclear endoplasmic reticulum;;",";lipid transport,biological_process;;",";molecular_function,lipid binding;;",0.008668104,"1","Filtered","1","Filtered","Filtered","1","1","1","1","Filtered","1","Filtered","Filtered","1","1","1","9.090090752","Filtered","7.787039757","Filtered","Filtered","3.103038549","4.277376652","5.497704983"
"698","itih1","Inter-alpha-trypsin inhibitor heavy chain H1","F8WJ05;Q61702","F8WJ05_MOUSE;ITIH1_MOUSE",";extracellular exosome,blood microparticle",";negative regulation of endopeptidase activity,hyaluronan metabolic process",";serine-type endopeptidase inhibitor activity",1.2e-29,"10","12","5","8","14","16","15","8","10","12","5","8","14","16","15","8","17.42170143","17.44387627","6.898910522","18.58516884","18.19305229","17.97363472","68.05170441","10.72015858"
"699","sympk","Symplekin","F8WJD4;Q80X82","F8WJD4_MOUSE;SYMPK_MOUSE",";nucleoplasm,cytoplasm,cytosol,cytoskeleton,plasma membrane,bicellular tight junction,nuclear body,nuclear stress granule",";mRNA polyadenylation,cell adhesion,positive regulation of protein dephosphorylation",";molecular_function",0.004758146,"Filtered","1","2","1","Filtered","2","Filtered","Filtered","Filtered","1","2","0","Filtered","2","Filtered","Filtered","Filtered","1.495047331","4.422287941","NaN","Filtered","0.656431913","Filtered","Filtered"
"700","tra2b","Transformer-2 protein homolog beta","F8WJG3;P62996","F8WJG3_MOUSE;TRA2B_MOUSE",";nucleus,nucleoplasm,spliceosomal complex,nuclear inner membrane",";regulation of alternative mRNA splicing, via spliceosome,mRNA splicing, via spliceosome,cerebral cortex regionalization,regulation of RNA splicing,negative regulation of mRNA splicing, via spliceosome,positive regulation of mRNA splicing, via spliceosome,protein oligomerization,cellular response to glucose stimulus,embryonic brain development",";RNA binding,mRNA binding,protein binding,protein domain specific binding,pre-mRNA binding,identical protein binding,poly-purine tract binding",5.08e-35,"6","7","5","6","4","8","5","5","6","7","5","6","4","8","5","5","36.39083862","55.40746307","47.8277359","67.12902069","43.28084183","83.19217682","63.71164703","28.85866737"
"701","st13","Hsc70-interacting protein","F8WJK8;Q99L47","F8WJK8_MOUSE;F10A1_MOUSE",";cytosol,protein complex,extracellular exosome",";protein homooligomerization,negative regulation of protein refolding,chaperone cofactor-dependent protein refolding",";protein domain specific binding,Hsp70 protein binding,protein complex binding,dATP binding,identical protein binding,protein dimerization activity,unfolded protein binding,chaperone binding",5.92e-51,"9","9","11","11","9","11","9","10","9","9","11","11","9","11","9","10","239.9681244","323.5189514","251.3374481","334.4284668","219.6858521","325.9103699","224.2027283","239.7595367"
"702","hk1","Hexokinase 1, isoform CRA_f;Hexokinase-1;Isoform HK1 of Hexokinase-1;Isoform HK1-SC of Hexokinase-1","G3UVV4;P17710;P17710-3;P17710-4","G3UVV4_MOUSE;HXK1_MOUSE;HXK1_MOUSE;HXK1_MOUSE",";mitochondrion,mitochondrial outer membrane,cytosol,cilium,membrane raft,sperm principal piece;;",";cellular glucose homeostasis,glycolytic process,carbohydrate phosphorylation,glucose 6-phosphate metabolic process,canonical glycolysis,establishment of protein localization to mitochondrion,maintenance of protein location in mitochondrion;;",";glucokinase activity,hexokinase activity,protein binding,ATP binding,glucose binding,fructokinase activity,mannokinase activity;;",3.97e-53,"42","35","39","32","37","35","34","40","42","35","39","32","37","35","34","40","420.9457703","119.3287659","375.2243652","114.2949219","267.2828369","132.7504272","299.776062","324.399292"
"703","pdzk1ip1","PDZK1 interacting protein 1, isoform CRA_b;PDZK1-interacting protein 1","G3UW41;Q9CQH0","G3UW41_MOUSE;PDZ1I_MOUSE",";integral component of membrane,extracellular exosome",";biological_process",";molecular_function",3.34e-49,"8","8","8","8","8","7","3","9","8","8","8","8","8","7","3","9","390.5209961","286.3703918","411.0843506","270.6930237","382.5888062","137.6324615","34.74294281","334.2227173"
"704","bdh2","3-hydroxybutyrate dehydrogenase type 2","G3UWD3","G3UWD3_MOUSE","","","",2.27e-29,"13","14","11","12","11","12","7","14","13","14","11","12","11","12","7","14","334.2450562","213.9215088","323.071991","199.5900421","318.0644531","158.3795776","114.1425476","338.295166"
"705","icam2","Intercellular adhesion molecule 2 (Fragment);Intercellular adhesion molecule 2 (Fragment);Intercellular adhesion molecule 2","G3UWJ5;G5E8M9;P35330","G3UWJ5_MOUSE;G5E8M9_MOUSE;ICAM2_MOUSE",";;uropod,plasma membrane,integral component of plasma membrane,membrane,cleavage furrow,extracellular exosome,cell periphery",";;cell adhesion",";;integrin binding,protein binding",0.000152164,"1","1","Filtered","2","Filtered","2","Filtered","Filtered","1","1","Filtered","2","Filtered","2","Filtered","Filtered","5.684279919","12.50675678","Filtered","4.26339817","Filtered","13.86589909","Filtered","Filtered"
"706","ppp2r1b","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;Protein phosphatase 2 (Formerly 2A), regulatory subunit A (PR 65), beta isoform, isoform CRA_b;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform","G3UWS4;H3BKU1;Q3TTF6;Q7TNP2","G3UWS4_MOUSE;H3BKU1_MOUSE;Q3TTF6_MOUSE;2AAB_MOUSE",";;;membrane raft,extracellular exosome",";;;apoptotic process involved in morphogenesis,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand",";;;protein binding",8.98e-07,"2","2","1","2","1","2","1","Filtered","2","2","1","2","1","2","1","Filtered","28.31300926","7.068458557","17.34780502","35.32276535","17.09540176","36.17245865","30.85326767","Filtered"
"707","ptbp3","Polypyrimidine tract-binding protein 3","G3UXA6;G8JL74","G3UXA6_MOUSE;G8JL74_MOUSE",";",";",";",5.58e-19,"4","8","4","6","4","8","4","2","4","8","4","6","4","8","4","2","26.52620506","60.83319473","29.36962128","53.69208145","26.41072273","78.09016418","55.8365593","19.8524189"
"708","smarcd2","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (Fragment);SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2;Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2","G3UXC0;Q99JR8;Q99JR8-2","G3UXC0_MOUSE;SMRD2_MOUSE;SMRD2_MOUSE",";nuclear chromatin,nucleoplasm,SWI/SNF complex,protein complex;",";nucleosome disassembly,chromatin remodeling,transcription, DNA-templated,regulation of transcription, DNA-templated,chromatin modification,ATP-dependent chromatin remodeling;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,nucleosomal DNA binding;",0.005562648,"1","1","Filtered","Filtered","Filtered","1","1","Filtered","1","1","Filtered","Filtered","Filtered","1","1","Filtered","31.35709763","3.727403164","Filtered","Filtered","Filtered","5.802398205","25.66604614","Filtered"
"709","pkn2","Serine/threonine-protein kinase N2;Serine/threonine-protein kinase N2;Serine/threonine-protein kinase N2;Isoform 2 of Serine/threonine-protein kinase N2","G3UXH4;G3UZM9;Q8BWW9;Q8BWW9-2","G3UXH4_MOUSE;G3UZM9_MOUSE;PKN2_MOUSE;PKN2_MOUSE",";;nucleus,cytoplasm,cytoskeleton,membrane,lamellipodium,midbody,cleavage furrow,protein complex,apical junction complex,perinuclear region of cytoplasm;",";;transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,apoptotic process,cell cycle,cell adhesion,epithelial cell migration,peptidyl-serine phosphorylation,positive regulation of cytokinesis,intracellular signal transduction,apical junction assembly,positive regulation of viral genome replication,positive regulation of mitotic cell cycle,cell division,regulation of cell motility;",";;RNA binding,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,kinase activity,histone deacetylase binding,cadherin binding,RNA polymerase binding;",0.000412004,"1","2","Filtered","2","1","2","1","Filtered","1","2","Filtered","2","1","2","1","Filtered","33.55343628","10.13118553","Filtered","24.46911621","19.1606617","17.58939743","345.4413452","Filtered"
"710","prps1l3;prps1","Protein Prps1l3;Ribose-phosphate pyrophosphokinase 1","G3UXL2;Q9D7G0","G3UXL2_MOUSE;PRPS1_MOUSE","cellular_component;","nucleoside metabolic process,ribonucleoside monophosphate biosynthetic process,nucleotide biosynthetic process;5-phosphoribose 1-diphosphate biosynthetic process,purine nucleobase metabolic process,purine nucleotide biosynthetic process,nervous system development,nucleoside metabolic process,ribonucleoside monophosphate biosynthetic process,phosphorylation,urate biosynthetic process,hypoxanthine biosynthetic process","magnesium ion binding,ribose phosphate diphosphokinase activity;magnesium ion binding,ribose phosphate diphosphokinase activity,ATP binding,kinase activity,identical protein binding,protein homodimerization activity",3.13e-47,"9","7","8","7","8","9","9","7","9","7","8","7","8","9","9","7","114.3530655","82.22042847","114.3918381","112.8400955","79.85157013","102.118782","107.6552048","120.1764908"
"711","fus","RNA-binding protein FUS (Fragment);RNA-binding protein FUS;Fusion, derived from t(1216) malignant liposarcoma (Human)","G3UXT7;P56959;Q8CFQ9","G3UXT7_MOUSE;FUS_MOUSE;Q8CFQ9_MOUSE",";nucleus,nucleoplasm,cytoplasm,polysome,perikaryon,dendritic spine head,perinuclear region of cytoplasm;",";regulation of transcription, DNA-templated,cellular response to calcium ion;",";DNA binding,transcription coactivator activity,RNA binding,estrogen receptor binding,myosin V binding,ionotropic glutamate receptor binding,identical protein binding,metal ion binding,retinoid X receptor binding,thyroid hormone receptor binding;",4.83e-38,"4","7","4","6","6","7","7","4","4","7","4","6","6","7","7","4","146.2259521","318.1076965","122.516571","346.3612366","129.7028961","425.5409851","328.5223389","113.8884811"
"712","gps1","COP9 signalosome complex subunit 1","G3UXW9;Q3MIA8;Q99LD4","G3UXW9_MOUSE;Q3MIA8_MOUSE;CSN1_MOUSE",";;cytoplasm,COP9 signalosome",";;protein deneddylation",";;protein binding",3.71e-20,"7","6","6","6","5","8","4","6","7","6","6","6","5","8","4","6","8.478546143","9.224461555","6.614984512","11.69016266","6.472332001","10.95754719","16.58311272","7.645974159"
"713","psme1","Proteasome activator complex subunit 1 (Fragment);Proteasome activator complex subunit 1","G3UXZ5;P97371","G3UXZ5_MOUSE;PSME1_MOUSE",";proteasome complex,cytoplasm,proteasome activator complex,extracellular exosome",";positive regulation of endopeptidase activity,antigen processing and presentation of exogenous antigen,regulation of proteasomal protein catabolic process,regulation of G1/S transition of mitotic cell cycle",";protein binding,endopeptidase activator activity",1.05e-42,"10","13","9","11","10","14","11","10","10","13","9","11","10","14","11","10","149.818985","284.6963196","146.8883362","305.7666626","151.7472229","404.911377","303.9434814","135.5063629"
"714","pabpn1","Polyadenylate-binding protein 2;Polyadenylate-binding protein 2;Isoform 2 of Polyadenylate-binding protein 2","G3UY42;Q8CCS6;Q8CCS6-2","G3UY42_MOUSE;PABP2_MOUSE;PABP2_MOUSE",";nucleus,cytoplasm,nuclear speck,intracellular ribonucleoprotein complex,nuclear inclusion body;",";MAPK cascade,mRNA polyadenylation,poly(A)+ mRNA export from nucleus,cellular response to lipopolysaccharide,positive regulation of polynucleotide adenylyltransferase activity;",";RNA binding,protein binding,poly(A) binding,protein self-association,RNA polymerase binding;",4.76e-36,"3","4","2","3","3","5","4","4","3","4","2","3","3","5","4","4","58.65646362","106.1595764","80.61090088","105.5127487","75.70535278","149.1996613","142.2622986","43.18938065"
"715","gtf2i","General transcription factor II-I;General transcription factor II-I;General transcription factor II-I;Isoform 2 of General transcription factor II-I;Isoform 3 of General transcription factor II-I;Isoform 4 of General transcription factor II-I;Isoform 5 of General transcription factor II-I;Isoform 6 of General transcription factor II-I","G3UYD0;Q3UHU8;Q9ESZ8;Q9ESZ8-2;Q9ESZ8-3;Q9ESZ8-4;Q9ESZ8-5;Q9ESZ8-6","G3UYD0_MOUSE;Q3UHU8_MOUSE;GTF2I_MOUSE;GTF2I_MOUSE;GTF2I_MOUSE;GTF2I_MOUSE;GTF2I_MOUSE;GTF2I_MOUSE",";;nucleus,nucleoplasm,cytoplasm,membrane,cell projection,neuronal cell body;;;;;",";;regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,transition between slow and fast fiber,negative regulation of angiogenesis,negative regulation of cytosolic calcium ion concentration;;;;;",";;RNA polymerase II transcription factor activity, sequence-specific DNA binding,DNA binding,protein binding,mitogen-activated protein kinase binding;;;;;",0.000159363,"3","3","3","5","Filtered","6","1","Filtered","3","3","3","5","Filtered","6","1","Filtered","9.736081123","8.645014763","6.652336597","12.82037735","Filtered","14.13926506","12.8079567","Filtered"
