"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"367","regulation of transcription from RNA polymerase II promoter,biological_process;;transcription, DNA-templated,mitochondrion organization,positive regulation of transcription from RNA polymerase II promoter,regulation of cellular response to hypoxia","nucleoplasm,mitochondrion;;nucleus,mitochondrion,mitochondrial intermembrane space","zbed5;zbed5;chchd2","RNA polymerase II transcription factor activity, sequence-specific DNA binding,DNA binding;;transcription factor binding,sequence-specific DNA binding","MCG130675;Protein Zbed5 (Fragment);Coiled-coil-helix-coiled-coil-helix domain-containing protein 2","B2RPU8_MOUSE;D3Z5B1_MOUSE;CHCH2_MOUSE",6.4e-34,"B2RPU8;D3Z5B1;Q9D1L0",4,4,4,4,4,4,4,4,576.8451538,274.9655151,425.8588867,595.2358398
"368","urea cycle,liver development,'de novo' pyrimidine nucleobase biosynthetic process,UTP biosynthetic process,arginine biosynthetic process,glutamine metabolic process,heart development,female pregnancy,lactation,response to amine,drug metabolic process,peptidyl-threonine phosphorylation,citrulline biosynthetic process,response to caffeine,animal organ regeneration,response to insulin,response to testosterone,cellular response to drug,response to starvation,'de novo' UMP biosynthetic process,protein autophosphorylation,response to cortisol,cellular response to epidermal growth factor stimulus;;;","nucleus,nucleoplasm,cytoplasm,cytosol,membrane,nuclear matrix,neuronal cell body,terminal bouton,protein complex,extracellular exosome;;;","cad","UTP binding,aspartate carbamoyltransferase activity,carbamoyl-phosphate synthase (ammonia) activity,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,dihydroorotase activity,protein kinase activity,ATP binding,zinc ion binding,amino acid binding,enzyme binding,identical protein binding;;;","CAD protein;Isoform 2 of CAD protein;CAD protein;CAD protein","PYR1_MOUSE;PYR1_MOUSE;E9QAI5_MOUSE;G3UWN2_MOUSE",2.35e-25,"B2RQC6;B2RQC6-2;E9QAI5;G3UWN2",10,12,13,13,7,7,7,7,167.881546,225.1943359,217.4813232,142.2241516
"369",";negative regulation of transcription from RNA polymerase II promoter,response to estradiol,negative regulation of intracellular estrogen receptor signaling pathway,negative regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter",";nucleus,nucleoplasm,cytoplasm,Golgi apparatus,plasma membrane,dendrite,neuronal cell body,protein complex,protein phosphatase type 2A complex","strn3",";transcription factor activity, sequence-specific DNA binding,calmodulin binding,protein complex binding,protein phosphatase 2A binding,armadillo repeat domain binding","Striatin-3","B2RQS1_MOUSE;STRN3_MOUSE",7.2e-42,"B2RQS1;Q9ERG2",5,5,5,5,5,5,5,5,101.4145966,67.88024139,134.2159729,105.4488525
"370",";;;Golgi organization,cell migration,actomyosin structure organization,regulation of macrophage activation,negative regulation of apoptotic process,Golgi vesicle budding,positive regulation of protein secretion,Golgi ribbon formation,asymmetric Golgi ribbon formation,positive regulation of opsonization;;",";;;Golgi membrane,endoplasmic reticulum-Golgi intermediate compartment,trans-Golgi network,cytoskeleton,brush border,membrane,myosin complex,actomyosin;;","myo18a",";;;RNA binding,ATP binding,ADP binding,actin filament binding;;","Myo18a protein;Unconventional myosin-XVIIIa;Unconventional myosin-XVIIIa;Unconventional myosin-XVIIIa;Isoform 1 of Unconventional myosin-XVIIIa;Isoform 6 of Unconventional myosin-XVIIIa","B2RRE2_MOUSE;E9QAX2_MOUSE;K3W4L0_MOUSE;MY18A_MOUSE;MY18A_MOUSE;MY18A_MOUSE",1.28e-40,"B2RRE2;E9QAX2;K3W4L0;Q9JMH9;Q9JMH9-1;Q9JMH9-6",43,27,42,39,7,7,7,7,678.3900146,352.4016418,686.8718262,726.6692505
"371","transport,cell cycle,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,regulation of cAMP-mediated signaling,negative regulation of synaptic transmission,cell division,regulation of mitotic spindle organization,cellular response to forskolin,positive regulation of protein localization to cell cortex","intracellular,nucleus,nucleolus,cytoplasm,lysosomal membrane,centrosome,heterotrimeric G-protein complex,plasma membrane,midbody,membrane raft,extracellular exosome,cell cortex region","gnai1","magnesium ion binding,G-protein coupled receptor binding,GTPase activity,signal transducer activity,protein binding,GTP binding,GDP binding,G-protein beta/gamma-subunit complex binding,G-protein coupled serotonin receptor binding,GTPase activating protein binding","Guanine nucleotide-binding protein G(i) subunit alpha-1","GNAI1_MOUSE",2.45e-12,"B2RSH2",3,3,4,4,4,4,4,4,72.23375702,48.50053787,47.82262039,77.68923187
"372",";actin filament organization,negative regulation of small GTPase mediated signal transduction;;",";bicellular tight junction,actin cytoskeleton,myosin complex,apical junction complex;;","cgnl1",";molecular_function,motor activity;;","Cingulin-like 1;Cingulin-like protein 1;Isoform 4 of Cingulin-like protein 1;Isoform 5 of Cingulin-like protein 1","B2RSU6_MOUSE;CGNL1_MOUSE;CGNL1_MOUSE;CGNL1_MOUSE",3.35e-41,"B2RSU6;Q6AW69;Q6AW69-4;Q6AW69-5",22,8,20,21,7,7,7,7,215.6495972,101.8709259,281.5953979,306.862793
"373",";;protein targeting,epidermal growth factor receptor signaling pathway,negative regulation of NF-kappaB transcription factor activity,response to muramyl dipeptide,response to lipopolysaccharide,negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,cellular response to tumor necrosis factor,negative regulation of monocyte chemotactic protein-1 production;;",";;nucleus,cytoplasm,plasma membrane,basolateral plasma membrane,nuclear speck,cell junction,hemidesmosome,nuclear membrane;;","erbin",";;receptor binding,ErbB-2 class receptor binding,integrin binding,protein binding;;","Erbb2ip protein;Erbb2ip protein;Erbin;Isoform 1 of Erbin;Isoform 2 of Erbin","B2RUJ2_MOUSE;B7ZNX6_MOUSE;ERBIN_MOUSE;ERBIN_MOUSE;ERBIN_MOUSE",5.31e-26,"B2RUJ2;B7ZNX6;Q80TH2;Q80TH2-1;Q80TH2-2",3,3,3,3,3,3,3,3,41.65018082,54.58474731,60.07985687,48.14126587
"374","ER to Golgi vesicle-mediated transport,Golgi organization,protein oligomerization,regulation of protein complex stability","Golgi apparatus,TRAPP complex","trappc11","molecular_function","Trafficking protein particle complex subunit 11","TPC11_MOUSE",1.05e-05,"B2RXC1",3,3,4,4,4,4,4,4,33.83499527,27.90337944,25.09686852,21.53128242
"375","negative regulation of stress fiber assembly,negative regulation of protein localization to plasma membrane;","cytosol,focal adhesion,axon,dendrite,protein complex;","ppfia1","protein binding;","Ppfia1 protein","B2RXQ2_MOUSE;B2RXW8_MOUSE",1.18e-12,"B2RXQ2;B2RXW8",2,2,2,2,2,2,2,2,15.28758526,12.47584343,28.40174675,18.76870537
"376","neural tube closure,regulation of protein phosphorylation,homophilic cell adhesion via plasma membrane adhesion molecules,negative regulation of cell adhesion,neuroblast proliferation,brain development,regulation of cell shape,positive regulation of neuron projection development,regulation of GTPase activity,positive regulation of axonogenesis,semaphorin-plexin signaling pathway,regulation of neuron migration","integral component of plasma membrane,cell surface,extracellular exosome","plxnb2","protein binding,semaphorin receptor activity","Plexin-B2","PLXB2_MOUSE",3.9e-38,"B2RXS4",20,20,21,20,7,7,7,7,413.9241333,692.741333,452.851593,469.0877686
"377","regulation of alternative mRNA splicing, via spliceosome,mRNA processing,apoptotic process,RNA splicing,regulation of apoptotic process","spliceosomal complex,cytoplasm,nuclear speck","rbm25","mRNA binding","RNA-binding protein 25","RBM25_MOUSE",8.99e-33,"B2RY56",8,6,7,7,7,7,7,7,2409.875732,1621.650879,1402.569336,1379.021729
"378","","","deptor","","DEP domain-containing mTOR-interacting protein","B2ZRS5_MOUSE",1.23e-18,"B2ZRS5",3,2,3,3,3,3,3,3,110.2212143,132.0762634,64.98443604,134.7731628
"379","transport,biological_process","cellular_component,extracellular region","mup17","molecular_function,transporter activity,pheromone binding,small molecule binding","Major urinary protein 17","MUP17_MOUSE",1.65e-37,"B5X0G2",56,46,55,57,19,19,19,19,267251.25,118163.5781,198172.0313,237112.5313
"380",";angiogenesis,epithelial to mesenchymal transition,blood vessel remodeling,heart morphogenesis,adenylate cyclase-inhibiting dopamine receptor signaling pathway,negative regulation of neuron projection development,negative regulation of transcription from RNA polymerase I promoter,actin cytoskeleton organization,regulation of cell migration,actin cytoskeleton reorganization,regulation of actin filament bundle assembly,protein localization to cell surface,negative regulation of protein catabolic process,positive regulation of transcription factor import into nucleus,negative regulation of apoptotic process,receptor clustering,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of sequence-specific DNA binding transcription factor activity,wound healing, spreading of cells,early endosome to late endosome transport,establishment of protein localization,cell-cell junction organization,protein stabilization,cytoplasmic sequestering of protein,actin crosslink formation,cilium morphogenesis,platelet aggregation,semaphorin-plexin signaling pathway,protein localization to plasma membrane,mitotic spindle assembly,positive regulation of substrate adhesion-dependent cell spreading,positive regulation of potassium ion transmembrane transport,regulation of membrane repolarization during atrial cardiac muscle cell action potential,regulation of membrane repolarization during cardiac muscle cell action potential,positive regulation of integrin-mediated signaling pathway",";nucleus,nucleolus,cytoplasm,trans-Golgi network,cytosol,plasma membrane,brush border,cell-cell junction,focal adhesion,cell cortex,actin cytoskeleton,membrane,Z disc,growth cone,extracellular matrix,Myb complex,actin filament bundle,extracellular exosome,filamentous actin","flna",";G-protein coupled receptor binding,RNA binding,actin binding,signal transducer activity,protein kinase C binding,protein binding,transcription factor binding,potassium channel regulator activity,Rho GTPase binding,Ral GTPase binding,kinase binding,small GTPase binding,Fc-gamma receptor I complex binding,protein homodimerization activity,ion channel binding,cadherin binding,Rac GTPase binding,actin filament binding,GTPase binding","Filamin, alpha;Filamin-A","B7FAU9_MOUSE;FLNA_MOUSE",8.4e-57,"B7FAU9;Q8BTM8",154,155,157,155,9,9,9,9,9125.943359,11685.33887,8912.185547,7310.815918
"381",";transcription, DNA-templated,regulation of transcription, DNA-templated,glucose homeostasis,negative regulation of insulin receptor signaling pathway",";extracellular space,nucleus,actin cytoskeleton","ncoa5",";chromatin binding,RNA binding","Nuclear receptor coactivator 5","B7ZC24_MOUSE;NCOA5_MOUSE",8.66e-23,"B7ZC24;Q91W39",4,3,4,4,4,4,4,4,33.40060806,23.54328156,63.54657745,33.79040909
"382",";;;;;;somitogenesis,actin polymerization or depolymerization,peptidyl-tyrosine phosphorylation,megakaryocyte development,dendrite morphogenesis,positive regulation of protein tyrosine kinase activity,lamellipodium morphogenesis;;;;",";;;;;;intracellular,nucleus,cytoskeleton,postsynaptic density,lamellipodium,cell junction,filopodium,growth cone,SCAR complex,cell leading edge,neuron projection,postsynaptic membrane,extracellular exosome;;;;","abi1",";;;;;;protein binding,SH3 domain binding,protein tyrosine kinase activator activity,protein complex binding,cadherin binding;;;;","Abl interactor 1;Abl interactor 1;Abl interactor 1;Abl interactor 1;Abl interactor 1;Abl interactor 1;Abl interactor 1;Isoform 2 of Abl interactor 1;Isoform 3 of Abl interactor 1;Isoform 4 of Abl interactor 1;Isoform 5 of Abl interactor 1","B7ZCU0_MOUSE;B7ZCU2_MOUSE;B7ZCU3_MOUSE;B7ZCU4_MOUSE;B7ZCU5_MOUSE;J3QNK8_MOUSE;ABI1_MOUSE;ABI1_MOUSE;ABI1_MOUSE;ABI1_MOUSE;ABI1_MOUSE",2.07e-28,"B7ZCU0;B7ZCU2;B7ZCU3;B7ZCU4;B7ZCU5;J3QNK8;Q8CBW3;Q8CBW3-2;Q8CBW3-3;Q8CBW3-4;Q8CBW3-5",9,9,10,10,7,7,7,7,259.3615417,284.6400757,402.2250366,267.359436
"383","glomerular filtration,protein processing","mitochondrion,extracellular exosome","xpnpep3","aminopeptidase activity,manganese ion binding","Probable Xaa-Pro aminopeptidase 3","XPP3_MOUSE",3.94e-33,"B7ZMP1",3,2,3,3,3,3,3,3,29.97071266,62.19500351,54.30034637,60.87523651
"384","","","col14a1","","Collagen alpha-1(XIV) chain","B7ZNH7_MOUSE",1.01e-60,"B7ZNH7",44,45,50,45,7,7,7,7,1337.818237,4237.158203,2196.77002,2202.259033
"385",";nucleosome assembly",";nucleus,cytoplasm","nap1l4",";RNA binding,nucleosome binding","Nap1l4 protein;Nucleosome assembly protein 1-like 4","B7ZNL2_MOUSE;NP1L4_MOUSE",6.22e-47,"B7ZNL2;Q78ZA7",11,10,11,11,8,8,8,8,498.8896484,724.3753662,653.2835693,474.2944031
"386","","","mup14","","Protein Mup14 (Fragment)","B8JI96_MOUSE",1.38e-15,"B8JI96",6,5,5,6,6,6,6,6,23279.46289,9040.898438,17054.32227,21053.66211
"387",";autophagy,apoptotic process,endoplasmic reticulum organization,protein transport,vesicle-mediated transport,endoplasmic reticulum membrane fusion",";Golgi membrane,nuclear envelope,cytoplasm,mitochondrion,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane,SNARE complex,intracellular membrane-bounded organelle","bnip1",";SNAP receptor activity","Vesicle transport protein SEC20","B8JJI4_MOUSE;SEC20_MOUSE",7.21e-23,"B8JJI4;Q6QD59",2,1,1,1,2,2,2,2,25.025383,37.30833435,23.68610191,32.32639694
"388",";proteolysis;proteolysis,complement activation, alternative pathway,cell proliferation",";;extracellular space,extracellular exosome,blood microparticle","cfb;gm20547;cfb",";serine-type endopeptidase activity;serine-type endopeptidase activity","Complement factor B;Protein Gm20547;Complement factor B","B8JJM5_MOUSE;B8JJN0_MOUSE;CFAB_MOUSE",2.64e-37,"B8JJM5;B8JJN0;P04186",24,31,31,28,10,10,10,10,689.6053467,2779.884521,1036.487061,637.8615112
"389",";blastocyst formation,sensory perception of sound,response to lipopolysaccharide,response to drug,negative regulation of vascular permeability,response to ethanol,response to magnetism,cellular response to glucose stimulus,establishment of endothelial intestinal barrier",";nucleus,cytoplasm,cytosol,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,gap junction,bicellular tight junction,cell surface,intercalated disc,membrane,basolateral plasma membrane,apical plasma membrane,apicolateral plasma membrane,cell junction,I band,protein complex,apical junction complex,apical part of cell,intercellular canaliculus,occluding junction","tjp1",";protein binding,calmodulin binding,protein C-terminus binding,protein domain specific binding,cadherin binding,connexin binding","Tight junction protein ZO-1","B9EHJ3_MOUSE;ZO1_MOUSE",1.85e-41,"B9EHJ3;P39447",19,16,21,21,7,7,7,7,433.0701294,405.3866272,573.3255615,479.8194885
"390","biological_process","cellular_component,integral component of membrane","tmem229a","molecular_function","Transmembrane protein 229A","T229A_MOUSE",0.001428555,"B9EJI9",2,1,0,1,2,2,2,2,6.656328678,5.402275085,3.589586973,7.791923523
"391",";Golgi to endosome transport,protein transport;",";cytosol,extracellular exosome;","mon2",";;","Mon2 protein;Protein MON2 homolog;Isoform 2 of Protein MON2 homolog","B9EKJ3_MOUSE;MON2_MOUSE;MON2_MOUSE",8.73e-24,"B9EKJ3;Q80TL7;Q80TL7-2",4,4,3,3,4,4,4,4,31.12199783,68.81246948,63.43728638,55.92980194
"392","","","gimap4","","GTPase IMAP family member 4","D3YTN4_MOUSE",1.63e-46,"D3YTN4",16,14,16,16,9,9,9,9,736.8961792,416.9542847,868.1900024,786.0204468
"393",";;spliceosomal complex assembly,spliceosomal snRNP assembly,nuclear-transcribed mRNA catabolic process,cytoplasmic mRNA processing body assembly",";;cytoplasmic mRNA processing body,nucleoplasm,spliceosomal complex,U6 snRNP,cytoplasm,cytosol,membrane,protein complex,spliceosomal tri-snRNP complex","lsm4",";;RNA binding,U6 snRNA binding,PH domain binding","U6 snRNA-associated Sm-like protein LSm4 (Fragment);LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae), isoform CRA_b;U6 snRNA-associated Sm-like protein LSm4","D3YTP8_MOUSE;Q9CY46_MOUSE;LSM4_MOUSE",1.66e-36,"D3YTP8;Q9CY46;Q9QXA5",2,2,2,1,2,2,2,2,16.45480919,33.12717438,32.61553955,25.038517
"394",";;transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of gene expression,mRNA metabolic process",";;nucleus,nucleoplasm,cytoplasm,extracellular exosome","hnrnpdl",";;DNA binding,double-stranded DNA binding,single-stranded DNA binding,RNA binding,poly(A) binding,poly(G) binding","Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D-like (Fragment);Heterogeneous nuclear ribonucleoprotein D-like","D3YTQ3_MOUSE;F6VQH5_MOUSE;HNRDL_MOUSE",6e-28,"D3YTQ3;F6VQH5;Q9Z130",6,4,6,6,6,6,6,6,314.8102112,286.0932007,390.7596436,289.2138367
"395",";ribosomal small subunit assembly,ribosomal small subunit export from nucleus,osteoblast differentiation,rRNA processing,translation,ribosomal small subunit biogenesis",";focal adhesion,membrane,cytosolic small ribosomal subunit","rps15",";RNA binding,structural constituent of ribosome,protein binding","40S ribosomal protein S15","D3YTQ9_MOUSE;RS15_MOUSE",2.83e-24,"D3YTQ9;P62843",4,4,4,4,4,4,4,4,774.3873291,631.8707886,776.276123,574.0560303
"396",";;;signal peptide processing",";;;signal peptidase complex,integral component of membrane,organelle membrane,extracellular exosome","sec11a",";;;peptidase activity,serine-type peptidase activity","Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11A","D3YTS1_MOUSE;D3YWT0_MOUSE;D3Z569_MOUSE;SC11A_MOUSE",3.05e-17,"D3YTS1;D3YWT0;D3Z569;Q9R0P6",4,3,4,4,4,4,4,4,411.4229126,413.9057312,435.1011658,346.1485901
"397",";;;lipid transport,biological_process",";;;endoplasmic reticulum membrane,cytosol,plasma membrane,membrane,nuclear membrane,filopodium tip,perinuclear endoplasmic reticulum","osbpl3",";;;cholesterol binding","Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein-related protein 3","D3YTT6_MOUSE;D3Z194_MOUSE;F8WH20_MOUSE;OSBL3_MOUSE",6.89e-33,"D3YTT6;D3Z194;F8WH20;Q9DBS9",9,5,8,9,7,7,7,7,116.0099945,63.01185226,87.1919632,90.48960114
"398",";biological_process",";nucleus,perinuclear region of cytoplasm","nmral1",";molecular_function,identical protein binding","NmrA-like family domain-containing protein 1","D3YU12_MOUSE;NMRL1_MOUSE",1.42e-09,"D3YU12;Q8K2T1",4,3,3,4,4,4,4,4,42.76597595,98.53265381,71.21716309,70.30930328
"399",";regulation of signal transduction,protein destabilization,regulation of protein complex assembly",";endoplasmic reticulum membrane,membrane,integral component of membrane","ncln",";molecular_function","Nicalin","D3YU17_MOUSE;NCLN_MOUSE",6.78e-32,"D3YU17;Q8VCM8",10,10,10,11,8,8,8,8,361.3219299,492.7928162,367.7915344,385.4157715
"400",";;glutathione metabolic process,oxidation-reduction process,protein homotrimerization,cellular response to lipid hydroperoxide,cellular oxidant detoxification",";;mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane","mgst1",";;glutathione transferase activity,glutathione peroxidase activity","Microsomal glutathione S-transferase 1","D3YU60_MOUSE;E9QJW0_MOUSE;MGST1_MOUSE",6.25e-19,"D3YU60;E9QJW0;Q91VS7",3,3,3,3,3,3,3,3,208.7477722,197.4813385,254.4408569,312.1319275
"401",";mitochondrial ATP synthesis coupled electron transport",";mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,cytosol","ndufv1",";protein binding,NADH dehydrogenase (ubiquinone) activity,FMN binding,metal ion binding,NAD binding,4 iron, 4 sulfur cluster binding","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial","D3YUM1_MOUSE;NDUV1_MOUSE",1.55e-44,"D3YUM1;Q91YT0",36,34,36,36,8,8,8,8,4462.70166,7087.357422,2991.030518,4490.708984
"402",";regulation of growth plate cartilage chondrocyte proliferation,transcription, DNA-templated,regulation of transcription, DNA-templated,protein methylation,aging,positive regulation of cell proliferation,histone methylation,peptidyl-arginine methylation, to asymmetrical-dimethyl arginine,intracellular steroid hormone receptor signaling pathway,intracellular estrogen receptor signaling pathway,negative regulation of protein binding,regulation of intracellular estrogen receptor signaling pathway,histone arginine methylation,histone H3-R2 methylation,histone H3-R17 methylation,positive regulation of fat cell differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of NF-kappaB transcription factor activity,response to cAMP,endochondral bone morphogenesis,protein localization to chromatin,regulation of mRNA binding,negative regulation of dendrite development;",";nucleus,nucleoplasm,cytoplasm,cytosol,protein complex,RNA polymerase II transcription factor complex;","carm1",";RNA polymerase II transcription coactivator activity,transcription coactivator activity,protein binding,protein methyltransferase activity,histone-arginine N-methyltransferase activity,protein-arginine N-methyltransferase activity,ligand-dependent nuclear receptor transcription coactivator activity,protein-arginine omega-N asymmetric methyltransferase activity,histone methyltransferase activity (H3-R17 specific),histone methyltransferase activity,protein homodimerization activity,transcription regulatory region DNA binding,lysine-acetylated histone binding;","Histone-arginine methyltransferase CARM1;Histone-arginine methyltransferase CARM1;Isoform 2 of Histone-arginine methyltransferase CARM1","D3YUP1_MOUSE;CARM1_MOUSE;CARM1_MOUSE",5.42e-32,"D3YUP1;Q9WVG6;Q9WVG6-2",2,2,2,2,2,2,2,2,14.87068462,36.25166321,27.1339798,22.65060616
"403","exocytosis,biological_process","exocyst,cellular_component","exoc3l2","molecular_function","Protein Exoc3l2","D3YUP5_MOUSE",0.000138611,"D3YUP5",4,3,4,4,4,4,4,4,42.45256424,32.89855194,29.20256233,42.36465836
"404",";;microtubule cytoskeleton organization,epithelial cell morphogenesis,biological_process,bicellular tight junction assembly;",";;plasma membrane,brush border,bicellular tight junction,myosin complex,cell junction,apical junction complex;","cgn",";;motor activity,actin binding,protein binding,microtubule binding,cadherin binding;","Cingulin;Cingulin;Cingulin;Isoform 2 of Cingulin","D3YUW7_MOUSE;E9QMC1_MOUSE;CING_MOUSE;CING_MOUSE",4.57e-40,"D3YUW7;E9QMC1;P59242;P59242-2",7,3,8,7,7,7,7,7,127.0650558,37.12240219,157.1217194,108.1690979
"405",";mitochondrial transport,transmembrane transport",";mitochondrion,mitochondrial inner membrane,integral component of membrane","slc25a16",";transmembrane transporter activity","Graves disease carrier protein homolog (Fragment);Graves disease carrier protein homolog","D3YVC9_MOUSE;GDC_MOUSE",0.000156782,"D3YVC9;Q8C0K5",2,2,2,3,3,3,3,3,41.90049744,28.90978813,21.2479248,54.2797966
"406",";;;gene silencing by miRNA,mRNA cleavage involved in gene silencing by miRNA",";;;cytoplasmic mRNA processing body,extracellular space,cytosol","mov10",";;;RNA binding,helicase activity,protein binding,ATP binding","Putative helicase MOV-10","D3YVL0_MOUSE;D3Z3E8_MOUSE;E9PW39_MOUSE;MOV10_MOUSE",0.0001404,"D3YVL0;D3Z3E8;E9PW39;P23249",3,1,2,3,3,3,3,3,20.5446434,7.449839115,15.47315121,11.79867077
"407",";anterograde axonal transport,aerobic respiration,endosomal transport,peptidyl-lysine acetylation,neuron projection development,lysosome localization,anterograde synaptic vesicle transport",";extracellular space,mitochondrion,mitochondrial intermembrane space,mitochondrial matrix,lysosomal membrane,early endosome,cytosol,BLOC-1 complex,extracellular exosome,BORC complex,axon cytoplasm","bloc1s1",";protein binding","Biogenesis of lysosome-related organelles complex 1 subunit 1","D3YVM8_MOUSE;BL1S1_MOUSE",0.000193215,"D3YVM8;O55102",3,3,3,3,3,3,3,3,8.111019135,13.89782143,16.28279877,12.64677143
"408",";",";","sf3a2",";","Splicing factor 3A subunit 2","D3YW09_MOUSE;G3UVU2_MOUSE",1.23e-11,"D3YW09;G3UVU2",4,4,5,2,5,5,5,5,80.28775024,67.5526886,69.70001984,28.652771
"409",";;;autophagy,biological_process",";;;autophagosome membrane,lysosomal membrane,integral component of membrane,cytoplasmic vesicle","tm9sf1",";;;molecular_function","Transmembrane 9 superfamily member (Fragment);Transmembrane 9 superfamily member;Transmembrane 9 superfamily member;Transmembrane 9 superfamily member 1","D3YWH4_MOUSE;D3Z6X7_MOUSE;D6RGM8_MOUSE;TM9S1_MOUSE",0.002067028,"D3YWH4;D3Z6X7;D6RGM8;Q9DBU0",2,1,2,2,2,2,2,2,219.139679,139.4096832,195.5437012,160.4625702
"410","","","fntb","","Protein farnesyltransferase subunit beta","D3YWJ4_MOUSE",9.21e-15,"D3YWJ4",3,3,2,2,3,3,3,3,14.79931641,9.921977997,19.93097687,7.751682758
"411",";;cell morphogenesis,microtubule bundle formation,glycosphingolipid metabolic process,response to osmotic stress,nucleus organization,germ cell development,spermatogenesis,cell proliferation,fertilization,response to retinoic acid,Leydig cell differentiation,organ growth,homeostasis of number of cells,Sertoli cell development,protein localization to plasma membrane;",";;cytosol,microtubule,plasma membrane,microtubule cytoskeleton,basolateral plasma membrane,perinuclear region of cytoplasm;","map7",";;receptor binding,structural molecule activity,protein binding;","Ensconsin;Ensconsin;Ensconsin;Isoform 2 of Ensconsin","D3YWN7_MOUSE;E9QMU3_MOUSE;MAP7_MOUSE;MAP7_MOUSE",1.22e-20,"D3YWN7;E9QMU3;O88735;O88735-2",4,0,5,5,5,5,5,5,30.24644279,10.79257774,41.72241211,35.81357193
"412",";carbohydrate metabolic process,N-acetylglucosamine metabolic process;",";nucleus,cytoplasm;","gnpda2",";glucosamine-6-phosphate deaminase activity;","Glucosamine-6-phosphate isomerase;Glucosamine-6-phosphate isomerase 2;Isoform 2 of Glucosamine-6-phosphate isomerase 2","D3YWR1_MOUSE;GNPI2_MOUSE;GNPI2_MOUSE",9.7e-05,"D3YWR1;Q9CRC9;Q9CRC9-2",3,1,2,2,3,3,3,3,6.485216141,7.984965801,19.44488335,6.430539131
"413",";;fucose metabolic process,fucosylation,negative regulation of neuron differentiation,female mating behavior;",";;cellular_component;","fuom",";;racemase and epimerase activity, acting on carbohydrates and derivatives,fucose binding;","Fucose mutarotase;Fucose mutarotase (Fragment);Fucose mutarotase;Isoform 2 of Fucose mutarotase","D3YWS7_MOUSE;F6SJM7_MOUSE;FUCM_MOUSE;FUCM_MOUSE",2.45e-21,"D3YWS7;F6SJM7;Q8R2K1;Q8R2K1-2",3,2,3,3,3,3,3,3,92.57866669,43.16770554,107.4652863,123.7427368
"414",";biological_process,epithelial cell differentiation",";nucleus,nucleoplasm","hnrnph3",";RNA binding","MCG11326, isoform CRA_b;MCG11326, isoform CRA_a","D3YWT1_MOUSE;D3Z3N4_MOUSE",2.23e-21,"D3YWT1;D3Z3N4",3,3,3,4,4,4,4,4,89.66936493,117.1608276,88.33358002,109.2621307
