"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"69",";in utero embryonic development,lipid metabolic process,triglyceride mobilization,receptor-mediated endocytosis,spermatogenesis,nervous system development,cholesterol metabolic process,fertilization,response to virus,response to carbohydrate,post-embryonic development,response to selenium ion,positive regulation of gene expression,positive regulation of macrophage derived foam cell differentiation,positive regulation of lipid storage,positive regulation of cholesterol storage,lipid catabolic process,triglyceride catabolic process,cholesterol transport,flagellated sperm motility,response to estradiol,response to lipopolysaccharide,cholesterol efflux,low-density lipoprotein particle remodeling,low-density lipoprotein particle clearance,lipoprotein metabolic process,lipoprotein biosynthetic process,lipoprotein catabolic process,cholesterol homeostasis,lipoprotein transport,regulation of cholesterol biosynthetic process,artery morphogenesis,cellular response to tumor necrosis factor,cellular response to prostaglandin stimulus",";extracellular region,cytoplasm,endoplasmic reticulum,cytosol,vesicle membrane,vesicle lumen,mature chylomicron,very-low-density lipoprotein particle,low-density lipoprotein particle,intermediate-density lipoprotein particle,chylomicron,neuronal cell body,intracellular membrane-bounded organelle,extracellular exosome,endoplasmic reticulum exit site","apob",";phospholipid binding,heparin binding,cholesterol transporter activity,lipase binding,low-density lipoprotein particle receptor binding","Apolipoprotein B-100 (Fragment);Apolipoprotein B-100","E9Q1Y3_MOUSE;APOB_MOUSE",7.98e-20,"E9Q1Y3;E9Q414",5,12,8,7,7,7,7,7,45.03502274,345.8764648,41.97914124,26.43889999
"70",";;MAPK cascade,oocyte maturation,response to hypoxia,positive regulation of cell-matrix adhesion,sprouting angiogenesis,adaptive immune response,marginal zone B cell differentiation,protein phosphorylation,cellular defense response,response to osmotic stress,cell adhesion,cell surface receptor signaling pathway,signal complex assembly,epidermal growth factor receptor signaling pathway,positive regulation of cytosolic calcium ion concentration,integrin-mediated signaling pathway,positive regulation of cell proliferation,negative regulation of cell proliferation,regulation of cell shape,response to mechanical stimulus,response to hormone,response to glucose,response to lithium ion,positive regulation of endothelial cell migration,negative regulation of muscle cell apoptotic process,regulation of cGMP-mediated signaling,regulation of macrophage chemotaxis,positive regulation of neuron projection development,glial cell proliferation,peptidyl-tyrosine phosphorylation,regulation of cell adhesion,positive regulation of cell growth,positive regulation of cell migration,negative regulation of bone mineralization,regulation of cGMP biosynthetic process,positive regulation of actin filament polymerization,neuron projection development,regulation of inositol trisphosphate biosynthetic process,tumor necrosis factor-mediated signaling pathway,ionotropic glutamate receptor signaling pathway,response to immobilization stress,peptidyl-tyrosine autophosphorylation,response to cocaine,response to drug,response to hydrogen peroxide,activation of Janus kinase activity,negative regulation of apoptotic process,stress fiber assembly,negative regulation of potassium ion transport,positive regulation of JUN kinase activity,negative regulation of neuron apoptotic process,blood vessel endothelial cell migration,positive regulation of phosphatidylinositol 3-kinase activity,innate immune response,regulation of nitric oxide biosynthetic process,positive regulation of nitric oxide biosynthetic process,bone resorption,response to ethanol,negative regulation of myeloid cell differentiation,positive regulation of translation,positive regulation of angiogenesis,positive regulation of protein kinase activity,positive regulation of JNK cascade,vascular endothelial growth factor receptor signaling pathway,focal adhesion assembly,positive regulation of peptidyl-tyrosine phosphorylation,regulation of calcium-mediated signaling,positive regulation of nitric-oxide synthase activity,regulation of release of sequestered calcium ion into cytosol,response to cAMP,response to calcium ion,positive regulation of synaptic transmission, glutamatergic,long-term synaptic potentiation,long term synaptic depression,chemokine-mediated signaling pathway,positive regulation of ERK1 and ERK2 cascade,cellular response to retinoic acid,cellular response to fluid shear stress,activation of GTPase activity,regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,regulation of establishment of cell polarity,regulation of actin cytoskeleton reorganization,regulation of N-methyl-D-aspartate selective glutamate receptor activity,positive regulation of excitatory postsynaptic potential,positive regulation of B cell chemotaxis,positive regulation of DNA biosynthetic process",";;nucleus,cytoskeleton,focal adhesion,cell cortex,postsynaptic density,NMDA selective glutamate receptor complex,lamellipodium,axon,dendrite,growth cone,extrinsic component of cytoplasmic side of plasma membrane,neuronal cell body,dendritic spine,cell body,membrane raft,perinuclear region of cytoplasm,apical dendrite","ptk2b",";;protein kinase activity,calmodulin-dependent protein kinase activity,non-membrane spanning protein tyrosine kinase activity,receptor binding,protein binding,ATP binding,ubiquitin protein ligase binding,protein complex binding,3-phosphoinositide-dependent protein kinase binding,NMDA glutamate receptor activity","Protein-tyrosine kinase 2-beta","E9Q2A6_MOUSE;Q3UDE9_MOUSE;FAK2_MOUSE",0.00010708,"E9Q2A6;Q3UDE9;Q9QVP9",2,2,3,3,3,3,3,3,22.52861977,19.65303802,41.85300827,37.00740814
"71",";cellular glucose homeostasis,glycolytic process,hexose metabolic process,carbohydrate phosphorylation,glucose 6-phosphate metabolic process",";mitochondrion,cytosol","hk3",";glucokinase activity,hexokinase activity,ATP binding,glucose binding,fructokinase activity,mannokinase activity","Hexokinase-3","E9Q3Z4_MOUSE;HXK3_MOUSE",9.16e-06,"E9Q3Z4;Q3TRM8",2,3,2,0,3,3,3,3,5.425064087,68.47910309,18.56952286,15.74464607
"72","nuclear-transcribed mRNA catabolic process,retrograde vesicle-mediated transport, Golgi to ER,negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","endoplasmic reticulum,membrane,Dsl1/NZR complex","nbas","SNARE binding","Protein Nbas","E9Q411_MOUSE",0.000358926,"E9Q411",1,2,2,2,3,3,3,3,8.658348083,6.672699928,17.25279236,10.79092216
"73",";multicellular organism development,actin filament polymerization,oogenesis;",";;","diaph2",";actin binding,Rho GTPase binding;","Protein diaphanous homolog 2;Protein diaphanous homolog 2;DIA3","E9Q4U7_MOUSE;DIAP2_MOUSE;Q6W4W7_MOUSE",0.002173555,"E9Q4U7;O70566;Q6W4W7",2,0,2,2,3,3,3,3,15.60185719,30.05333519,29.07799149,12.47720814
"74",";cellular glucose homeostasis,response to ischemia,glucose metabolic process,glycolytic process,lactation,apoptotic mitochondrial changes,negative regulation of mitochondrial membrane permeability,regulation of glucose import,carbohydrate phosphorylation,glucose 6-phosphate metabolic process,establishment of protein localization to mitochondrion,maintenance of protein location in mitochondrion,positive regulation of mitophagy in response to mitochondrial depolarization,cellular response to leukemia inhibitory factor,negative regulation of reactive oxygen species metabolic process",";mitochondrion,mitochondrial outer membrane,cytosol,membrane","hk2",";glucokinase activity,hexokinase activity,protein binding,ATP binding,glucose binding,fructokinase activity,mannokinase activity","Hexokinase-2","E9Q5B5_MOUSE;HXK2_MOUSE",1.04e-15,"E9Q5B5;O08528",4,4,3,3,4,4,4,4,41.8380661,63.37894821,40.06783295,17.34496307
"75",";complement activation, lectin pathway,proteolysis,complement activation, classical pathway",";extracellular space,extracellular exosome,blood microparticle","c1s1;c1sa",";serine-type endopeptidase activity,calcium ion binding,identical protein binding","Protein C1s1;Complement C1s-A subcomponent","E9Q6C2_MOUSE;CS1A_MOUSE",3.81e-08,"E9Q6C2;Q8CG14",1,3,2,1,3,3,3,3,3.122043133,125.8803024,6.189772606,6.3412323
"76",";;biological_process",";;cellular_component","trabd",";;molecular_function","TraB domain-containing protein (Fragment);TraB domain-containing protein;TraB domain-containing protein","E9Q7A5_MOUSE;E9Q8R5_MOUSE;TRABD_MOUSE",0.000699801,"E9Q7A5;E9Q8R5;Q99JY4",2,1,1,1,2,2,2,2,16.11832428,26.62139511,12.17090416,24.41009521
"77",";negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,cellular response to interferon-alpha,cellular response to interferon-beta,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of osteoblast differentiation,inner ear development",";nucleus,nucleoplasm,nucleolus,cytosol,membrane,nuclear speck,nuclear inclusion body","ifi204",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,core promoter binding,transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,double-stranded DNA binding,transcription cofactor activity,RNA binding,protein binding,transcription factor binding,identical protein binding","Interferon-activable protein 204","E9QKL6_MOUSE;IFI4_MOUSE",0.001044115,"E9QKL6;P0DOV2",2,2,3,1,3,3,3,3,13.2032032,85.21478271,44.88670731,48.62908554
"78",";potassium ion transport,sodium ion transport,ammonium transport,transepithelial chloride transport,multicellular organism growth,detection of mechanical stimulus involved in sensory perception of sound,branching involved in mammary gland duct morphogenesis,mammary duct terminal end bud growth,transepithelial ammonium transport,ammonium transmembrane transport,chloride transmembrane transport",";integral component of membrane,basolateral plasma membrane,apical plasma membrane,extracellular exosome,extracellular vesicle","slc12a2",";protein binding,ATP binding,ammonium transmembrane transporter activity,cation:chloride symporter activity,protein kinase binding,ATPase activity, coupled to transmembrane movement of substances","Solute carrier family 12 member 2","E9QM38_MOUSE;S12A2_MOUSE",0.003514937,"E9QM38;P55012",1,1,1,0,2,2,2,2,10.36937523,10.50660324,4.250750065,2.252833366
"79",";;blood vessel development,in utero embryonic development,kidney development,tissue homeostasis,nitrogen compound metabolic process,signal transduction,positive regulation of cell proliferation,positive regulation of phospholipase C activity,positive regulation of phosphatidylinositol 3-kinase signaling,positive regulation of smooth muscle cell migration,cell migration,peptidyl-tyrosine phosphorylation,adrenal gland development,positive regulation of cell migration,positive regulation of phosphoprotein phosphatase activity,regulation of actin cytoskeleton organization,cell migration involved in vasculogenesis,platelet-derived growth factor receptor-beta signaling pathway,positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway,aorta morphogenesis,positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway,positive regulation of MAP kinase activity,positive regulation of phosphatidylinositol 3-kinase activity,positive regulation of mitotic nuclear division,phosphatidylinositol metabolic process,protein autophosphorylation,platelet-derived growth factor receptor signaling pathway,phosphatidylinositol-mediated signaling,embryonic organ development,positive regulation of smooth muscle cell proliferation,skeletal system morphogenesis,smooth muscle tissue development,regulation of peptidyl-tyrosine phosphorylation,positive regulation of chemotaxis,cardiac myofibril assembly,cell chemotaxis,cardiac vascular smooth muscle cell differentiation,cell migration involved in coronary angiogenesis,retina vasculature development in camera-type eye,positive regulation of ERK1 and ERK2 cascade,smooth muscle cell chemotaxis,metanephric glomerular mesangium development,metanephric glomerular mesangial cell proliferation involved in metanephros development,metanephric glomerular capillary formation,positive regulation of calcium ion import,positive regulation of reactive oxygen species metabolic process,positive regulation of DNA biosynthetic process,hemopoiesis",";;nucleus,cytoplasm,plasma membrane,focal adhesion,cell surface,membrane,integral component of membrane,apical plasma membrane,intrinsic component of plasma membrane,cytoplasmic vesicle,lysosomal lumen,extracellular exosome","pdgfrb",";;protein tyrosine kinase activity,signal transducer activity,platelet-derived growth factor beta-receptor activity,receptor binding,platelet-derived growth factor receptor binding,protein binding,ATP binding,kinase activity,enzyme binding,protein kinase binding,vascular endothelial growth factor binding,platelet-derived growth factor binding","Platelet-derived growth factor receptor beta","E9QN12_MOUSE;E9QPE2_MOUSE;PGFRB_MOUSE",1.39e-25,"E9QN12;E9QPE2;P05622",4,3,5,4,5,5,5,5,43.08374023,27.71960258,60.6844902,56.8229599
"80","","","gm21992","","Protein Gm21992","F7BGR7_MOUSE",5.77e-29,"F7BGR7",5,2,6,4,6,6,6,6,50.02684402,55.02667236,104.0283813,79.37846375
"81",";negative regulation of cell proliferation,Wnt signaling pathway",";cytoplasm,bicellular tight junction,membrane,dendritic spine,protein phosphatase type 2A complex","strn",";calmodulin binding,estrogen receptor binding,protein complex binding,protein phosphatase 2A binding,armadillo repeat domain binding","Striatin","F8WH41_MOUSE;STRN_MOUSE",7.58e-05,"F8WH41;O55106",2,2,2,2,2,2,2,2,9.215236664,4.101858616,4.706865311,6.155953884
"82",";chemical synaptic transmission,potassium ion transmembrane transport,chloride transmembrane transport",";lysosomal membrane,integral component of membrane","slc12a4",";potassium:chloride symporter activity,protein kinase binding,potassium ion symporter activity","Solute carrier family 12 member 4","F8WIJ0_MOUSE;S12A4_MOUSE",3.06e-10,"F8WIJ0;Q9JIS8",3,4,4,4,4,4,4,4,87.10727692,44.76641846,58.629879,37.17694855
"83",";retrograde transport, vesicle recycling within Golgi,retrograde vesicle-mediated transport, Golgi to ER,Golgi organization,protein transport,Golgi vesicle prefusion complex stabilization",";Golgi membrane,Golgi transport complex","cog4",";molecular_function","Conserved oligomeric Golgi complex subunit 4 (Fragment);Conserved oligomeric Golgi complex subunit 4","G3UWH9_MOUSE;COG4_MOUSE",0.002249093,"G3UWH9;Q8R1U1",1,0,2,2,2,2,2,2,2,2.435366631,5.252630234,9.103203773
"84",";negative regulation of stress fiber assembly",";cytoplasm","kank3",";molecular_function","KN motif and ankyrin repeat domain-containing protein 3","G3UXN4_MOUSE;KANK3_MOUSE",8.02e-14,"G3UXN4;Q9Z1P7",2,1,2,2,2,2,2,2,10.07982063,2.893589497,26.91944504,24.68574142
"85",";",";","myo1f",";","Unconventional myosin-If;Myosin IF","G3V011_MOUSE;Q8CG29_MOUSE",2.03e-05,"G3V011;Q8CG29",4,4,5,5,5,5,5,5,56.53919983,107.0758438,81.5373764,68.48226166
"86",";response to oxygen radical,glutathione metabolic process,multicellular organism development,spermatogenesis,cell differentiation,cell redox homeostasis,oxidation-reduction process,cellular oxidant detoxification",";nucleoplasm,mitochondrion,endoplasmic reticulum,cytosol","txnrd3",";thioredoxin-disulfide reductase activity,protein binding,electron carrier activity,protein disulfide oxidoreductase activity,flavin adenine dinucleotide binding","Thioredoxin reductase 3","G3X8P6_MOUSE;TRXR3_MOUSE",6.21e-17,"G3X8P6;Q99MD6",1,1,2,2,2,2,2,2,27.85324097,11.5499649,11.81048775,26.69171524
"87",";receptor-mediated endocytosis,inflammatory response,cell adhesion,cell-cell signaling,negative regulation of angiogenesis,defense response to bacterium;",";cytoplasm,integral component of plasma membrane;","stab1",";low-density lipoprotein receptor activity,scavenger receptor activity,calcium ion binding,hyaluronic acid binding,low-density lipoprotein particle binding;","Stabilin 1, isoform CRA_a;Stabilin-1;Isoform 2 of Stabilin-1","G3X973_MOUSE;STAB1_MOUSE;STAB1_MOUSE",1.26e-26,"G3X973;Q8R4Y4;Q8R4Y4-2",3,4,5,4,5,5,5,5,21.55387688,53.61871338,32.28583527,12.49921417
"88","","","ptpn13","","Protein tyrosine phosphatase, non-receptor type 13","G5E8B1_MOUSE",0.005245771,"G5E8B1",1,1,2,1,3,3,3,3,18.42666817,12.33047581,18.58890724,28.4281292
"89",";",";proteinaceous extracellular matrix,extracellular space,extracellular exosome,extracellular vesicle","efemp2",";calcium ion binding","EGF-containing fibulin-like extracellular matrix protein 2","G5E8D6_MOUSE;FBLN4_MOUSE",2.83e-31,"G5E8D6;Q9WVJ9",4,5,4,4,5,5,5,5,51.87494659,201.3015137,73.29320526,68.38990021
"90",";regulation of phosphoprotein phosphatase activity;;",";nucleoplasm,cytosol,plasma membrane;;","ppp6r3",";protein phosphatase binding;;","SAPS domain family, member 3, isoform CRA_c;Serine/threonine-protein phosphatase 6 regulatory subunit 3;Isoform 2 of Serine/threonine-protein phosphatase 6 regulatory subunit 3;Isoform 3 of Serine/threonine-protein phosphatase 6 regulatory subunit 3","G5E8R4_MOUSE;PP6R3_MOUSE;PP6R3_MOUSE;PP6R3_MOUSE",0.001964268,"G5E8R4;Q922D4;Q922D4-2;Q922D4-3",3,2,2,2,3,3,3,3,8.325508118,8.14751339,11.12446022,10.70913982
"91",";regulation of translation,neural crest formation,neural crest cell development,transcription of nuclear large rRNA transcript from RNA polymerase I promoter",";fibrillar center,nucleus,nucleolus,cytosol","tcof1",";RNA polymerase I core binding,RNA binding,protein heterodimerization activity","Treacle protein","H3BL37_MOUSE;TCOF_MOUSE",1.42e-12,"H3BL37;O08784",2,2,3,2,3,3,3,3,55.12277985,63.01153564,53.64584732,43.54276657
"92",";intracellular protein transport,autophagy,regulation of vesicle fusion,retrograde transport, endosome to Golgi,activation of GTPase activity",";intracellular,autophagosome,cytosol,endomembrane system,cytoplasmic vesicle","tbc1d17",";GTPase activator activity,Rab GTPase binding","TBC1 domain family member 17","I6L974_MOUSE;TBC17_MOUSE",0.005043285,"I6L974;Q8BYH7",1,0,1,2,2,2,2,2,8.535417557,3.170962334,2.538281441,7.512878418
"93","biological_process","brush border,myosin complex","myo15b","molecular_function,motor activity,ATP binding","Protein Myo15b","I7HPW8_MOUSE",0.002454197,"I7HPW8",2,1,2,2,4,4,4,4,43.41997147,10.25654888,21.69725227,8.843103409
"94",";negative regulation of transcription from RNA polymerase II promoter,chromatin silencing at rDNA,DNA methylation,transcription, DNA-templated,Ras protein signal transduction,maintenance of DNA methylation,regulation of gene expression,positive regulation of gene expression,gene silencing,chromatin modification,DNA methylation on cytosine,regulation of cell proliferation,DNA methylation involved in embryo development,negative regulation of transcription, DNA-templated,positive regulation of histone H3-K4 methylation,negative regulation of histone H3-K9 methylation,cellular response to amino acid stimulus,C-5 methylation of cytosine,positive regulation of methylation-dependent chromatin silencing;",";heterochromatin,nucleus,nucleoplasm,replication fork,pericentric heterochromatin,cytoplasm;","dnmt1",";DNA binding,chromatin binding,RNA binding,DNA (cytosine-5-)-methyltransferase activity,protein binding,methyltransferase activity,zinc ion binding,methyl-CpG binding,DNA-methyltransferase activity,DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates,promoter-specific chromatin binding;","DNA (cytosine-5)-methyltransferase;DNA (cytosine-5)-methyltransferase 1;Isoform 2 of DNA (cytosine-5)-methyltransferase 1","J3QNW0_MOUSE;DNMT1_MOUSE;DNMT1_MOUSE",0.00032366,"J3QNW0;P13864;P13864-2",1,1,2,1,2,2,2,2,12.16409302,8.891506195,35.32627869,8.399987221
"95","","","mup7","","Protein Mup7 (Fragment)","L7MUC7_MOUSE",2.68e-20,"L7MUC7",5,4,5,5,5,5,5,5,22456.79492,13280.63184,23701.68945,32706.16992
"96",";biological_process",";cellular_component,nucleus,cytosol","gvin1",";molecular_function,GTP binding","Interferon-induced very large GTPase 1","L7N451_MOUSE;GVIN1_MOUSE",1.39e-19,"L7N451;Q80SU7",2,1,3,1,3,3,3,3,7.268553257,12.6470499,31.88089371,15.1846838
"97","platelet degranulation,developmental process involved in reproduction,exocytosis,vesicle docking involved in exocytosis,neurotransmitter secretion,neuromuscular synaptic transmission,axon target recognition,regulation of synaptic vesicle priming,protein transport,synaptic vesicle maturation,negative regulation of protein complex assembly,regulation of vesicle fusion,synaptic vesicle fusion to presynaptic active zone membrane,negative regulation of synaptic transmission, GABAergic,response to estradiol,positive regulation of mast cell degranulation,negative regulation of neuron apoptotic process,positive regulation of calcium ion-dependent exocytosis,regulation of insulin secretion,protein stabilization,long term synaptic depression,platelet aggregation,protein localization to plasma membrane,presynaptic dense core vesicle exocytosis,Requires Ontology,positive regulation of glutamate secretion, neurotransmission;","nucleoplasm,mitochondrion,cytosol,cytoskeleton,plasma membrane,axon,platelet alpha granule,terminal bouton,myelin sheath,protein complex,perinuclear region of cytoplasm,presynaptic active zone membrane,extracellular exosome,postsynapse,extrinsic component of presynaptic active zone membrane;","stxbp1","RNA binding,protein binding,syntaxin-1 binding,protein kinase binding,protein domain specific binding,syntaxin binding,identical protein binding,phospholipase binding,protein N-terminus binding;","Syntaxin-binding protein 1;Isoform 2 of Syntaxin-binding protein 1","STXB1_MOUSE",0.000123021,"O08599;O08599-2",2,1,2,2,2,2,2,2,19.78909111,36.85328293,46.92709732,49.33688354
"98","leukocyte homeostasis,B cell homeostasis,B cell apoptotic process,release of cytochrome c from mitochondria,blood vessel remodeling,myeloid cell homeostasis,B cell negative selection,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,brain development,aging,mitochondrial fusion,cell proliferation,negative regulation of cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,response to fungus,response to mycotoxin,response to UV-C,establishment or maintenance of transmembrane electrochemical gradient,response to gamma radiation,positive regulation of calcium ion transport into cytosol,negative regulation of gene expression,response to organic cyclic compound,cytolysis,endocrine pancreas development,animal organ regeneration,negative regulation of endoplasmic reticulum calcium ion concentration,negative regulation of peptidyl-serine phosphorylation,cellular response to UV,limb morphogenesis,response to drug,response to hydrogen peroxide,positive regulation of apoptotic process,regulation of protein homodimerization activity,regulation of protein heterodimerization activity,fibroblast apoptotic process,response to ethanol,positive regulation of proteolysis,regulation of mitochondrial membrane permeability,post-embryonic camera-type eye morphogenesis,homeostasis of number of cells,regulation of cell cycle,regulation of mitochondrial membrane potential,vagina development,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,thymocyte apoptotic process,cellular response to mechanical stimulus,positive regulation of release of cytochrome c from mitochondria,apoptotic signaling pathway,extrinsic apoptotic signaling pathway in absence of ligand,activation of cysteine-type endopeptidase activity,positive regulation of endoplasmic reticulum unfolded protein response,apoptotic process involved in patterning of blood vessels;","intracellular,mitochondrion,endoplasmic reticulum,cytosol,integral component of mitochondrial outer membrane,mitochondrial membrane,pore complex,BAK complex;","bak1","protein binding,heat shock protein binding,identical protein binding,protein homodimerization activity,ion channel binding,metal ion binding,protein heterodimerization activity,chaperone binding,BH domain binding;","Bcl-2 homologous antagonist/killer;Bak1 protein","BAK_MOUSE;Q91WX5_MOUSE",0.000758818,"O08734;Q91WX5",2,2,2,2,2,2,2,2,18.13657761,8.854785919,5.165813923,2.478156805
"99","negative regulation of receptor internalization,Ras protein signal transduction,chemical synaptic transmission,regulation of mitotic cell cycle,positive regulation of cell proliferation,positive regulation of epithelial to mesenchymal transition,positive regulation of pathway-restricted SMAD protein phosphorylation,actin cytoskeleton organization,positive regulation of cell growth,positive regulation of cell migration,positive regulation of transforming growth factor beta receptor signaling pathway,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of phosphorylation,positive regulation of exosomal secretion,positive regulation of extracellular exosome assembly;","extracellular space,nucleoplasm,cytoplasm,endoplasmic reticulum membrane,cytosol,cytoskeleton,plasma membrane,interleukin-5 receptor complex,focal adhesion,nuclear membrane,melanosome,intracellular membrane-bounded organelle,membrane raft,extracellular exosome,blood microparticle,extracellular vesicle;","sdcbp","frizzled binding,interleukin-5 receptor binding,protein binding,phosphatidylinositol-4,5-bisphosphate binding,protein C-terminus binding,growth factor binding,neurexin family protein binding,identical protein binding,protein homodimerization activity,cadherin binding,syndecan binding,ephrin receptor binding,protein heterodimerization activity,protein N-terminus binding;","Syntenin-1;MCG4375, isoform CRA_b","SDCB1_MOUSE;Q3TMX0_MOUSE",2.94e-17,"O08992;Q3TMX0",3,3,3,3,3,3,3,3,45.4756546,39.12199783,27.48529434,39.23940659
"100","transcription from RNA polymerase II promoter,negative regulation of type I interferon production,negative regulation of interferon-alpha biosynthetic process,negative regulation of interferon-beta biosynthetic process,negative regulation of innate immune response,interferon-gamma-mediated signaling pathway,positive regulation of protein K48-linked ubiquitination,regulation of nucleic acid-templated transcription","nucleoplasm,cytoplasm,cytosol","nmi","transcription cofactor activity,protein binding,identical protein binding","N-myc-interactor","NMI_MOUSE",7.06e-05,"O35309",1,0,2,3,3,3,3,3,5.243911266,10.96324635,14.46897697,5.890645981
"101","protein glycosylation,endocytosis,autophagy,lysosomal transport,adult walking behavior,cholesterol metabolic process,bile acid metabolic process,negative regulation of macroautophagy,cholesterol transport,membrane raft organization,cholesterol efflux,response to drug,cholesterol homeostasis,response to cadmium ion,viral entry into host cell,negative regulation of cell death,cellular response to steroid hormone stimulus,cellular response to low-density lipoprotein particle stimulus,establishment of protein localization to membrane,positive regulation of cholesterol homeostasis","extracellular region,nuclear envelope,lysosome,lysosomal membrane,endosome,endoplasmic reticulum,Golgi apparatus,plasma membrane,integral component of plasma membrane,membrane,late endosome membrane,vesicle,membrane raft,perinuclear region of cytoplasm,extracellular exosome","npc1","lipid transporter activity,protein binding,cholesterol binding","Niemann-Pick C1 protein","NPC1_MOUSE",1.08e-13,"O35604",2,2,2,2,2,2,2,2,20.95772934,64.67235565,30.39524269,53.6992836
"102","G-protein coupled receptor signaling pathway,purine ribonucleoside diphosphate catabolic process,platelet activation","basal lamina,plasma membrane,integral component of membrane,extracellular exosome","entpd2","protein binding,ATP binding,nucleoside-diphosphatase activity,nucleoside-triphosphatase activity","Ectonucleoside triphosphate diphosphohydrolase 2","ENTP2_MOUSE",5.83e-11,"O55026",2,1,2,2,2,2,2,2,12.29435349,42.78504181,39.94511414,32.10944366
"103","negative regulation of transcription from RNA polymerase II promoter,negative regulation of protein phosphorylation,regulation of translational initiation,negative regulation of protein complex assembly,negative regulation of protein autophosphorylation,cellular response to amino acid starvation,cellular response to glucose starvation,positive regulation of neuron differentiation,negative regulation of cell death,regulation of eIF2 alpha phosphorylation by amino acid starvation,cellular response to hydrogen peroxide,positive regulation of translational initiation in response to starvation,cellular response to acidic pH,cellular response to UV-C,cellular response to benomyl,negative regulation of transcription from RNA polymerase II promoter in response to stress,neuron projection extension,cellular response to leucine starvation","cytoplasm,polysome","impact","actin binding,protein binding,ribosome binding","Protein IMPACT","IMPCT_MOUSE",0.000158227,"O55091",2,2,1,2,2,2,2,2,14.81202507,19.12989426,15.64693832,20.75667953
"104","detection of chemical stimulus involved in sensory perception of bitter taste,retina homeostasis,immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor,epidermal growth factor receptor signaling pathway,Fc receptor signaling pathway,receptor clustering","extracellular space,plasma membrane,integral component of membrane,receptor complex,extracellular exosome","pigr","polymeric immunoglobulin receptor activity","Polymeric immunoglobulin receptor","PIGR_MOUSE",0.005452715,"O70570",1,2,1,2,2,2,2,2,6.502221584,11.35708046,19.09632874,4.845497608
"105","lysosome organization,cerebellar Purkinje cell layer development,middle ear morphogenesis,locomotor rhythm,retinal rod cell development,inner ear receptor cell development","extracellular exosome","naglu","","Alpha-N-acetylglucosaminidase","O88325_MOUSE",9.26e-11,"O88325",4,5,5,5,6,6,6,6,76.4296875,161.2223053,79.71154022,86.84939575
"106",";","lipid particle,cytosol,plasma membrane,intracellular membrane-bounded organelle;","plin4",";","Perilipin-4;Isoform 2 of Perilipin-4","PLIN4_MOUSE",8.12e-14,"O88492;O88492-2",0,1,2,2,2,2,2,2,2,20.38880348,19.61864662,50.41902542
"107","multicellular organism development","nucleus,chromosome,cytoplasm","zfr","DNA binding,RNA binding,zinc ion binding","Zinc finger RNA-binding protein","ZFR_MOUSE",5.49e-09,"O88532",1,1,2,2,2,2,2,2,10.27408695,43.82065964,17.00086975,17.75947571
